run_id,subject_id,fold_id,n_train,n_val,n_test,train_class_counts,val_class_counts,test_class_counts,best_valid_loss,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram
20260402_1104_05151661,48,1,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.12556275725364685,0.95,0.95,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 4, 1], [0, 0, 0, 5]]","[5, 5, 4, 6]"
20260402_1104_05151661,52,1,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.2658948600292206,0.85,0.85,"[[2, 1, 0, 2], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[2, 6, 5, 7]"
20260402_1104_05151661,52,2,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.18284878134727478,0.95,0.95,"[[5, 0, 0, 0], [1, 4, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[6, 4, 5, 5]"
20260402_1104_05151661,52,3,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.16912393271923065,0.95,0.95,"[[4, 0, 0, 1], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[4, 5, 5, 6]"
20260402_1104_05151661,52,4,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.23732733726501465,1.0,1.0,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[5, 5, 5, 5]"
20260402_1104_05151661,53,1,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.24590864777565002,0.95,0.95,"[[5, 0, 0, 0], [0, 4, 1, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[5, 4, 6, 5]"
20260402_1104_05151661,53,2,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.1033702939748764,0.85,0.8500000000000001,"[[4, 0, 0, 1], [0, 5, 0, 0], [0, 1, 4, 0], [0, 1, 0, 4]]","[4, 7, 4, 5]"
20260402_1104_05151661,51,5,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",1.2597211599349976,0.55,0.55,"[[3, 1, 0, 1], [0, 3, 1, 1], [2, 1, 2, 0], [1, 1, 0, 3]]","[6, 6, 3, 5]"
20260402_1104_05151661,53,3,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.10087143629789352,1.0,1.0,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[5, 5, 5, 5]"
20260402_1104_05151661,53,5,64,16,20,"[16, 16, 16, 16]","[4, 4, 4, 4]","[5, 5, 5, 5]",0.11373712867498398,1.0,1.0,"[[5, 0, 0, 0], [0, 5, 0, 0], [0, 0, 5, 0], [0, 0, 0, 5]]","[5, 5, 5, 5]"
