run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260402_1104_05151661,48,"[0.95, 0.9, 1.0, 1.0, 0.95]","[0.95, 0.9, 1.0, 1.0, 0.95]",0.96,0.03741657386773941,0.96,0.03741657386773941
20260402_1104_05151661,49,"[0.8, 0.9, 0.9, 0.9, 0.85]","[0.8, 0.8999999999999999, 0.9, 0.9, 0.8500000000000001]",0.8699999999999999,0.039999999999999994,0.8699999999999999,0.03999999999999997
20260402_1104_05151661,50,"[0.8, 0.8, 0.95, 1.0, 0.9]","[0.8, 0.8, 0.95, 1.0, 0.9]",0.89,0.07999999999999997,0.89,0.07999999999999997
20260402_1104_05151661,51,"[0.25, 0.35, 0.45, 0.4, 0.55]","[0.25, 0.35, 0.45000000000000007, 0.4, 0.55]",0.4,0.10000000000000002,0.4,0.10000000000000003
20260402_1104_05151661,52,"[0.85, 0.95, 0.95, 1.0, 1.0]","[0.85, 0.95, 0.95, 1.0, 1.0]",0.95,0.05477225575051661,0.95,0.05477225575051661
20260402_1104_05151661,53,"[0.95, 0.85, 1.0, 0.9, 1.0]","[0.95, 0.8500000000000001, 1.0, 0.9, 1.0]",0.9399999999999998,0.05830951894845301,0.9399999999999998,0.05830951894845297
20260402_1104_05151661,54,"[0.65, 0.25, 0.5, 0.2, 0.7]","[0.6499999999999999, 0.25, 0.5, 0.2, 0.7000000000000001]",0.45999999999999996,0.20346989949375802,0.45999999999999996,0.20346989949375804
20260402_1121_5d6bbfb6,54,"[0.65, 0.25, 0.5, 0.2, 0.7]","[0.6499999999999999, 0.25, 0.5, 0.2, 0.7000000000000001]",0.45999999999999996,0.20346989949375802,0.45999999999999996,0.20346989949375804
20260402_1121_5d6bbfb6,53,"[0.95, 0.85, 1.0, 0.9, 1.0]","[0.95, 0.8500000000000001, 1.0, 0.9, 1.0]",0.9399999999999998,0.05830951894845301,0.9399999999999998,0.05830951894845297
20260402_1121_5d6bbfb6,52,"[0.85, 0.95, 0.95, 1.0, 1.0]","[0.85, 0.95, 0.95, 1.0, 1.0]",0.95,0.05477225575051661,0.95,0.05477225575051661
20260402_1121_5d6bbfb6,49,"[0.8, 0.9, 0.9, 0.9, 0.85]","[0.8, 0.8999999999999999, 0.9, 0.9, 0.8500000000000001]",0.8699999999999999,0.039999999999999994,0.8699999999999999,0.03999999999999997
20260402_1121_5d6bbfb6,48,"[0.95, 0.9, 1.0, 1.0, 0.95]","[0.95, 0.9, 1.0, 1.0, 0.95]",0.96,0.03741657386773941,0.96,0.03741657386773941
20260402_1121_5d6bbfb6,50,"[0.8, 0.8, 0.95, 1.0, 0.9]","[0.8, 0.8, 0.95, 1.0, 0.9]",0.89,0.07999999999999997,0.89,0.07999999999999997
