subject_id,path,raw_shape,X_shape,label_1_left_count,label_2_right_count,used_marker_alignment,trigger_count,kept_trials,skipped_trials
1,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
2,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
4,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
5,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
6,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
7,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
8,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
9,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
12,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
13,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,41,40,0
14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
16,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
18,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,41,40,0
19,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
20,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,41,40,0
21,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
22,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
23,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
24,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
25,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
26,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
27,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-27/sub-27_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
28,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-28/sub-28_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
29,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-29/sub-29_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
30,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-30/sub-30_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
31,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-31/sub-31_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
32,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-32/sub-32_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
33,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-33/sub-33_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
34,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-34/sub-34_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
35,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-35/sub-35_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
36,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-36/sub-36_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
37,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-37/sub-37_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
38,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-38/sub-38_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
39,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-39/sub-39_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
40,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-40/sub-40_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
41,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-41/sub-41_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
42,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-42/sub-42_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
43,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-43/sub-43_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
44,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-44/sub-44_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
45,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-45/sub-45_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
46,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-46/sub-46_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
47,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-47/sub-47_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
48,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-48/sub-48_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
49,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-49/sub-49_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
50,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_data/liu2024_figshare/sourcedata/sub-50/sub-50_task-motor-imagery_eeg.mat,"(40, 33, 4000)","(40, 29, 2000)",20,20,True,40,40,0
