feature,mean_left,mean_right,paired_difference,cohen_dz,bootstrap_ci_low,bootstrap_ci_high,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,transductive_group_maps,state_naming_mode,bh_q
MS0_coverage,0.29681428571428575,0.3073714285714285,0.010557142857142857,0.31781101428913194,-0.005896607142857142,0.02679071428571426,1.189139929248847,0.2556519733107579,36.0,0.3001708049619184,True,neutral,0.78193359375
MS0_duration,0.023995657893932452,0.024834075716929953,0.0008384178229975011,0.22660410367115313,-0.0010490195728861766,0.002672524029255792,0.8478749186036183,0.41184689474790037,34.0,0.267578125,True,neutral,0.78193359375
MS0_occurrence,12.97142857142857,13.169642857142858,0.19821428571428573,0.25643422122162274,-0.1750223214285715,0.6044642857142855,0.9594889980567493,0.35481877584773475,33.0,0.38235208985751545,True,neutral,0.8342227415073065
MS0_to_MS1,0.13574812405130568,0.1376773826039296,0.0019292585526238992,0.12568883519176102,-0.005641749237169405,0.009493940609745056,0.47028455866090363,0.6459438591155863,45.0,0.6697998046875,True,neutral,0.89306640625
MS0_to_MS2,0.45268882854023323,0.4606766196438822,0.007987791103648825,0.3358562810786925,-0.005041997487391978,0.018652344231376527,1.2566591350453526,0.23098873253448463,26.0,0.10400390625,True,neutral,0.64921875
MS0_to_MS3,0.4115630474084611,0.4016459977521883,-0.009917049656272723,-0.34824893108974153,-0.022846319965864358,0.00559447842613828,-1.303028185493818,0.2151731445983555,25.0,0.090576171875,True,neutral,0.64921875
MS1_coverage,0.08841071428571427,0.08281785714285714,-0.005592857142857143,-0.23074428239897712,-0.019646607142857146,0.004135892857142854,-0.863366048729605,0.4035841060398977,51.0,0.9515380859375,True,neutral,0.9515380859375
MS1_duration,0.011410439052182558,0.011030084849546568,-0.000380354202635991,-0.12631191287736926,-0.002098579137667212,0.0009694622177781519,-0.4726159020121063,0.6443232996182876,49.0,0.855224609375,True,neutral,0.9515380859375
MS1_occurrence,7.268749999999999,7.208928571428571,-0.059821428571428505,-0.09234564481366656,-0.37859374999999995,0.266964285714286,-0.34552576405399155,0.7352262798428201,45.0,0.6697998046875,True,neutral,0.89306640625
MS1_to_MS0,0.26640007356281986,0.2660233771943767,-0.00037669636844325387,-0.011853887614299142,-0.016453655364862135,0.01505079812902699,-0.04435318615542622,0.965296927205774,45.0,0.6697998046875,True,neutral,0.89306640625
MS1_to_MS2,0.34516359098707206,0.3478367459441147,0.002673154957042722,0.07008638518134373,-0.016589834492491084,0.021932600082282944,0.262239240832934,0.7972465384531833,50.0,0.9031982421875,True,neutral,0.9515380859375
MS1_to_MS3,0.3884363354501081,0.38613987686150864,-0.002296458588599472,-0.05878547181454512,-0.022621466047326396,0.015953545529454584,-0.21995509485551457,0.8293224364575921,51.0,0.9515380859375,True,neutral,0.9515380859375
MS2_coverage,0.30915357142857147,0.31505357142857143,0.005899999999999993,0.22658183678397087,-0.006616160714285731,0.01896830357142857,0.8477916033441105,0.41189163586890504,42.0,0.5416259765625,True,neutral,0.89306640625
MS2_duration,0.0208438762060325,0.020891340718181963,4.746451214946449e-05,0.03291149102460873,-0.0007842845036495451,0.0006201707822950652,0.12314352358735822,0.9038769296729401,35.0,0.2957763671875,True,neutral,0.78193359375
MS2_occurrence,15.122321428571427,15.320535714285715,0.19821428571428573,0.21836085435822306,-0.2643750000000003,0.6571428571428574,0.8170315036926141,0.42863004746559247,40.5,0.451147469241197,True,neutral,0.89306640625
MS2_to_MS0,0.3667400896274822,0.3749292426638053,0.008189153036322993,0.4408133873544269,-0.001429518521854287,0.017439981685777994,1.649372667072318,0.12301252363071345,28.0,0.13525390625,True,neutral,0.64921875
MS2_to_MS1,0.16175766460618668,0.1574738560155833,-0.004283808590603345,-0.36209841518983793,-0.010459744713791916,0.0016931288978272157,-1.3548482100487163,0.19854347039256454,34.0,0.267578125,True,neutral,0.78193359375
MS2_to_MS3,0.4715022457663312,0.46759690132061155,-0.003905344445719637,-0.27443322379061424,-0.010955008562510594,0.0034202148982504137,-1.026835099044495,0.32322601343064655,42.0,0.5416259765625,True,neutral,0.89306640625
MS3_coverage,0.3056214285714285,0.29475714285714283,-0.010864285714285713,-0.46629893358915536,-0.023078571428571424,0.0007607142857142816,-1.744730849383559,0.10460976136751028,25.0,0.090576171875,True,neutral,0.64921875
MS3_duration,0.020204208151153865,0.01949069083054011,-0.0007135173206137534,-0.5344009129040396,-0.0013910500793580703,-7.395716447889875e-05,-1.9995451247637306,0.06689482201091905,28.0,0.13525390625,True,neutral,0.64921875
MS3_occurrence,15.275892857142859,15.246428571428572,-0.029464285714285814,-0.03611210620450996,-0.4375223214285713,0.3848660714285704,-0.13511912893223538,0.8945873893564221,51.0,0.9515380859375,True,neutral,0.9515380859375
MS3_to_MS0,0.36958079200762073,0.36739699025519607,-0.0021838017524246633,-0.08605859567341978,-0.015349181732494197,0.010161069605815266,-0.3220017802095324,0.7525706470310085,51.0,0.9515380859375,True,neutral,0.9515380859375
MS3_to_MS1,0.18453767765359677,0.17752441287599166,-0.0070132647776051105,-0.2897068943624201,-0.02022927339346843,0.004007306330973442,-1.0839839413352645,0.2980668739709976,44.0,0.625732421875,True,neutral,0.89306640625
MS3_to_MS2,0.44588153033878264,0.45507859686881236,0.00919706653002977,0.338489167876236,-0.00423981136493747,0.022724758230456287,1.2665104953736959,0.22755332929298208,36.0,0.3258056640625,True,neutral,0.78193359375
