subject_id,path,rawdata_shape,label_values,raw_field,label_field
1,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-01/sub-01_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
2,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-02/sub-02_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
3,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-03/sub-03_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
4,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-04/sub-04_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
5,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-05/sub-05_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
6,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-06/sub-06_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
7,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-07/sub-07_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
8,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-08/sub-08_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
9,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-09/sub-09_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
10,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-10/sub-10_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
11,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-11/sub-11_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
12,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-12/sub-12_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
13,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-13/sub-13_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
14,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-14/sub-14_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
15,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-15/sub-15_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
16,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-16/sub-16_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
17,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-17/sub-17_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
18,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-18/sub-18_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
19,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-19/sub-19_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
20,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-20/sub-20_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
21,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-21/sub-21_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
22,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-22/sub-22_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
23,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-23/sub-23_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
24,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-24/sub-24_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
25,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-25/sub-25_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
26,/Users/vadim/Documents/School/Spring 2026/CSCE A698 Individual Research/EEG_JEPA/liu2024_figshare/sourcedata/sourcedata/sub-26/sub-26_task-motor-imagery_eeg.mat,"(40, 33, 4000)","{np.int64(1): np.int64(20), np.int64(2): np.int64(20)}",eeg.rawdata,eeg.label
