model_name,subject_id,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_kappa,n_splits
CSP_LDA,1,0.41875,0.10227448090527981,0.41875,-0.1625,10
CSP_LDA,2,0.46875,0.1358167167750552,0.46875,-0.0625,10
CSP_LDA,3,0.51875,0.08863353077576103,0.51875,0.0375,10
CSP_LDA,4,0.45,0.08228507357554792,0.45,-0.1,10
CSP_LDA,5,0.5,0.11023963796102461,0.5,0.0,10
CSP_LDA,6,0.48125,0.05929270612815709,0.48125,-0.0375,10
CSP_LDA,7,0.65,0.11102427162061855,0.65,0.3,10
CSP_LDA,8,0.4125,0.09860132971832694,0.4125,-0.175,10
CSP_LDA,9,0.45,0.10944937947136414,0.45,-0.1,10
CSP_LDA,10,0.48125,0.12517349071499834,0.48125,-0.0375,10
CSP_LDA,11,0.53125,0.13258252147247765,0.53125,0.0625,10
CSP_LDA,12,0.54375,0.05145453764678529,0.54375,0.0875,10
CSP_LDA,13,0.475,0.043700368673756304,0.475,-0.05,10
CSP_LDA,14,0.44375,0.14863382484780807,0.44375,-0.1125,10
CSP_LDA,15,0.55,0.12774758097296574,0.55,0.1,10
CSP_LDA,16,0.4,0.08936504412303008,0.4,-0.2,10
CSP_LDA,17,0.54375,0.0934021323810829,0.54375,0.0875,10
CSP_LDA,18,0.5375,0.15645819462932156,0.5375,0.075,10
CSP_LDA,19,0.425,0.10944937947136413,0.425,-0.15,10
CSP_LDA,20,0.65,0.08936504412303009,0.65,0.3,10
CSP_LDA,21,0.4875,0.12076147288491197,0.4875,-0.025,10
CSP_LDA,22,0.61875,0.13645435744844012,0.61875,0.2375,10
CSP_LDA,23,0.84375,0.0736569563735987,0.84375,0.6875,10
CSP_LDA,24,0.46875,0.08960755486502736,0.46875,-0.0625,10
CSP_LDA,25,0.45,0.1467234738471584,0.45,-0.1,10
CSP_LDA,26,0.5875,0.11858541225631421,0.5875,0.175,10
CSP_LDA,27,0.40625,0.142064392676936,0.40625,-0.1875,10
CSP_LDA,28,0.6875,0.051031036307982905,0.6875,0.375,10
CSP_LDA,29,0.60625,0.17442863074112067,0.60625,0.2125,10
CSP_LDA,30,0.56875,0.09524274542218715,0.56875,0.1375,10
