subject_id,method,n_trials,accuracy,balanced_accuracy,confusion_matrix
sub-01,riemann_1s,40,0.275,0.275,"[[6, 14], [15, 5]]"
sub-01,riemann_2s,40,0.375,0.375,"[[7, 13], [12, 8]]"
sub-01,riemann_equal_short_scales,40,0.325,0.325,"[[5, 15], [12, 8]]"
sub-01,shallow_locked,40,0.55,0.55,"[[9, 11], [7, 13]]"
sub-01,shallow_riemann_fusion,40,0.45,0.45,"[[7, 13], [9, 11]]"
sub-02,riemann_1s,40,0.625,0.625,"[[13, 7], [8, 12]]"
sub-02,riemann_2s,40,0.65,0.6499999999999999,"[[14, 6], [8, 12]]"
sub-02,riemann_equal_short_scales,40,0.675,0.675,"[[15, 5], [8, 12]]"
sub-02,shallow_locked,40,0.475,0.475,"[[13, 7], [14, 6]]"
sub-02,shallow_riemann_fusion,40,0.475,0.475,"[[14, 6], [15, 5]]"
sub-03,riemann_1s,40,0.65,0.65,"[[13, 7], [7, 13]]"
sub-03,riemann_2s,40,0.425,0.42500000000000004,"[[8, 12], [11, 9]]"
sub-03,riemann_equal_short_scales,40,0.525,0.525,"[[11, 9], [10, 10]]"
sub-03,shallow_locked,40,0.45,0.45,"[[8, 12], [10, 10]]"
sub-03,shallow_riemann_fusion,40,0.5,0.5,"[[10, 10], [10, 10]]"
sub-04,riemann_1s,40,0.45,0.45,"[[9, 11], [11, 9]]"
sub-04,riemann_2s,40,0.35,0.35,"[[8, 12], [14, 6]]"
sub-04,riemann_equal_short_scales,40,0.425,0.42500000000000004,"[[9, 11], [12, 8]]"
sub-04,shallow_locked,40,0.65,0.6499999999999999,"[[12, 8], [6, 14]]"
sub-04,shallow_riemann_fusion,40,0.575,0.575,"[[11, 9], [8, 12]]"
sub-05,riemann_1s,40,0.475,0.47500000000000003,"[[11, 9], [12, 8]]"
sub-05,riemann_2s,40,0.525,0.525,"[[10, 10], [9, 11]]"
sub-05,riemann_equal_short_scales,40,0.475,0.475,"[[9, 11], [10, 10]]"
sub-05,shallow_locked,40,0.7,0.7,"[[13, 7], [5, 15]]"
sub-05,shallow_riemann_fusion,40,0.625,0.625,"[[12, 8], [7, 13]]"
sub-06,riemann_1s,40,0.425,0.425,"[[10, 10], [13, 7]]"
