subject_id,control_balanced_accuracy,augmented_balanced_accuracy,delta_augmented_minus_control,control_accuracy,augmented_accuracy
1,0.5,0.525,0.025000000000000022,0.5,0.525
2,0.6000000000000001,0.65,0.04999999999999993,0.6,0.65
3,0.575,0.625,0.050000000000000044,0.575,0.625
4,0.675,0.625,-0.050000000000000044,0.675,0.625
5,0.625,0.525,-0.09999999999999998,0.625,0.525
6,0.575,0.55,-0.02499999999999991,0.575,0.55
7,0.525,0.55,0.025000000000000022,0.525,0.55
8,0.675,0.675,0.0,0.675,0.675
9,0.375,0.42500000000000004,0.050000000000000044,0.375,0.425
10,0.425,0.425,0.0,0.425,0.425
11,0.4,0.525,0.125,0.4,0.525
12,0.625,0.6499999999999999,0.02499999999999991,0.625,0.65
13,0.725,0.8,0.07500000000000007,0.725,0.8
14,0.6000000000000001,0.675,0.07499999999999996,0.6,0.675
15,0.5,0.5,0.0,0.5,0.5
16,0.47500000000000003,0.47500000000000003,0.0,0.475,0.475
17,0.525,0.525,0.0,0.525,0.525
18,0.975,0.925,-0.04999999999999993,0.975,0.925
19,0.45,0.45,0.0,0.45,0.45
20,0.625,0.6,-0.025000000000000022,0.625,0.6
21,0.47500000000000003,0.525,0.04999999999999999,0.475,0.525
22,0.875,0.825,-0.050000000000000044,0.875,0.825
23,0.5,0.45,-0.04999999999999999,0.5,0.45
24,0.55,0.55,0.0,0.55,0.55
25,0.7,0.525,-0.17499999999999993,0.7,0.525
26,0.575,0.525,-0.04999999999999993,0.575,0.525
27,0.325,0.325,0.0,0.325,0.325
28,0.65,0.675,0.025000000000000022,0.65,0.675
29,0.5,0.6,0.09999999999999998,0.5,0.6
30,0.825,0.75,-0.07499999999999996,0.825,0.75
31,0.525,0.575,0.04999999999999993,0.525,0.575
32,0.475,0.5,0.025000000000000022,0.475,0.5
33,0.575,0.6,0.025000000000000022,0.575,0.6
34,0.75,0.8,0.050000000000000044,0.75,0.8
35,0.525,0.55,0.025000000000000022,0.525,0.55
36,0.525,0.575,0.04999999999999993,0.525,0.575
37,0.5,0.525,0.025000000000000022,0.5,0.525
38,0.625,0.625,0.0,0.625,0.625
39,0.5,0.45,-0.04999999999999999,0.5,0.45
40,0.7250000000000001,0.675,-0.050000000000000044,0.725,0.675
41,0.575,0.6000000000000001,0.025000000000000133,0.575,0.6
42,0.625,0.55,-0.07499999999999996,0.625,0.55
43,0.5,0.45,-0.04999999999999999,0.5,0.45
44,0.475,0.6,0.125,0.475,0.6
45,0.375,0.47500000000000003,0.10000000000000003,0.375,0.475
46,0.5249999999999999,0.44999999999999996,-0.07499999999999996,0.525,0.45
47,0.55,0.55,0.0,0.55,0.55
48,0.575,0.55,-0.02499999999999991,0.575,0.55
49,0.5,0.5,0.0,0.5,0.5
50,0.47500000000000003,0.47500000000000003,0.0,0.475,0.475
