subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.09588869,-0.06815931,0.10242674,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,1,Fp2,0.03716821,0.03525339,0.04463328,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,2,Fz,0.05912443,0.03473359,0.06712218,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,3,F3,0.10431743,-0.10431743,0.12937744,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,4,F4,0.11826789,0.00444533,0.15352753,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,5,F7,0.05178019,0.0326592,0.05834002,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,6,F8,0.04453153,0.03804555,0.05742372,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,7,FCz,0.10123158,0.09592285,0.14702411,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,8,FC3,0.03511145,-0.02153762,0.0496599,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,9,FC4,0.11096013,-0.009484,0.14262073,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,10,FT7,0.08569264,0.06025583,0.11053079,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,11,FT8,0.05335139,0.05335139,0.05657547,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,12,Cz,0.09870045,0.07571866,0.13636722,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,13,C3,0.03929536,-0.03929536,0.05340783,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,14,C4,0.15312672,-0.07193955,0.17253838,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,15,T3,0.08319222,0.08319222,0.11017884,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,16,T4,0.11614987,-0.08425713,0.17847079,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,17,CP3,0.06892884,-0.01349811,0.08895267,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,18,CP4,0.13134369,0.13134369,0.13844933,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,19,TP7,0.12441421,-0.0967535,0.13922322,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,20,TP8,0.06013052,-0.03947643,0.07165006,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,21,Pz,0.08892943,-0.04590128,0.1058965,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,22,P3,0.06511251,0.05472588,0.0729922,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,23,P4,0.15386149,-0.04448356,0.17076039,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,24,T5,0.11118966,0.05115926,0.12539394,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,25,T6,0.05522572,-0.04309958,0.06545308,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,26,Oz,0.07611443,-0.03523158,0.07961595,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,27,O1,0.20408928,0.15339938,0.2151943,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,1,28,O2,0.12816437,-0.00616323,0.13163057,0.5,0.5,"[4, 4]",0.5,False,1.1355269,0.24196454,0.95144255,True
1,2,0,Fp1,0.12374998,-0.10925152,0.13735048,0.375,0.375,"[3, 5]",0.625,False,0.22020194,0.04113844,0.18450421,True
1,2,1,Fp2,0.06145543,0.05050686,0.08286851,0.375,0.375,"[3, 5]",0.625,False,0.22020194,0.04113844,0.18450421,True
1,2,2,Fz,0.11204387,-0.11204387,0.12385404,0.375,0.375,"[3, 5]",0.625,False,0.22020194,0.04113844,0.18450421,True
1,2,3,F3,0.10056779,0.03093052,0.10384101,0.375,0.375,"[3, 5]",0.625,False,0.22020194,0.04113844,0.18450421,True
