pretrained_mode,strategy,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,mean_confidence,mean_normalized_prediction_entropy,collapse_rate,n_folds
from_pretrained,full,1,0.5,0.15309310892394862,50.0,15.309310892394864,0.5,0.15309310892394862,50.0,15.309310892394864,0.552648182,0.9698777059999999,0.2,5
from_pretrained,full,2,0.6,0.13693063937629152,60.0,13.693063937629153,0.6,0.13693063937629152,60.0,13.693063937629153,0.584259348,0.8728756260000001,0.0,5
from_pretrained,full,3,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.716926006,0.752416516,0.0,5
from_pretrained,full,4,0.6,0.18540496217739155,60.0,18.540496217739157,0.6,0.18540496217739155,60.0,18.540496217739157,0.62161124,0.860501874,0.0,5
from_pretrained,full,5,0.5,0.15309310892394862,50.0,15.309310892394864,0.5,0.15309310892394862,50.0,15.309310892394864,0.6743938540000001,0.797881576,0.4,5
from_pretrained,full,6,0.475,0.13693063937629152,47.5,13.693063937629153,0.475,0.13693063937629152,47.5,13.693063937629153,0.537185362,0.9856086019999999,0.4,5
from_pretrained,full,7,0.65,0.18540496217739158,65.0,18.540496217739157,0.65,0.18540496217739158,65.0,18.540496217739157,0.77746494,0.656174972,0.0,5
from_pretrained,full,8,0.7,0.18957188610128875,70.0,18.957188610128878,0.7,0.18957188610128875,70.0,18.957188610128878,0.72987442,0.7171293679999999,0.0,5
from_pretrained,full,9,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.6891272620000001,0.826294124,0.0,5
from_pretrained,full,10,0.475,0.2850438562747845,47.5,28.50438562747845,0.475,0.2850438562747845,47.5,28.50438562747845,0.63733196,0.848968704,0.2,5
from_pretrained,full,11,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.507641382,0.9997953519999999,1.0,5
from_pretrained,full,12,0.575,0.06846531968814577,57.5,6.846531968814577,0.575,0.06846531968814577,57.5,6.846531968814577,0.507007124,0.999788318,0.4,5
from_pretrained,full,13,0.7,0.1118033988749895,70.0,11.180339887498947,0.7,0.1118033988749895,70.0,11.180339887498947,0.56488246,0.9637400100000001,0.0,5
from_pretrained,full,14,0.525,0.055901699437494734,52.5,5.5901699437494745,0.525,0.055901699437494734,52.5,5.5901699437494745,0.5724863840000001,0.941475892,0.6,5
from_pretrained,full,15,0.525,0.10458250331675945,52.5,10.458250331675945,0.525,0.10458250331675945,52.5,10.458250331675945,0.597180398,0.8920496100000002,0.2,5
from_pretrained,full,16,0.425,0.14252192813739226,42.5,14.252192813739224,0.425,0.14252192813739226,42.5,14.252192813739224,0.50870342,0.999713676,0.2,5
from_pretrained,full,17,0.575,0.11180339887498948,57.5,11.180339887498949,0.575,0.11180339887498948,57.5,11.180339887498949,0.520591848,0.99676055,0.6,5
from_pretrained,full,18,0.725,0.10458250331675945,72.5,10.458250331675945,0.725,0.10458250331675945,72.5,10.458250331675945,0.65559854,0.8741886799999999,0.0,5
from_pretrained,full,19,0.45,0.06846531968814577,45.0,6.846531968814577,0.45,0.06846531968814577,45.0,6.846531968814577,0.547411636,0.963264184,0.2,5
from_pretrained,full,20,0.575,0.14252192813739226,57.5,14.252192813739224,0.575,0.14252192813739226,57.5,14.252192813739224,0.610912648,0.938436218,0.0,5
from_pretrained,full,21,0.675,0.11180339887498948,67.5,11.180339887498949,0.675,0.11180339887498948,67.5,11.180339887498949,0.577292796,0.93338538,0.0,5
from_pretrained,full,22,0.85,0.10458250331675945,85.0,10.458250331675945,0.85,0.10458250331675945,85.0,10.458250331675945,0.825361114,0.549678864,0.0,5
from_pretrained,full,23,0.525,0.055901699437494755,52.5,5.5901699437494745,0.525,0.055901699437494755,52.5,5.5901699437494745,0.507592112,0.999795146,0.8,5
from_pretrained,full,24,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.507400356,0.999801312,0.4,5
from_pretrained,full,25,0.625,0.08838834764831845,62.5,8.838834764831844,0.625,0.08838834764831845,62.5,8.838834764831844,0.508463738,0.9996876499999999,0.0,5
from_pretrained,full,26,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.566983714,0.91820293,0.6,5
from_pretrained,full,27,0.425,0.18957188610128875,42.5,18.957188610128878,0.425,0.18957188610128875,42.5,18.957188610128878,0.5084498639999999,0.99966179,0.0,5
from_pretrained,full,28,0.6,0.13693063937629155,60.0,13.693063937629153,0.6,0.13693063937629155,60.0,13.693063937629153,0.526882214,0.991693168,0.4,5
