channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.1520983272,0.0057734266987153025,0.00612261688,0.15255412472000002,250,0.7735,0.244,0.06881241864
28,O2,0.1444451876,0.0046502231940283596,-0.0232984286,0.14747673492000002,250,0.7735,0.244,0.06881241864
15,T3,0.1262988166,0.006594731950399517,0.1262988166,0.13218947668,250,0.7735,0.244,0.06881241864
17,CP3,0.1214492266,0.004867648145237301,0.03119790612,0.13929085796000001,250,0.7735,0.244,0.06881241864
16,T4,0.12113161484,0.005127933049684281,0.01308891848,0.13411025676,250,0.7735,0.244,0.06881241864
27,O1,0.12091229056,0.006173584310239083,0.05559113564,0.13195795952,250,0.7735,0.244,0.06881241864
13,C3,0.11370654716,0.005617643950663913,0.07110478088,0.11635836056,250,0.7735,0.244,0.06881241864
18,CP4,0.11079766244,0.005004169403206648,0.033814458799999995,0.12781323848,250,0.7735,0.244,0.06881241864
0,Fp1,0.10959316908,0.005468010707214936,-0.09581960328,0.122480367,250,0.7735,0.244,0.06881241864
22,P3,0.10652517435999999,0.006787198155363652,0.10651719815999999,0.11624841816,250,0.7735,0.244,0.06881241864
23,P4,0.10518484992,0.005434436219100737,-0.09281930924,0.11729678255999999,250,0.7735,0.244,0.06881241864
2,Fz,0.10429216200000001,0.005006865003133278,-0.09815400664,0.1175527668,250,0.7735,0.244,0.06881241864
24,T5,0.10304752860000001,0.0069788418721530975,0.07232929484,0.1128341154,250,0.7735,0.244,0.06881241864
7,FCz,0.09928295856,0.006352805233017658,0.09895092048,0.11399575819999999,250,0.7735,0.244,0.06881241864
4,F4,0.09553262848,0.005407120253821587,0.01145079844,0.10650154828,250,0.7735,0.244,0.06881241864
20,TP8,0.09065843232000001,0.005175930386024303,-0.05914186668,0.10963960796000001,250,0.7735,0.244,0.06881241864
10,FT7,0.08957472543999999,0.005521570521361096,-0.05732066428,0.10339530356,250,0.7735,0.244,0.06881241864
3,F3,0.08741043279999999,0.005229188933909946,0.02860235944,0.09448362424,250,0.7735,0.244,0.06881241864
14,C4,0.086293343,0.005445353503241571,-0.07540938920000001,0.09717238376000001,250,0.7735,0.244,0.06881241864
5,F7,0.08614067716,0.00640516348685804,0.08268482760000001,0.09904788956,250,0.7735,0.244,0.06881241864
19,TP7,0.08430570059999999,0.005526205548956761,-0.02011644964,0.09451940716,250,0.7735,0.244,0.06881241864
11,FT8,0.08063560776,0.0046214494736122325,-0.00302767548,0.09797853072,250,0.7735,0.244,0.06881241864
25,T6,0.08020435551999999,0.005592410664047392,-0.06167292504,0.09231448724,250,0.7735,0.244,0.06881241864
12,Cz,0.07777606143999999,0.00550603374785604,0.07529825264000001,0.09236776796,250,0.7735,0.244,0.06881241864
26,Oz,0.07761154088000001,0.005766961160316655,0.04301101448,0.0806863694,250,0.7735,0.244,0.06881241864
1,Fp2,0.07744581823999999,0.006181173684985397,0.06146180523999999,0.09607670280000001,250,0.7735,0.244,0.06881241864
6,F8,0.07670985195999999,0.006280089624093653,-0.02831906524,0.07842860168,250,0.7735,0.244,0.06881241864
9,FC4,0.05931172656,0.005594825758888858,-0.057968645799999996,0.07658148092,250,0.7735,0.244,0.06881241864
8,FC3,0.03214595456,0.004673508996664029,0.005764946240000001,0.038789382840000004,250,0.7735,0.244,0.06881241864
