subject,fold,window_start_s,sjepa_acc,sjepa_bacc,sjepa_collapse,riemann_acc,riemann_bacc,riemann_collapse,fusion_acc,fusion_bacc,fusion_collapse
1,0,2.0,0.625,0.625,False,0.6875,0.6875,False,0.6875,0.6875,False
1,1,2.0,0.6875,0.6875,False,0.5,0.5,False,0.5,0.5,False
1,2,1.0,0.25,0.25,False,0.3125,0.3125,False,0.3125,0.3125,False
1,3,1.0,0.5625,0.5625,False,0.3125,0.3125,False,0.375,0.375,False
1,4,1.0,0.5,0.5,False,0.375,0.375,False,0.375,0.375,False
1,5,1.0,0.625,0.625,False,0.4375,0.4375,False,0.5,0.5,False
1,6,0.0,0.6875,0.6875,False,0.5625,0.5625,False,0.5625,0.5625,False
1,7,0.0,0.75,0.75,False,0.375,0.375,False,0.3125,0.3125,False
1,8,1.0,0.5625,0.5625,False,0.375,0.375,False,0.4375,0.4375,False
1,9,2.0,0.5625,0.5625,False,0.625,0.625,False,0.6875,0.6875,False
2,0,1.0,0.6875,0.6875,False,0.5,0.5,False,0.5,0.5,False
2,1,2.0,0.375,0.375,False,0.5625,0.5625,False,0.5,0.5,False
2,2,1.0,0.625,0.625,False,0.4375,0.4375,False,0.375,0.375,False
2,3,0.0,0.6875,0.6875,False,0.25,0.25,False,0.25,0.25,False
2,4,1.0,0.3125,0.3125,False,0.1875,0.1875,False,0.25,0.25,False
2,5,1.0,0.5,0.5,False,0.3125,0.3125,False,0.3125,0.3125,False
2,6,0.0,0.625,0.625,False,0.3125,0.3125,False,0.375,0.375,False
2,7,0.0,0.4375,0.4375,False,0.3125,0.3125,False,0.3125,0.3125,False
2,8,0.0,0.75,0.75,False,0.25,0.25,False,0.25,0.25,False
2,9,2.0,0.6875,0.6875,False,0.5625,0.5625,False,0.625,0.625,False
3,0,0.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
3,1,2.0,0.5625,0.5625,False,0.5,0.5,False,0.5625,0.5625,False
3,2,2.0,0.375,0.375,False,0.625,0.625,False,0.5625,0.5625,False
3,3,1.0,0.625,0.625,False,0.6875,0.6875,False,0.75,0.75,False
3,4,2.0,0.4375,0.4375,False,0.5,0.5,False,0.5625,0.5625,False
3,5,0.0,0.4375,0.4375,False,0.75,0.75,False,0.75,0.75,False
3,6,0.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
3,7,0.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
3,8,2.0,0.375,0.375,False,0.5625,0.5625,False,0.5625,0.5625,False
3,9,0.0,0.5,0.5,False,0.5625,0.5625,False,0.5625,0.5625,False
4,0,0.0,0.5625,0.5625,False,0.625,0.625,False,0.5,0.5,False
4,1,2.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
4,2,1.0,0.4375,0.4375,False,0.5625,0.5625,False,0.5625,0.5625,False
4,3,2.0,0.625,0.625,False,0.5625,0.5625,False,0.5,0.5,False
4,4,0.0,0.625,0.625,False,0.5,0.5,False,0.5,0.5,False
4,5,1.0,0.75,0.75,False,0.4375,0.4375,False,0.4375,0.4375,False
4,6,1.0,0.5625,0.5625,False,0.5625,0.5625,False,0.6875,0.6875,False
4,7,0.0,0.5625,0.5625,False,0.6875,0.6875,False,0.6875,0.6875,False
4,8,2.0,0.6875,0.6875,False,0.625,0.625,False,0.625,0.625,False
4,9,2.0,0.4375,0.4375,False,0.5,0.5,False,0.5,0.5,False
5,0,0.0,0.625,0.625,False,0.625,0.625,False,0.625,0.625,False
5,1,0.0,0.375,0.375,False,0.5,0.5,False,0.5,0.5,False
5,2,1.0,0.625,0.625,False,0.25,0.25,False,0.25,0.25,False
5,3,0.0,0.5625,0.5625,False,0.5,0.5,False,0.5,0.5,False
5,4,0.0,0.6875,0.6875,False,0.5,0.5,False,0.5,0.5,False
5,5,0.0,0.5,0.5,False,0.5,0.5,False,0.5625,0.5625,False
5,6,0.0,0.4375,0.4375,False,0.4375,0.4375,False,0.4375,0.4375,False
5,7,0.0,0.5,0.5,False,0.5,0.5,False,0.4375,0.4375,False
