dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,1,0,Fp1,0.11450989,0.11450989,0.12375849,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,1,Fp2,0.08885938,-0.06878042,0.09618134,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,2,Fz,0.07085917,0.06784876,0.09336128,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,3,F3,0.0394134,-0.02539676,0.0469359,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,4,F4,0.04120459,0.03442162,0.05490392,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,5,F7,0.08995232,0.03665155,0.09611402,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,6,F8,0.10076138,0.02611575,0.10985637,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,7,FCz,0.11571755,0.07023523,0.12273219,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,8,FC3,0.11483709,0.01820557,0.11644422,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
Liu2024_SourceMAT,1,1,9,FC4,0.16251943,-0.00720457,0.1635406,0.375,0.375,"[3, 5]",0.625,False,0.00538497,0.00050001,0.00460816,True
