dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Liu2024_SourceMAT,1,1,0.375,0.375,"[3, 5]",0.625,False,1,0.04104667,0.0060684,0.03512551,True,0.53812434,0.99469136,2170
Liu2024_SourceMAT,1,2,0.5,0.5,"[4, 4]",0.5,False,0,0.04163618,0.00566228,0.03562998,True,0.56372973,0.97934378,2170
Liu2024_SourceMAT,1,3,0.125,0.125,"[5, 3]",0.625,False,0,0.02335438,0.00293228,0.01998541,True,0.5497537,0.9896825,2170
Liu2024_SourceMAT,1,4,0.375,0.375,"[5, 3]",0.625,False,0,0.00906483,0.00100014,0.00775719,True,0.54237057,0.99079925,2170
Liu2024_SourceMAT,1,5,0.625,0.625,"[5, 3]",0.625,False,0,0.01317107,0.00149842,0.01127108,True,0.54525021,0.99183948,2170
Liu2024_SourceMAT,2,1,0.375,0.375,"[7, 1]",0.875,False,0,0.06109497,0.00906199,0.05228175,True,0.55782577,0.98726493,2170
Liu2024_SourceMAT,2,2,0.625,0.625,"[1, 7]",0.875,False,1,0.0510742,0.00605911,0.04370653,True,0.53841156,0.99522839,2170
Liu2024_SourceMAT,2,3,0.5,0.5,"[4, 4]",0.5,False,0,0.08215515,0.01185376,0.07030391,True,0.55414391,0.98950722,2170
Liu2024_SourceMAT,2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.05699767,0.00733834,0.04877551,True,0.5602855,0.98518666,2170
Liu2024_SourceMAT,2,5,0.75,0.75,"[6, 2]",0.75,False,0,0.0832258,0.01202178,0.07122011,True,0.58061171,0.97800449,2170
Liu2024_SourceMAT,3,1,0.625,0.625,"[5, 3]",0.625,False,0,0.03521533,0.00438126,0.03013536,True,0.53589056,0.99435124,2170
Liu2024_SourceMAT,3,2,0.625,0.625,"[7, 1]",0.875,False,0,0.08601125,0.01231498,0.07360375,True,0.56358013,0.98061239,2170
Liu2024_SourceMAT,3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.08333116,0.0127972,0.07131027,True,0.58336192,0.96828267,2170
Liu2024_SourceMAT,3,4,0.125,0.125,"[3, 5]",0.625,False,1,0.09398905,0.01223114,0.08043072,True,0.56212928,0.98679433,2170
Liu2024_SourceMAT,3,5,0.875,0.875,"[5, 3]",0.625,False,0,0.04337242,0.00600456,0.03711576,True,0.53882149,0.994066,2170
Liu2024_SourceMAT,4,1,0.375,0.375,"[5, 3]",0.625,False,0,0.0239767,0.00297081,0.02051796,True,0.54209679,0.99319714,2170
Liu2024_SourceMAT,4,2,0.625,0.625,"[5, 3]",0.625,False,0,0.05651243,0.00825271,0.04836027,True,0.53737232,0.99436737,2170
Liu2024_SourceMAT,4,3,0.375,0.375,"[7, 1]",0.875,False,0,0.02240628,0.00342084,0.01917408,True,0.53141097,0.99571755,2170
Liu2024_SourceMAT,4,4,0.375,0.375,"[5, 3]",0.625,False,0,0.08830875,0.01275434,0.07556983,True,0.53804537,0.99399085,2170
Liu2024_SourceMAT,4,5,0.375,0.375,"[7, 1]",0.875,False,0,0.04376465,0.00603591,0.03745141,True,0.53975142,0.99432244,2170
Liu2024_SourceMAT,5,1,0.625,0.625,"[7, 1]",0.875,False,0,0.00538514,0.00050001,0.00460831,True,0.52679331,0.99665487,2170
Liu2024_SourceMAT,5,2,0.375,0.375,"[7, 1]",0.875,False,0,0.00538514,0.00050001,0.00460831,True,0.54557186,0.98972282,2170
Liu2024_SourceMAT,5,3,0.625,0.625,"[3, 5]",0.625,False,1,0.00538511,0.00050001,0.00460828,True,0.53673551,0.99473347,2170
Liu2024_SourceMAT,5,4,0.5,0.5,"[4, 4]",0.5,False,0,0.00538514,0.00050001,0.00460831,True,0.52654684,0.99596082,2170
Liu2024_SourceMAT,5,5,0.625,0.625,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.52912235,0.99669134,2170
Liu2024_SourceMAT,6,1,0.375,0.375,"[5, 3]",0.625,False,0,0.04291002,0.005983,0.03672007,True,0.54058301,0.99240836,2170
Liu2024_SourceMAT,6,2,0.125,0.125,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.00460829,True,0.52557276,0.99661323,2170
Liu2024_SourceMAT,6,3,0.375,0.375,"[5, 3]",0.625,False,0,0.01670627,0.00199337,0.01429632,True,0.51650018,0.99827366,2170
Liu2024_SourceMAT,6,4,0.375,0.375,"[5, 3]",0.625,False,0,0.05918778,0.0089946,0.05064969,True,0.56493175,0.98027506,2170
Liu2024_SourceMAT,6,5,0.625,0.625,"[5, 3]",0.625,False,0,0.03048156,0.00439078,0.02608446,True,0.53032101,0.99699411,2170
Liu2024_SourceMAT,7,1,0.375,0.375,"[5, 3]",0.625,False,0,0.0053851,0.00050001,0.00460828,True,0.55052974,0.98943126,2170
Liu2024_SourceMAT,7,2,0.25,0.25,"[4, 4]",0.5,False,0,0.00538514,0.00050001,0.00460831,True,0.54225157,0.99363429,2170
Liu2024_SourceMAT,7,3,0.5,0.5,"[6, 2]",0.75,False,0,0.00538513,0.00050001,0.0046083,True,0.54926463,0.98820448,2170
Liu2024_SourceMAT,7,4,0.5,0.5,"[6, 2]",0.75,False,0,0.05563586,0.00762315,0.04761015,True,0.53444467,0.99495741,2170
Liu2024_SourceMAT,7,5,0.5,0.5,"[4, 4]",0.5,False,0,0.07762986,0.01054865,0.06643141,True,0.55336112,0.98866354,2170
Liu2024_SourceMAT,8,1,0.75,0.75,"[2, 6]",0.75,False,1,0.07023152,0.01278858,0.06010031,True,0.5809119,0.97447016,2170
Liu2024_SourceMAT,8,2,0.875,0.875,"[5, 3]",0.625,False,0,0.064735,0.01203394,0.0553967,True,0.58371539,0.97290127,2170
Liu2024_SourceMAT,8,3,0.75,0.75,"[4, 4]",0.5,False,0,0.06923048,0.01158383,0.05924368,True,0.59582066,0.96022173,2170
Liu2024_SourceMAT,8,4,0.625,0.625,"[5, 3]",0.625,False,0,0.07789746,0.01246381,0.06666042,True,0.59733129,0.95315119,2170
Liu2024_SourceMAT,8,5,0.75,0.75,"[4, 4]",0.5,False,0,0.06803435,0.01094197,0.0582201,True,0.60034725,0.95445987,2170
Liu2024_SourceMAT,9,1,0.625,0.625,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.00460829,True,0.53842523,0.99348036,2170
Liu2024_SourceMAT,9,2,0.25,0.25,"[2, 6]",0.75,False,1,0.07615534,0.01042632,0.0651696,True,0.5582372,0.98689621,2170
Liu2024_SourceMAT,9,3,0.5,0.5,"[6, 2]",0.75,False,0,0.03323567,0.00435236,0.02844128,True,0.54299197,0.99358431,2170
Liu2024_SourceMAT,9,4,0.5,0.5,"[6, 2]",0.75,False,0,0.09572792,0.01191733,0.08191875,True,0.56687368,0.98229171,2170
Liu2024_SourceMAT,9,5,0.25,0.25,"[6, 2]",0.75,False,0,0.05776135,0.00762764,0.04942902,True,0.55319057,0.98941779,2170
Liu2024_SourceMAT,10,1,0.375,0.375,"[7, 1]",0.875,False,0,0.05850011,0.01039069,0.05006122,True,0.56433662,0.98288806,2170
Liu2024_SourceMAT,10,2,0.125,0.125,"[5, 3]",0.625,False,0,0.04393259,0.00608634,0.03759512,True,0.53244704,0.99316437,2170
Liu2024_SourceMAT,10,3,0.375,0.375,"[5, 3]",0.625,False,0,0.00538513,0.00050001,0.0046083,True,0.52768517,0.99551812,2170
Liu2024_SourceMAT,10,4,0.5,0.5,"[4, 4]",0.5,False,0,0.00538504,0.00050001,0.00460823,True,0.50980107,0.99957544,2170
Liu2024_SourceMAT,10,5,0.875,0.875,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.00460829,True,0.5345453,0.99432876,2170
Liu2024_SourceMAT,11,1,0.375,0.375,"[5, 3]",0.625,False,0,0.07796071,0.01212547,0.06671454,True,0.54342234,0.99317113,2170
Liu2024_SourceMAT,11,2,0.625,0.625,"[7, 1]",0.875,False,0,0.00538514,0.00050001,0.00460831,True,0.53359059,0.99419764,2170
Liu2024_SourceMAT,11,3,0.5,0.5,"[6, 2]",0.75,False,0,0.08762681,0.0121541,0.07498627,True,0.58674928,0.97426866,2170
Liu2024_SourceMAT,11,4,0.625,0.625,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.54231051,0.99114481,2170
Liu2024_SourceMAT,11,5,0.375,0.375,"[5, 3]",0.625,False,0,0.06804271,0.01005231,0.05822726,True,0.5699033,0.9812042,2170
Liu2024_SourceMAT,12,1,0.5,0.5,"[6, 2]",0.75,False,0,0.01343312,0.00149912,0.01149533,True,0.54153948,0.99328142,2170
Liu2024_SourceMAT,12,2,0.5,0.5,"[4, 4]",0.5,False,0,0.04669421,0.00610253,0.03995837,True,0.55814146,0.98435464,2170
Liu2024_SourceMAT,12,3,0.375,0.375,"[3, 5]",0.625,False,1,0.06387155,0.01046939,0.05465781,True,0.53307461,0.99563068,2170
Liu2024_SourceMAT,12,4,0.25,0.25,"[6, 2]",0.75,False,0,0.04448918,0.00612385,0.03807142,True,0.56236544,0.98688885,2170
Liu2024_SourceMAT,12,5,0.5,0.5,"[6, 2]",0.75,False,0,0.00880545,0.00100015,0.00753522,True,0.54372798,0.99295803,2170
Liu2024_SourceMAT,13,1,0.375,0.375,"[5, 3]",0.625,False,0,0.08081326,0.01225286,0.06915559,True,0.55432261,0.98481418,2170
Liu2024_SourceMAT,13,2,0.625,0.625,"[3, 5]",0.625,False,1,0.03160116,0.00430872,0.02704255,True,0.52252147,0.99803308,2170
Liu2024_SourceMAT,13,3,0.625,0.625,"[7, 1]",0.875,False,0,0.07834719,0.01217855,0.06704527,True,0.54959866,0.98955678,2170
Liu2024_SourceMAT,13,4,0.5,0.5,"[8, 0]",1.0,True,0,0.09264365,0.01226544,0.0792794,True,0.59677119,0.96046598,2170
Liu2024_SourceMAT,13,5,0.5,0.5,"[4, 4]",0.5,False,0,0.07774819,0.01218194,0.06653268,True,0.56706344,0.97477689,2170
Liu2024_SourceMAT,14,1,0.625,0.625,"[7, 1]",0.875,False,0,0.00538514,0.00050001,0.00460831,True,0.538215,0.99353695,2170
Liu2024_SourceMAT,14,2,0.5,0.5,"[6, 2]",0.75,False,0,0.00538504,0.00050001,0.00460823,True,0.54648818,0.99046033,2170
Liu2024_SourceMAT,14,3,0.5,0.5,"[4, 4]",0.5,False,0,0.04695296,0.00613515,0.04017979,True,0.54081877,0.99327191,2170
Liu2024_SourceMAT,14,4,0.625,0.625,"[5, 3]",0.625,False,0,0.08701235,0.01241827,0.07446044,True,0.55413038,0.9884637,2170
Liu2024_SourceMAT,14,5,0.375,0.375,"[7, 1]",0.875,False,0,0.07970684,0.01212768,0.06820878,True,0.56955326,0.97860042,2170
Liu2024_SourceMAT,15,1,0.625,0.625,"[5, 3]",0.625,False,0,0.0128711,0.00149962,0.01101439,True,0.53806899,0.99323744,2170
Liu2024_SourceMAT,15,2,0.375,0.375,"[5, 3]",0.625,False,0,0.00538512,0.00050001,0.00460829,True,0.52740377,0.99711995,2170
Liu2024_SourceMAT,15,3,0.625,0.625,"[5, 3]",0.625,False,0,0.00538514,0.00050001,0.00460831,True,0.51750643,0.99886915,2170
Liu2024_SourceMAT,15,4,0.5,0.5,"[4, 4]",0.5,False,0,0.05997885,0.00798599,0.05132664,True,0.53688639,0.99422833,2170
Liu2024_SourceMAT,15,5,0.375,0.375,"[3, 5]",0.625,False,1,0.00538514,0.00050001,0.00460831,True,0.53320034,0.9958781,2170
Liu2024_SourceMAT,16,1,0.625,0.625,"[5, 3]",0.625,False,0,0.07902653,0.01234118,0.06762661,True,0.57336584,0.98186665,2170
Liu2024_SourceMAT,16,2,0.375,0.375,"[5, 3]",0.625,False,0,0.00832924,0.00100008,0.00712771,True,0.52249663,0.99796413,2170
Liu2024_SourceMAT,16,3,0.25,0.25,"[6, 2]",0.75,False,0,0.01273106,0.00149898,0.01089455,True,0.53185471,0.99619568,2170
Liu2024_SourceMAT,16,4,0.375,0.375,"[1, 7]",0.875,False,1,0.00538513,0.00050001,0.0046083,True,0.53231045,0.99584184,2170
Liu2024_SourceMAT,16,5,0.5,0.5,"[2, 6]",0.75,False,1,0.00538513,0.00050001,0.0046083,True,0.52833522,0.99677149,2170
Liu2024_SourceMAT,17,1,0.5,0.5,"[6, 2]",0.75,False,0,0.08790378,0.0123847,0.07522328,True,0.55898849,0.98702691,2170
Liu2024_SourceMAT,17,2,0.625,0.625,"[5, 3]",0.625,False,0,0.04118546,0.00561113,0.03524428,True,0.54724707,0.98792797,2170
Liu2024_SourceMAT,17,3,0.625,0.625,"[7, 1]",0.875,False,0,0.06693574,0.01000507,0.05727997,True,0.55738525,0.98560493,2170
Liu2024_SourceMAT,17,4,0.5,0.5,"[8, 0]",1.0,True,0,0.07807235,0.01208548,0.06681007,True,0.55577586,0.98245535,2170
Liu2024_SourceMAT,17,5,0.625,0.625,"[5, 3]",0.625,False,0,0.07708872,0.01261469,0.06596834,True,0.54403834,0.98728991,2170
Liu2024_SourceMAT,18,1,0.5,0.5,"[8, 0]",1.0,True,0,0.08665542,0.01243712,0.074155,True,0.59026875,0.96203734,2170
Liu2024_SourceMAT,18,2,0.5,0.5,"[0, 8]",1.0,True,1,0.08934839,0.01247015,0.07645949,True,0.60075603,0.95987813,2170
Liu2024_SourceMAT,18,3,0.75,0.75,"[4, 4]",0.5,False,0,0.08963303,0.01225168,0.07670307,True,0.59440329,0.95989853,2170
Liu2024_SourceMAT,18,4,0.75,0.75,"[4, 4]",0.5,False,0,0.07450643,0.01162251,0.06375855,True,0.58385468,0.97494237,2170
Liu2024_SourceMAT,18,5,0.5,0.5,"[6, 2]",0.75,False,0,0.08569322,0.0122613,0.0733316,True,0.61714658,0.94883484,2170
Liu2024_SourceMAT,19,1,0.5,0.5,"[4, 4]",0.5,False,0,0.08676552,0.01244088,0.07424921,True,0.5853738,0.97006366,2170
Liu2024_SourceMAT,19,2,0.625,0.625,"[3, 5]",0.625,False,1,0.03316037,0.00442736,0.02837684,True,0.54567493,0.99065019,2170
Liu2024_SourceMAT,19,3,0.25,0.25,"[6, 2]",0.75,False,0,0.08575815,0.01243044,0.07338716,True,0.59492426,0.9483979,2170
Liu2024_SourceMAT,19,4,0.625,0.625,"[7, 1]",0.875,False,0,0.02113015,0.00249357,0.01808203,True,0.54530166,0.98891132,2170
Liu2024_SourceMAT,19,5,0.5,0.5,"[6, 2]",0.75,False,0,0.07601015,0.01111695,0.06504536,True,0.5786351,0.97052493,2170
Liu2024_SourceMAT,20,1,0.875,0.875,"[5, 3]",0.625,False,0,0.07643778,0.01207072,0.06541129,True,0.56650101,0.98195804,2170
Liu2024_SourceMAT,20,2,0.625,0.625,"[7, 1]",0.875,False,0,0.08814276,0.01215269,0.07542778,True,0.60517819,0.94629627,2170
