dataset_name,subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
Liu2024_SourceMAT,1,1,0,Fp1,0.1143599,0.1143599,0.12354318,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,1,Fp2,0.0887094,-0.06878043,0.09608361,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,2,Fz,0.07100917,0.06784876,0.09356509,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,3,F3,0.0395634,-0.02554676,0.04714651,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,4,F4,0.0410546,0.03412163,0.05471634,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,5,F7,0.08995233,0.03680155,0.09603905,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,6,F8,0.1006114,0.02581576,0.10978546,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,7,FCz,0.11541757,0.07008524,0.12244939,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,8,FC3,0.1146871,0.01835557,0.11631657,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,9,FC4,0.16251943,-0.00750455,0.1635541,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,10,FT7,0.12803183,0.04869141,0.13585277,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,11,FT8,0.09471723,-0.03220776,0.10046374,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,12,Cz,0.07464583,0.02101756,0.08283018,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
Liu2024_SourceMAT,1,1,13,C3,0.12116458,0.08817215,0.13038468,0.375,0.375,"[3, 5]",0.625,False,0.002154,0.0002,0.00184327,True
