subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[5, 3]",0.625,False,0,0.0477035,0.00549138,0.04082207,True,0.50209914,0.99997923,16010
1,2,0.375,0.375,"[5, 3]",0.625,False,0,0.20094355,0.03220931,0.17195657,True,0.6859967,0.88018911,16010
1,3,0.625,0.625,"[3, 5]",0.625,False,1,0.09857981,0.01371294,0.08435924,True,0.51337057,0.99933533,16010
1,4,0.5,0.5,"[8, 0]",1.0,True,0,0.04806725,0.00553388,0.04113334,True,0.50358093,0.99995867,16010
1,5,0.75,0.75,"[4, 4]",0.5,False,0,0.16541598,0.02312369,0.14155401,True,0.5504092,0.98767711,16010
2,1,0.625,0.625,"[3, 5]",0.625,False,1,0.11298334,0.01592132,0.096685,True,0.59134528,0.96893748,16010
2,2,0.5,0.5,"[4, 4]",0.5,False,0,0.15273838,0.0238328,0.13070521,True,0.62691469,0.93068268,16010
2,3,0.625,0.625,"[5, 3]",0.625,False,0,0.0454077,0.00555273,0.03885744,True,0.50640554,0.9998434,16010
2,4,0.5,0.5,"[6, 2]",0.75,False,0,0.13088198,0.02206136,0.11200169,True,0.64115996,0.90344119,16010
2,5,0.5,0.5,"[4, 4]",0.5,False,0,0.11856303,0.01706771,0.10145979,True,0.5738038,0.97807691,16010
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.04793893,0.0055647,0.04102353,True,0.50499919,0.99984361,16010
3,2,0.5,0.5,"[6, 2]",0.75,False,0,0.15910786,0.02092368,0.13615586,True,0.57783756,0.97318392,16010
3,3,0.375,0.375,"[5, 3]",0.625,False,0,0.05291471,0.006534,0.04528153,True,0.50719094,0.99974297,16010
3,4,0.5,0.5,"[6, 2]",0.75,False,0,0.11582827,0.01482946,0.09911954,True,0.54714118,0.99235273,16010
3,5,0.625,0.625,"[5, 3]",0.625,False,0,0.14099133,0.01773344,0.12065272,True,0.54290984,0.99205302,16010
4,1,0.5,0.5,"[2, 6]",0.75,False,1,0.18425666,0.02879963,0.15767684,True,0.84584973,0.56910259,16010
4,2,0.75,0.75,"[4, 4]",0.5,False,0,0.17795107,0.02198986,0.15228085,True,0.57934187,0.97493021,16010
4,3,0.625,0.625,"[5, 3]",0.625,False,0,0.04311284,0.00556017,0.03689362,True,0.50562142,0.99988917,16010
4,4,0.875,0.875,"[5, 3]",0.625,False,0,0.0478567,0.00553834,0.04095316,True,0.50459571,0.9999263,16010
4,5,0.625,0.625,"[7, 1]",0.875,False,0,0.20558947,0.03180084,0.1759323,True,0.75992438,0.69825551,16010
5,1,0.625,0.625,"[7, 1]",0.875,False,0,0.0490252,0.00553282,0.0419531,True,0.50173613,0.99998302,16010
5,2,0.625,0.625,"[5, 3]",0.625,False,0,0.25322612,0.03620099,0.21669715,True,0.58746368,0.96445999,16010
5,3,0.625,0.625,"[3, 5]",0.625,False,1,0.04741519,0.00552931,0.04057534,True,0.50244907,0.99997353,16010
5,4,0.5,0.5,"[4, 4]",0.5,False,0,0.19915471,0.02603251,0.17042578,True,0.52256873,0.99773721,16010
5,5,0.5,0.5,"[6, 2]",0.75,False,0,0.19126955,0.02628578,0.16367809,True,0.56069326,0.98458448,16010
6,1,0.5,0.5,"[6, 2]",0.75,False,0,0.17633582,0.02426111,0.15089861,True,0.62636648,0.93447963,16010
6,2,0.5,0.5,"[6, 2]",0.75,False,0,0.04264937,0.0055233,0.03649701,True,0.50465894,0.99989488,16010
