channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
9,FC4,0.16125634156000002,0.007334895092233884,-0.007032871959999999,0.16253683632,250,0.669,0.028,0.10344820392
21,Pz,0.13416937232,0.0061993900812235495,0.0405583016,0.14702797644,250,0.669,0.028,0.10344820392
10,FT7,0.12607136436,0.00707176227337528,0.046853687399999996,0.13486227848,250,0.669,0.028,0.10344820392
13,C3,0.11975903560000001,0.005924111702797096,0.08672583956,0.12901014024,250,0.669,0.028,0.10344820392
7,FCz,0.114834783,0.00686132201690435,0.06997614903999999,0.12243049348,250,0.669,0.028,0.10344820392
8,FC3,0.11470859656,0.005559806798356177,0.01750339272,0.11680946068,250,0.669,0.028,0.10344820392
0,Fp1,0.11428080312,0.0063781075337830005,0.11428080312,0.12400965428,250,0.669,0.028,0.10344820392
18,CP4,0.11372554927999999,0.005659385494931162,0.05596642996,0.13051578212,250,0.669,0.028,0.10344820392
28,O2,0.11344545184,0.006171750106856056,0.00560629328,0.12408139824,250,0.669,0.028,0.10344820392
15,T3,0.11118158356,0.007011307654411275,0.0901631316,0.12123746835999999,250,0.669,0.028,0.10344820392
24,T5,0.11001048532,0.006638288843106647,0.023450767719999998,0.12268701608,250,0.669,0.028,0.10344820392
20,TP8,0.10692214972,0.006799870776645793,-0.0191035018,0.11535416516,250,0.669,0.028,0.10344820392
6,F8,0.10002672492,0.006854276971140155,0.0263553778,0.10985435348,250,0.669,0.028,0.10344820392
14,C4,0.09991047068,0.00646058007282012,-0.00747257348,0.1179188174,250,0.669,0.028,0.10344820392
19,TP7,0.09522910512,0.006706173319552043,-0.00897998684,0.10234831888,250,0.669,0.028,0.10344820392
11,FT8,0.09394278584,0.006441496125379115,-0.0320796024,0.10043400636,250,0.669,0.028,0.10344820392
1,Fp2,0.08975893811999999,0.006463568920019295,-0.06873971108,0.09771276079999999,250,0.669,0.028,0.10344820392
5,F7,0.08891268220000001,0.007041678731424173,0.03542642268,0.09579217712,250,0.669,0.028,0.10344820392
26,Oz,0.08488036044000001,0.0067615945152722555,-0.02569225444,0.09490175216,250,0.669,0.028,0.10344820392
25,T6,0.08439691752,0.006308929687896957,0.00042786660000000004,0.10331521892000001,250,0.669,0.028,0.10344820392
23,P4,0.08134497136,0.006538441636471824,0.01070396128,0.09357908604,250,0.669,0.028,0.10344820392
17,CP3,0.07811398748000001,0.0062713678228268795,-0.0749646434,0.09430423984,250,0.669,0.028,0.10344820392
12,Cz,0.07460063152,0.006861603243888343,0.0208864694,0.08294828812,250,0.669,0.028,0.10344820392
16,T4,0.07350066224,0.006253908543157224,-0.014142869600000002,0.08133103272,250,0.669,0.028,0.10344820392
2,Fz,0.07241169628,0.005324063524293581,0.06774378332,0.09373558527999999,250,0.669,0.028,0.10344820392
22,P3,0.06959798019999999,0.006554004670975223,-0.04850459948,0.07385551868000001,250,0.669,0.028,0.10344820392
27,O1,0.04586555172,0.005814469518464675,0.0309193572,0.05414407604,250,0.669,0.028,0.10344820392
4,F4,0.04182029484,0.006150125611594821,0.03522512364,0.05531749128,250,0.669,0.028,0.10344820392
3,F3,0.04129571712,0.005785899849094548,-0.02550213724,0.04904054648,250,0.669,0.028,0.10344820392
