subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,source_unit,final_model_unit,demean_mode,reference_mode,reference_timing,resample,effective_sfreq,filter_enabled,filter_low,filter_high,filter_method,mi_window_start_s
1,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
2,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
3,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
4,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
5,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
6,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
7,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
8,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
9,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
10,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
11,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
12,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
13,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
14,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
15,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
16,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
17,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
18,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
19,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
20,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
21,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
22,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
23,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
24,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
25,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
26,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
27,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
28,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
29,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
30,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
31,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
32,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
33,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
34,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
35,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
36,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
37,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
38,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
39,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
40,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
41,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
42,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
43,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
44,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
45,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
46,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
47,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
48,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
49,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
50,40,"[20, 20]","(40, 29, 1050)",2000,500,1550,1050,4.2,microvolts,microvolts,trial_mean,average,before_resample_filter,True,250.0,True,0.5,40.0,fir,2.0
