subject_id,n_windows,class_counts,preprocessed_shape,resampled_samples_per_trial,crop_start_sample,crop_stop_sample,target_window_samples,effective_window_duration_s,source_unit,final_model_unit,demean_mode,reference_mode,reference_timing,resample,effective_sfreq,filter_enabled,filter_low,filter_high,filter_method,mi_window_start_s,eog_correction,artifact_clip_mode,reject_bad_trials,normalization_mode,artifact_clip_applied,artifact_clip_threshold,n_trials_before_reject,n_trials_after_reject,n_rejected_trials,rejection_skipped
1,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
2,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
3,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
4,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
5,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
6,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
7,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
8,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
9,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
10,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
11,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
12,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
13,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
14,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
15,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
16,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
17,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
18,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
19,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
20,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
21,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
22,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
23,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
24,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
25,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
26,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
27,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
28,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
29,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
30,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
31,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
32,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
33,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
34,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
35,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
36,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
37,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
38,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
39,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
40,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
41,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
42,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
43,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
44,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
45,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
46,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
47,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
48,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
49,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
50,40,"[20, 20]","(40, 29, 537)",1024,256,793,537,4.1953125,microvolts,microvolts,none,average,before_resample_filter,True,128.0,True,0.5,40.0,fir,2.0,none,none,False,none,False,,40,40,0,False
