channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13926742768,0.028753438992408828,0.0042299062,0.14402436592,250,0.8245,0.468,0.29526287044000005
28,O2,0.13543270899999998,0.02588781531011104,-0.0167045446,0.14167101928,250,0.8245,0.468,0.29526287044000005
17,CP3,0.12422276155999999,0.025774538487828538,0.024300428239999998,0.14267877516,250,0.8245,0.468,0.29526287044000005
15,T3,0.12049114324,0.02279015256887669,0.11359464988000001,0.12932567516000001,250,0.8245,0.468,0.29526287044000005
27,O1,0.11312690816,0.021695758879908347,0.04619364,0.12487994784,250,0.8245,0.468,0.29526287044000005
16,T4,0.11305276408,0.020606237173372784,0.017487916160000002,0.12727591532,250,0.8245,0.468,0.29526287044000005
13,C3,0.11190901584,0.021435173716910002,0.05820341156,0.11910588463999999,250,0.8245,0.468,0.29526287044000005
18,CP4,0.11049390116,0.021667481977012692,0.037160544440000005,0.12771761368,250,0.8245,0.468,0.29526287044000005
2,Fz,0.10739042384,0.019666451234832186,-0.09608686968,0.12186817103999999,250,0.8245,0.468,0.29526287044000005
22,P3,0.1042175224,0.02267001743785026,0.09336787595999999,0.11644342299999999,250,0.8245,0.468,0.29526287044000005
23,P4,0.1040706634,0.0249747976219419,-0.08144735952000001,0.11709947872000001,250,0.8245,0.468,0.29526287044000005
0,Fp1,0.10020928364,0.02470382830178042,-0.0843144824,0.11332363583999999,250,0.8245,0.468,0.29526287044000005
24,T5,0.10018185791999999,0.022356868044434416,0.06177000036,0.11156941140000001,250,0.8245,0.468,0.29526287044000005
7,FCz,0.09960367384,0.022313560116391587,0.08817874476,0.11440669296,250,0.8245,0.468,0.29526287044000005
4,F4,0.09582683864000001,0.02129970320941508,0.0153943642,0.10762105416,250,0.8245,0.468,0.29526287044000005
20,TP8,0.09304654048000001,0.02366719444441059,-0.04940115548,0.11058560735999999,250,0.8245,0.468,0.29526287044000005
14,C4,0.08833208788000001,0.019372361530990156,-0.06330207659999999,0.10045498916,250,0.8245,0.468,0.29526287044000005
3,F3,0.0881945408,0.01825862478879973,0.03015169336,0.09773434,250,0.8245,0.468,0.29526287044000005
10,FT7,0.08788824596,0.019353920384226446,-0.04950120544,0.10126987516,250,0.8245,0.468,0.29526287044000005
19,TP7,0.08618469068000001,0.021538937493718983,-0.0228639188,0.09784539272000001,250,0.8245,0.468,0.29526287044000005
5,F7,0.08460170592,0.019638654372186627,0.07622871896,0.09788768588,250,0.8245,0.468,0.29526287044000005
11,FT8,0.08242870960000001,0.02329739399256016,-0.00045226203999999994,0.09813325132,250,0.8245,0.468,0.29526287044000005
12,Cz,0.07979002296,0.01882936524492229,0.06812070328,0.09377028784,250,0.8245,0.468,0.29526287044000005
26,Oz,0.0795252906,0.01853280030739057,0.04020484476,0.08539211364,250,0.8245,0.468,0.29526287044000005
25,T6,0.07847151495999999,0.017237317351489513,-0.05185612028,0.09034819163999999,250,0.8245,0.468,0.29526287044000005
6,F8,0.0762599378,0.021441402772527166,-0.019853068959999998,0.08199487456,250,0.8245,0.468,0.29526287044000005
1,Fp2,0.07322397312,0.016016315989896352,0.053282434000000004,0.09018534724,250,0.8245,0.468,0.29526287044000005
9,FC4,0.06313204672,0.019679396224499886,-0.04648524792,0.07922340928,250,0.8245,0.468,0.29526287044000005
8,FC3,0.04613752284,0.030127658479955733,0.0007442147199999998,0.05427141124,250,0.8245,0.468,0.29526287044000005
