subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.625,0.625,"[3, 5]",0.625,False,1,0.22014652,0.03602874,0.18445778,True,0.51109044,0.9994341,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.17264064,0.03075663,0.14465325,True,0.51171655,0.99950162,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.22765617,0.03748737,0.19075001,True,0.51082505,0.9994709,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.36396924,0.07558655,0.30496488,True,0.5249722,0.99767078,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538504,0.0005,0.00451205,True,0.50776929,0.99981235,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.78173791,0.15306087,0.65500757,True,0.64170729,0.91543963,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.21972713,0.03674029,0.18410637,True,0.5259165,0.99765613,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.24750803,0.04012071,0.20738361,True,0.54802586,0.99195024,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.24619151,0.04038303,0.20628052,True,0.52512787,0.99774008,2170
2,5,0.75,0.75,"[4, 4]",0.5,False,0,0.17526497,0.0277878,0.14685214,True,0.51828162,0.9987807,2170
3,1,0.625,0.625,"[3, 5]",0.625,False,1,1.07705383,0.25895448,0.90244876,True,0.58103192,0.9754731,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.92369133,0.18944857,0.77394841,True,0.66512129,0.90676419,2170
3,3,0.75,0.75,"[2, 6]",0.75,False,1,0.95410857,0.19172012,0.7994346,True,0.57194597,0.97799809,2170
3,4,0.5,0.5,"[2, 6]",0.75,False,1,0.20730789,0.03560755,0.17370047,True,0.5081341,0.99967709,2170
3,5,0.5,0.5,"[6, 2]",0.75,False,0,0.99418382,0.20734202,0.83301311,True,0.6297699,0.92513062,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00538501,0.0005,0.00451203,True,0.50424634,0.99992303,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.82239597,0.19537347,0.6890744,True,0.57903945,0.97248339,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.85339125,0.20197344,0.71504493,True,0.60745405,0.94634185,2170
