channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.14023946968,0.028408137286303804,0.004976956120000001,0.14409808372,250,0.8315,0.484,0.26284794
28,O2,0.13543767552,0.024093802603869483,-0.016861088559999998,0.14188320388,250,0.8315,0.484,0.26284794
17,CP3,0.12160450760000001,0.020067724638436982,0.02494540056,0.13964390628,250,0.8315,0.484,0.26284794
15,T3,0.12028839016000001,0.020947511110705017,0.1150150874,0.12833618451999998,250,0.8315,0.484,0.26284794
27,O1,0.11780137984,0.02006667649439163,0.04288989496,0.12984939299999998,250,0.8315,0.484,0.26284794
16,T4,0.1130783096,0.020593396770382272,0.01488439732,0.12614459976,250,0.8315,0.484,0.26284794
13,C3,0.10993585988,0.02056135233291895,0.06122674192,0.11537464092000001,250,0.8315,0.484,0.26284794
18,CP4,0.10914279156000001,0.017659833384858808,0.03356448284,0.1253672884,250,0.8315,0.484,0.26284794
0,Fp1,0.10624724603999999,0.018538501515901064,-0.0874595552,0.12014643852000001,250,0.8315,0.484,0.26284794
22,P3,0.10473924356,0.020772136166073103,0.09630663632,0.1158342258,250,0.8315,0.484,0.26284794
2,Fz,0.10473125448000001,0.01658612701026644,-0.09545662428,0.11859779824,250,0.8315,0.484,0.26284794
23,P4,0.10255895459999999,0.02183588467089419,-0.0838760978,0.1147935808,250,0.8315,0.484,0.26284794
24,T5,0.0987277406,0.021854072275353367,0.06437826948,0.11033404864,250,0.8315,0.484,0.26284794
7,FCz,0.0965859956,0.019420879122621262,0.08804638596,0.11165427275999999,250,0.8315,0.484,0.26284794
4,F4,0.09602439732000001,0.018252589239508166,0.01753354776,0.10718086823999999,250,0.8315,0.484,0.26284794
20,TP8,0.09116531476,0.020722026135997187,-0.05021759168,0.1087147502,250,0.8315,0.484,0.26284794
10,FT7,0.08774858092,0.018252377175961607,-0.05397994152,0.10188048096,250,0.8315,0.484,0.26284794
14,C4,0.0876735412,0.018683755904880688,-0.06657357268,0.09841956652,250,0.8315,0.484,0.26284794
3,F3,0.08658128416,0.01557877119245447,0.024018580759999998,0.0956973418,250,0.8315,0.484,0.26284794
5,F7,0.08557005576,0.017582838022150882,0.07627260944,0.09865582435999999,250,0.8315,0.484,0.26284794
11,FT8,0.08313193592,0.018679365131081316,-0.0026308834,0.09917363244,250,0.8315,0.484,0.26284794
19,TP7,0.08264770132,0.01949152736512291,-0.023739139120000002,0.09419594812,250,0.8315,0.484,0.26284794
26,Oz,0.08019800152,0.019864606312668058,0.04057231888,0.08598730632,250,0.8315,0.484,0.26284794
25,T6,0.07914604788,0.014650281480275371,-0.050066435640000004,0.09032286668,250,0.8315,0.484,0.26284794
1,Fp2,0.07866833492000001,0.01586989871381898,0.0569340212,0.09615383292,250,0.8315,0.484,0.26284794
12,Cz,0.0762582864,0.01534413070769751,0.06622210508000001,0.09088176916,250,0.8315,0.484,0.26284794
6,F8,0.07520894251999999,0.019059213913834375,-0.02337961832,0.08073094555999999,250,0.8315,0.484,0.26284794
9,FC4,0.06233892128,0.01670564621441943,-0.050662714479999996,0.0788931888,250,0.8315,0.484,0.26284794
8,FC3,0.04080412168,0.020451925205376826,0.00295067564,0.04859647808,250,0.8315,0.484,0.26284794
