subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.1069639,-0.01474829,0.12517773,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,1,Fp2,0.04184837,0.04184837,0.06320841,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,2,Fz,0.06019402,-0.058512,0.08306076,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,3,F3,0.05431442,-0.03149859,0.06512481,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,4,F4,0.12599042,-0.01356437,0.15783463,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,5,F7,0.06713309,0.01439571,0.08832034,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,6,F8,0.02164835,-0.00779291,0.02457742,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,7,FCz,0.11310521,0.1070482,0.16533273,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,8,FC3,0.07946985,-0.01761049,0.08839858,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,9,FC4,0.07283104,-0.03380207,0.09944507,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,10,FT7,0.07283967,0.03166785,0.09644105,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,11,FT8,0.05963612,-0.0340191,0.06317963,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,12,Cz,0.04850619,0.02127457,0.05711839,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,13,C3,0.08321366,0.00421752,0.09956943,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,14,C4,0.06661338,-0.01097391,0.07650007,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,15,T3,0.0846317,0.02497149,0.08852422,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,16,T4,0.08933788,-0.02361101,0.12014037,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,17,CP3,0.09066433,0.02262713,0.10036832,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,18,CP4,0.07390743,0.01735085,0.07994763,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,19,TP7,0.13136038,-0.07784272,0.15121481,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,20,TP8,0.0607389,0.01384104,0.06748233,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,21,Pz,0.16346526,0.06629442,0.19463193,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,22,P3,0.09699576,0.03828025,0.10708988,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,23,P4,0.11371781,-0.03376768,0.1594436,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,24,T5,0.07445209,-0.03183974,0.07722624,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,25,T6,0.14941813,-0.08239646,0.15111867,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,26,Oz,0.05747532,0.03831233,0.07562252,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,27,O1,0.19327578,0.1122354,0.20306154,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,1,28,O2,0.07490611,-0.00144445,0.09004391,0.375,0.375,"[5, 3]",0.625,False,1.01471135,0.2196753,0.85021284,True
1,2,0,Fp1,0.13026167,-0.1067318,0.14198157,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,1,Fp2,0.0848102,0.03871595,0.10622087,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,2,Fz,0.13072652,-0.13072652,0.14345266,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,3,F3,0.08765085,0.03491955,0.0906967,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,4,F4,0.0657763,-0.00652454,0.0807853,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,5,F7,0.08603898,0.08603898,0.09688268,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,6,F8,0.07924709,-0.0390906,0.07944985,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,7,FCz,0.10710523,0.10131835,0.12807286,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,8,FC3,0.02272056,-0.00562475,0.02949812,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,9,FC4,0.03207675,-0.02470549,0.04695145,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,10,FT7,0.06093305,-0.02798826,0.07798294,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,11,FT8,0.07737817,-0.010361,0.09699875,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,12,Cz,0.09359661,0.08781623,0.11054908,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,13,C3,0.11404618,0.04125014,0.11592539,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,14,C4,0.07640594,-0.07640594,0.08630161,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,15,T3,0.09728082,0.09728082,0.10904772,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,16,T4,0.11693471,-0.02985484,0.13493998,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,17,CP3,0.11249723,0.03992681,0.12638234,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,18,CP4,0.12808241,0.02712694,0.15286297,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,19,TP7,0.10339975,-0.04795358,0.12422404,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,20,TP8,0.09504203,-0.04971569,0.1123291,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,21,Pz,0.14239046,0.02591492,0.14646117,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,22,P3,0.09816776,0.09816776,0.11799415,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,23,P4,0.06547551,-0.06288187,0.07799464,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,24,T5,0.0918414,0.05194683,0.0984785,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,25,T6,0.07180668,-0.03273048,0.07454789,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,26,Oz,0.08570713,0.06724046,0.09369797,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,27,O1,0.14797601,0.09669039,0.15795545,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,2,28,O2,0.14506635,0.01904596,0.14824781,0.375,0.375,"[5, 3]",0.625,False,0.361625,0.06762235,0.30300067,True
1,3,0,Fp1,0.10862102,-0.09560507,0.12156444,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,1,Fp2,0.08293864,0.05951993,0.09364005,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,2,Fz,0.1124256,-0.1124256,0.13118134,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,3,F3,0.07886133,0.01192448,0.08785753,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,4,F4,0.10042694,0.00590836,0.11316486,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,5,F7,0.0876902,0.07230633,0.09507343,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,6,F8,0.07311854,-0.02713113,0.07504619,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,7,FCz,0.09351648,0.08576336,0.10961675,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,8,FC3,0.0333124,-0.00291174,0.03627938,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,9,FC4,0.05364103,-0.04317958,0.06343725,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,10,FT7,0.09913745,-0.05076919,0.11318014,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,11,FT8,0.08523633,0.00595048,0.10472839,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,12,Cz,0.06138767,0.06138767,0.07347582,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,13,C3,0.11206776,0.05285196,0.11468861,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,14,C4,0.06806973,-0.06770783,0.08383695,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,15,T3,0.11020883,0.11020883,0.12203693,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,16,T4,0.10145102,0.02112379,0.11882848,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,17,CP3,0.11100239,0.02721346,0.12507322,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,18,CP4,0.11675365,0.03866105,0.12954608,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,19,TP7,0.09372563,-0.02462596,0.11250405,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,20,TP8,0.0952362,-0.04870123,0.10875796,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,21,Pz,0.16744414,0.0179385,0.16853823,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,22,P3,0.11363402,0.11363402,0.12945576,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,23,P4,0.10394259,-0.07983481,0.11147661,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,24,T5,0.11249368,0.06924884,0.11615258,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,25,T6,0.07583287,-0.06031968,0.08926662,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,26,Oz,0.0762628,0.05374376,0.07882831,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,27,O1,0.13189217,0.05533089,0.14311367,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,3,28,O2,0.14834076,-0.01414914,0.15233605,0.375,0.375,"[1, 7]",0.875,False,0.21022928,0.03466886,0.17614825,True
1,4,0,Fp1,0.1047993,-0.08261518,0.11524012,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,1,Fp2,0.08355309,0.07165872,0.10116693,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,2,Fz,0.09785938,-0.09780934,0.11634669,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,3,F3,0.09111358,0.01432553,0.10143829,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,4,F4,0.10260047,0.02567944,0.10709828,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,5,F7,0.07996525,0.07996525,0.08782656,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,6,F8,0.06516436,-0.00717888,0.07186169,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,7,FCz,0.09930623,0.0868267,0.11223625,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,8,FC3,0.02782195,-0.01809596,0.03192159,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,9,FC4,0.04939888,-0.04591697,0.06414589,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,10,FT7,0.09866719,-0.06226673,0.11105997,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,11,FT8,0.08505095,0.01117649,0.10331688,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,12,Cz,0.08484767,0.06807566,0.0970736,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,13,C3,0.13376291,0.07342985,0.13405888,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,14,C4,0.09187073,-0.08660011,0.10598113,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,15,T3,0.1125864,0.1125864,0.12413153,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,16,T4,0.11098811,0.00021699,0.12367805,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,17,CP3,0.12353759,0.02019024,0.13944724,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,18,CP4,0.12229045,0.03618583,0.13365912,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,19,TP7,0.07848027,-0.030424,0.10109199,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,20,TP8,0.08498435,-0.04151181,0.09559297,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,21,Pz,0.15158492,0.0098087,0.15214206,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,22,P3,0.09566496,0.09566496,0.10799806,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,23,P4,0.10588132,-0.09577584,0.11985454,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,24,T5,0.10689919,0.05987757,0.11459112,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,25,T6,0.09105488,-0.07050906,0.10115729,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,26,Oz,0.06234661,0.03698758,0.0649214,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
1,4,27,O1,0.12958646,0.05776601,0.14181943,0.375,0.375,"[3, 5]",0.625,False,0.20350436,0.03844841,0.17051354,True
