subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.625,0.625,"[3, 5]",0.625,False,1,0.21326275,0.03644764,0.17868996,True,0.51309884,0.99927057,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.18598394,0.03248711,0.15583341,True,0.5124376,0.99937915,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.20060646,0.03304012,0.16808542,True,0.5097883,0.99959164,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.34213923,0.07550514,0.28667381,True,0.5162074,0.99885836,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538493,0.0005,0.00451196,True,0.50767882,0.99981555,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.32212037,0.05070259,0.26990028,True,0.54634283,0.99121867,2170
2,2,0.625,0.625,"[3, 5]",0.625,False,1,0.076383,0.01148527,0.06400028,True,0.50658327,0.99981689,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.25207786,0.0391418,0.21121261,True,0.54192594,0.99391594,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.19761305,0.03094695,0.16557729,True,0.51637411,0.99892569,2170
2,5,0.375,0.375,"[1, 7]",0.875,False,1,0.05580018,0.00708106,0.04675421,True,0.50560215,0.99982846,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,1.22924333,0.2673717,1.02996627,True,0.68959135,0.86145181,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.90122234,0.19646624,0.75512195,True,0.62522364,0.94724165,2170
3,3,0.625,0.625,"[3, 5]",0.625,False,1,0.78443763,0.14014799,0.65726963,True,0.55872719,0.97656881,2170
3,4,0.875,0.875,"[3, 5]",0.625,False,1,1.30253359,0.33939051,1.09137519,True,0.74534873,0.68323693,2170
3,5,0.625,0.625,"[5, 3]",0.625,False,0,1.35216689,0.35135035,1.13296225,True,0.7405459,0.74468198,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00538498,0.0005,0.004512,True,0.50441381,0.99992452,2170
