subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[2, 6]",0.75,False,1,0.19264207,0.02932338,0.16141218,True,0.51184437,0.99932595,2170
1,2,0.25,0.25,"[2, 6]",0.75,False,1,0.36951427,0.06876133,0.30961098,True,0.51710149,0.9982339,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.25892833,0.04290932,0.21695253,True,0.51071922,0.9995547,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.20785274,0.03875817,0.17415699,True,0.51154543,0.99946918,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538489,0.0005,0.00451193,True,0.50787813,0.99980362,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.75734356,0.14676513,0.63456787,True,0.63439085,0.92567603,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.20722579,0.03463168,0.17363167,True,0.5264656,0.99755527,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.49231582,0.09476067,0.41250473,True,0.58216989,0.97330837,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.29494379,0.05307493,0.24712939,True,0.53264797,0.9960627,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.05067179,0.00653929,0.0424572,True,0.50703071,0.99975896,2170
3,1,0.5,0.5,"[6, 2]",0.75,False,0,1.35851121,0.34295006,1.13827807,True,0.65613719,0.91100819,2170
3,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02425301,0.00297385,0.02032127,True,0.5072954,0.99980567,2170
3,3,0.75,0.75,"[2, 6]",0.75,False,1,1.10526466,0.22176483,0.92608624,True,0.59859877,0.96311128,2170
3,4,0.75,0.75,"[2, 6]",0.75,False,1,1.33059184,0.39257136,1.11488481,True,0.87511577,0.51535081,2170
3,5,0.375,0.375,"[5, 3]",0.625,False,0,1.48944752,0.35280835,1.24798783,True,0.71737967,0.77847973,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00538484,0.0005,0.00451188,True,0.50460761,0.99992129,2170
4,2,0.75,0.75,"[2, 6]",0.75,False,1,0.66065944,0.14581271,0.55355756,True,0.56391431,0.98002555,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.18224353,0.29889774,0.99058578,True,0.70604907,0.82169737,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.45915373,0.11798967,0.38471867,True,0.55359647,0.99073415,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538499,0.0005,0.00451201,True,0.5076284,0.99981383,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538501,0.0005,0.00451203,True,0.50526688,0.99990646,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538485,0.0005,0.00451189,True,0.50536005,0.9999025,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.0774103,0.2247102,0.90274744,True,0.59352166,0.9669283,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.22935133,0.03513237,0.19217036,True,0.50727522,0.99981958,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538491,0.0005,0.00451194,True,0.50689775,0.99984623,2170
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.30008111,0.04641742,0.25143388,True,0.52219485,0.99788509,2170
6,2,0.625,0.625,"[5, 3]",0.625,False,0,0.16267977,0.026513,0.13630717,True,0.51611496,0.99900438,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00538493,0.0005,0.00451196,True,0.50579356,0.99988735,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.005385,0.0005,0.00451202,True,0.50760256,0.99981923,2170
6,5,0.25,0.25,"[6, 2]",0.75,False,0,0.46294157,0.09217133,0.38789245,True,0.55440369,0.98956395,2170
7,1,0.625,0.625,"[3, 5]",0.625,False,1,1.29814229,0.32783034,1.08769578,True,0.75528483,0.78056708,2170
7,2,0.5,0.5,"[4, 4]",0.5,False,0,0.73739248,0.14416338,0.61785113,True,0.5731263,0.97099623,2170
7,3,0.5,0.5,"[0, 8]",1.0,True,1,0.0092082,0.00100065,0.00771543,True,0.50589658,0.99988319,2170
7,4,0.625,0.625,"[5, 3]",0.625,False,0,1.13496236,0.29518105,0.95096953,True,0.60264851,0.94715019,2170
7,5,0.625,0.625,"[5, 3]",0.625,False,0,0.53196007,0.1031495,0.44572211,True,0.52075031,0.99805901,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.45333252,0.09387678,0.37984116,True,0.61352468,0.95406301,2170
8,2,0.5,0.5,"[8, 0]",1.0,True,0,0.88827182,0.27307502,0.74427088,True,0.65322126,0.85036432,2170
8,3,0.75,0.75,"[4, 4]",0.5,False,0,0.85468202,0.25212478,0.71612644,True,0.74079726,0.76839312,2170
8,4,0.625,0.625,"[1, 7]",0.875,False,1,0.81524676,0.19042121,0.68308418,True,0.70527198,0.84900384,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.40485915,0.07804262,0.33922598,True,0.59467218,0.96768414,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.23248743,0.03654802,0.19479805,True,0.50934523,0.99967813,2170
9,2,0.375,0.375,"[5, 3]",0.625,False,0,0.95572409,0.24174844,0.80078823,True,0.59247309,0.96544003,2170
9,3,0.625,0.625,"[3, 5]",0.625,False,1,0.29850223,0.05695038,0.25011096,True,0.52021,0.99786023,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.09115926,0.01392961,0.0763811,True,0.50531546,0.99988584,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.99125706,0.21493138,0.83056082,True,0.58577073,0.97421619,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00932473,0.00100066,0.00781306,True,0.5073932,0.99981865,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00860662,0.00100064,0.00721137,True,0.50736451,0.99981596,2170
10,3,0.75,0.75,"[6, 2]",0.75,False,0,0.95952164,0.233535,0.80397014,True,0.55894289,0.98445604,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,1.19012643,0.29056327,0.99719076,True,0.61174253,0.92540443,2170
10,5,0.25,0.25,"[4, 4]",0.5,False,0,0.76730392,0.16020479,0.64291353,True,0.55808105,0.98626616,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451204,True,0.50633387,0.99987297,2170
11,2,0.625,0.625,"[1, 7]",0.875,False,1,0.18947203,0.0350471,0.15875604,True,0.51784381,0.99880277,2170
11,3,0.375,0.375,"[5, 3]",0.625,False,0,1.06613241,0.25505258,0.89329785,True,0.6196153,0.95169979,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00812655,0.00100062,0.00680913,True,0.50836212,0.99978868,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538508,0.0005,0.00451209,True,0.50433602,0.9999312,2170
12,1,0.625,0.625,"[1, 7]",0.875,False,1,0.00538486,0.0005,0.0045119,True,0.50504856,0.99990713,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00879581,0.00100054,0.00736989,True,0.50732867,0.99980276,2170
12,3,0.625,0.625,"[5, 3]",0.625,False,0,0.23941381,0.04189319,0.20060158,True,0.51214862,0.99946571,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538506,0.0005,0.00451207,True,0.50654972,0.99986663,2170
12,5,0.375,0.375,"[5, 3]",0.625,False,0,0.24360275,0.0371065,0.20411143,True,0.50685446,0.99979207,2170
13,1,0.875,0.875,"[3, 5]",0.625,False,1,0.80768922,0.16564465,0.67675182,True,0.69957489,0.85477991,2170
13,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00538489,0.0005,0.00451193,True,0.5048601,0.99988896,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.42750883,0.08575165,0.35820384,True,0.59904168,0.96813919,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451204,True,0.50626522,0.99985459,2170
13,5,0.625,0.625,"[3, 5]",0.625,False,1,0.05608292,0.00661673,0.04699112,True,0.51141779,0.99954981,2170
14,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451203,True,0.50590958,0.99988071,2170
14,2,0.25,0.25,"[6, 2]",0.75,False,0,0.41598695,0.07774627,0.34854981,True,0.52506715,0.99766982,2170
14,3,0.5,0.5,"[4, 4]",0.5,False,0,1.20201881,0.33501825,1.00715522,True,0.6759977,0.85941745,2170
14,4,0.5,0.5,"[6, 2]",0.75,False,0,0.67837153,0.13819051,0.56839828,True,0.55989912,0.98397907,2170
14,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538481,0.0005,0.00451186,True,0.50763051,0.99978016,2170
15,1,0.375,0.375,"[3, 5]",0.625,False,1,1.00923098,0.22666345,0.84562092,True,0.57955548,0.96813566,2170
15,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01660414,0.00199619,0.01391238,True,0.50615311,0.99987847,2170
15,3,0.625,0.625,"[3, 5]",0.625,False,1,0.9711641,0.20349326,0.8137252,True,0.5504092,0.99042848,2170
15,4,0.75,0.75,"[6, 2]",0.75,False,0,0.93138073,0.21633802,0.78039125,True,0.54245991,0.99176263,2170
15,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01627301,0.00199931,0.01363494,True,0.50644697,0.99986504,2170
16,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538496,0.0005,0.00451199,True,0.50732278,0.99984032,2170
16,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538482,0.0005,0.00451186,True,0.50814626,0.99975088,2170
16,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538492,0.0005,0.00451195,True,0.50713514,0.99984568,2170
16,4,0.375,0.375,"[1, 7]",0.875,False,1,0.06389031,0.0093982,0.05353282,True,0.50638806,0.99982748,2170
16,5,0.375,0.375,"[1, 7]",0.875,False,1,0.00538497,0.0005,0.00451199,True,0.50659335,0.99984042,2170
17,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0053849,0.0005,0.00451193,True,0.5056962,0.99987277,2170
17,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538501,0.0005,0.00451202,True,0.50820683,0.99979158,2170
17,3,0.75,0.75,"[6, 2]",0.75,False,0,0.41907223,0.08990777,0.35113493,True,0.53791934,0.99469415,2170
17,4,0.625,0.625,"[3, 5]",0.625,False,1,0.25908077,0.04528227,0.21708025,True,0.51806343,0.99877285,2170
17,5,0.625,0.625,"[1, 7]",0.875,False,1,0.04399544,0.00554301,0.03686318,True,0.50598061,0.99987112,2170
18,1,1.0,1.0,"[4, 4]",0.5,False,0,1.48059677,0.37723967,1.24057191,True,0.87088691,0.44581392,2170
18,2,1.0,1.0,"[4, 4]",0.5,False,0,1.39313798,0.37766652,1.16729138,True,0.83449845,0.58212943,2170
18,3,0.875,0.875,"[3, 5]",0.625,False,1,1.30008169,0.35781039,1.08932078,True,0.81678678,0.58142421,2170
18,4,0.875,0.875,"[3, 5]",0.625,False,1,1.29497064,0.28778628,1.0850383,True,0.78024671,0.72232544,2170
18,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538446,0.0005,0.00451156,True,0.5065804,0.9998681,2170
19,1,0.375,0.375,"[3, 5]",0.625,False,1,0.06777287,0.00969943,0.05678596,True,0.51373404,0.9991741,2170
19,2,0.5,0.5,"[4, 4]",0.5,False,0,0.442663,0.08476538,0.37090131,True,0.5412862,0.99182916,2170
19,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538484,0.0005,0.00451188,True,0.50538945,0.9998921,2170
19,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538484,0.0005,0.00451188,True,0.50696131,0.9998313,2170
19,5,0.375,0.375,"[7, 1]",0.875,False,0,1.09036669,0.25019133,0.91360343,True,0.60390976,0.95393525,2170
20,1,0.375,0.375,"[5, 3]",0.625,False,0,0.56340646,0.1141835,0.47207061,True,0.58762459,0.96837668,2170
20,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538503,0.0005,0.00451204,True,0.50383127,0.99993051,2170
20,3,0.625,0.625,"[1, 7]",0.875,False,1,0.05766567,0.00828288,0.04831728,True,0.5055822,0.9998719,2170
