subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[2, 6]",0.75,False,1,0.18077403,0.02812675,0.1514681,True,0.51114368,0.99941869,2170
1,2,0.5,0.5,"[6, 2]",0.75,False,0,0.51439836,0.09398003,0.4310074,True,0.52596494,0.99601452,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.24336233,0.04025939,0.20390999,True,0.51073105,0.99956637,2170
1,4,0.375,0.375,"[3, 5]",0.625,False,1,0.35881056,0.07866647,0.30064249,True,0.52405425,0.99812175,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538491,0.0005,0.00451194,True,0.50781243,0.9998063,2170
2,1,0.5,0.5,"[6, 2]",0.75,False,0,0.72712273,0.14017795,0.60924625,True,0.63068155,0.93143795,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.21807675,0.0354003,0.18272355,True,0.52727824,0.99736822,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.24878315,0.0389713,0.20845202,True,0.54144546,0.99434321,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.29795973,0.05332274,0.24965641,True,0.53223293,0.99615886,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.04738854,0.00601669,0.03970621,True,0.50713687,0.99977074,2170
3,1,0.5,0.5,"[6, 2]",0.75,False,0,1.37381185,0.38502085,1.15109828,True,0.69797971,0.87418898,2170
3,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01342193,0.00150191,0.01124606,True,0.50671305,0.99983652,2170
3,3,0.75,0.75,"[2, 6]",0.75,False,1,1.08094733,0.227589,0.90571107,True,0.59755959,0.96373453,2170
3,4,0.75,0.75,"[2, 6]",0.75,False,1,1.30997866,0.32585274,1.09761331,True,0.86283508,0.55289181,2170
3,5,0.625,0.625,"[3, 5]",0.625,False,1,1.43894371,0.33168554,1.20567137,True,0.69336925,0.79457525,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00538103,0.0005,0.00450869,True,0.50460342,0.99992174,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.67108214,0.14655292,0.56229061,True,0.56497278,0.98121802,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.2244909,0.32095683,1.02598428,True,0.71501792,0.81281114,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.45471953,0.11639859,0.38100331,True,0.55186871,0.99124959,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538499,0.0005,0.00451201,True,0.50768624,0.99981064,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538501,0.0005,0.00451203,True,0.50526582,0.99990648,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538477,0.0005,0.00451182,True,0.50535429,0.99990254,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.07921723,0.22162787,0.90426145,True,0.59248885,0.967651,2170
5,4,0.625,0.625,"[3, 5]",0.625,False,1,0.24497943,0.03786889,0.20526493,True,0.50763897,0.99980187,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538494,0.0005,0.00451197,True,0.50690363,0.99984603,2170
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.30272372,0.04750248,0.25364809,True,0.52347294,0.99761418,2170
6,2,0.625,0.625,"[5, 3]",0.625,False,0,0.22979326,0.04338562,0.19254065,True,0.52961218,0.99673146,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00538491,0.0005,0.00451195,True,0.50578228,0.99988733,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.004512,True,0.50753065,0.99982266,2170
6,5,0.25,0.25,"[6, 2]",0.75,False,0,0.46167193,0.09151089,0.38682864,True,0.5536439,0.98974147,2170
7,1,0.625,0.625,"[3, 5]",0.625,False,1,1.30108277,0.33311011,1.09015957,True,0.74745937,0.79087574,2170
7,2,0.625,0.625,"[5, 3]",0.625,False,0,0.84497752,0.17255666,0.70799518,True,0.59295401,0.95325345,2170
7,3,0.375,0.375,"[3, 5]",0.625,False,1,0.3598964,0.06846613,0.3015523,True,0.51164971,0.99947776,2170
7,4,0.625,0.625,"[5, 3]",0.625,False,0,1.18053121,0.33536854,0.98915105,True,0.61899404,0.9404526,2170
7,5,0.5,0.5,"[4, 4]",0.5,False,0,0.5367907,0.10452481,0.44976963,True,0.52000698,0.99804156,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.45832085,0.09664006,0.38402081,True,0.61440445,0.95284745,2170
8,2,0.375,0.375,"[7, 1]",0.875,False,0,0.9053784,0.26857442,0.75860425,True,0.66948637,0.83705513,2170
8,3,0.75,0.75,"[4, 4]",0.5,False,0,0.849692,0.2451969,0.71194537,True,0.72848085,0.78946485,2170
8,4,0.625,0.625,"[1, 7]",0.875,False,1,0.88316377,0.20895707,0.73999091,True,0.71728019,0.82867113,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.64607454,0.16836517,0.54133707,True,0.65801086,0.9084775,2170
9,1,0.5,0.5,"[2, 6]",0.75,False,1,0.23441525,0.03712371,0.19641335,True,0.50887777,0.99969539,2170
9,2,0.375,0.375,"[5, 3]",0.625,False,0,0.84326186,0.21730689,0.70655765,True,0.56818403,0.98014804,2170
9,3,0.625,0.625,"[3, 5]",0.625,False,1,0.31863827,0.05793553,0.26698268,True,0.5219328,0.9973873,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.09058038,0.01392154,0.07589607,True,0.50520472,0.9998894,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.98844758,0.21539682,0.82820679,True,0.58638031,0.97391177,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01349424,0.00150178,0.01130664,True,0.50767841,0.99980569,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01192863,0.00150143,0.00999484,True,0.5073774,0.99981436,2170
10,3,0.375,0.375,"[7, 1]",0.875,False,0,0.77841732,0.18057216,0.65222529,True,0.55156077,0.98916079,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,1.18009877,0.27776998,0.98878872,True,0.65011241,0.9032968,2170
10,5,0.375,0.375,"[5, 3]",0.625,False,0,0.76491707,0.1645864,0.64091361,True,0.56058872,0.98571687,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538489,0.0005,0.00451193,True,0.50641876,0.99986933,2170
11,2,0.625,0.625,"[1, 7]",0.875,False,1,0.19252032,0.03498355,0.16131016,True,0.51834785,0.99871604,2170
11,3,0.375,0.375,"[5, 3]",0.625,False,0,0.99455234,0.18706099,0.83332189,True,0.58747102,0.973321,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00806217,0.00100066,0.00675518,True,0.50843562,0.99978526,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.00451201,True,0.50435089,0.99993026,2170
12,1,0.625,0.625,"[1, 7]",0.875,False,1,0.00538492,0.0005,0.00451195,True,0.50509594,0.99990858,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00899551,0.00100061,0.00753722,True,0.50710668,0.9998118,2170
12,3,0.625,0.625,"[5, 3]",0.625,False,0,0.23992696,0.04163478,0.20103154,True,0.51149228,0.99950038,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0053849,0.0005,0.00451193,True,0.50649382,0.9998681,2170
12,5,0.375,0.375,"[5, 3]",0.625,False,0,0.25616523,0.03879704,0.21463736,True,0.50676415,0.99978229,2170
13,1,0.875,0.875,"[3, 5]",0.625,False,1,0.80571315,0.16479512,0.6750961,True,0.69711656,0.85561401,2170
13,2,0.625,0.625,"[1, 7]",0.875,False,1,0.00538491,0.0005,0.00451195,True,0.50485856,0.99988945,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.39769865,0.07690949,0.3332263,True,0.59173856,0.97301468,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538507,0.0005,0.00451208,True,0.50626355,0.99985432,2170
13,5,0.625,0.625,"[3, 5]",0.625,False,1,0.04736164,0.00555508,0.03968367,True,0.5102448,0.99963459,2170
14,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451204,True,0.50594693,0.99988075,2170
14,2,0.25,0.25,"[6, 2]",0.75,False,0,0.26640025,0.0465828,0.22321315,True,0.5121987,0.99941676,2170
14,3,0.25,0.25,"[4, 4]",0.5,False,0,0.98597587,0.23949987,0.82613578,True,0.5899615,0.94430852,2170
14,4,0.5,0.5,"[6, 2]",0.75,False,0,0.81577361,0.16784168,0.68352562,True,0.57488915,0.97331373,2170
14,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538482,0.0005,0.00451187,True,0.50772562,0.99977695,2170
15,1,0.375,0.375,"[3, 5]",0.625,False,1,1.00911797,0.22694518,0.84552623,True,0.57987519,0.96802403,2170
15,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01664239,0.00199613,0.01394443,True,0.50616019,0.99987822,2170
15,3,0.625,0.625,"[3, 5]",0.625,False,1,0.97380095,0.205591,0.81593458,True,0.54983242,0.99056726,2170
15,4,0.75,0.75,"[6, 2]",0.75,False,0,0.9310117,0.21678534,0.78008204,True,0.54279517,0.99164981,2170
15,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01626728,0.00199953,0.01363013,True,0.50644954,0.99986495,2170
16,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01544135,0.00200163,0.0129381,True,0.5094208,0.99973541,2170
16,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538486,0.0005,0.0045119,True,0.508146,0.999752,2170
16,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538491,0.0005,0.00451194,True,0.50710197,0.99984698,2170
16,4,0.5,0.5,"[0, 8]",1.0,True,1,0.05961565,0.00838669,0.04995114,True,0.5064182,0.99983032,2170
16,5,0.375,0.375,"[1, 7]",0.875,False,1,0.00538493,0.0005,0.00451196,True,0.50669175,0.99983733,2170
17,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451203,True,0.50575382,0.99987024,2170
