subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.13198282,-0.10428184,0.1434807,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,1,Fp2,0.06315612,0.04698884,0.07915515,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,2,Fz,0.1082913,-0.1082913,0.12509856,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,3,F3,0.08018115,0.00279105,0.09755501,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,4,F4,0.10606886,0.00734388,0.11915509,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,5,F7,0.0674436,0.0630224,0.07716775,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,6,F8,0.08624114,-0.03042734,0.08776191,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,7,FCz,0.10141835,0.10141835,0.12540565,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,8,FC3,0.03122239,0.0019515,0.03374239,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,9,FC4,0.05481474,-0.04863733,0.06182435,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,10,FT7,0.10084041,-0.05527557,0.12097309,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,11,FT8,0.08049365,-0.00782643,0.09068727,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,12,Cz,0.07748077,0.07748077,0.09743456,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,13,C3,0.1189325,0.06961001,0.12113741,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,14,C4,0.08606499,-0.06136187,0.08879035,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,15,T3,0.12174992,0.12174992,0.13219364,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,16,T4,0.12388225,0.00376446,0.13678665,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,17,CP3,0.12652202,0.0329554,0.14026916,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,18,CP4,0.11230545,0.03900228,0.12119687,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,19,TP7,0.08155107,-0.03198422,0.10157319,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,20,TP8,0.07466965,-0.04829498,0.09207033,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,21,Pz,0.16354074,0.02354429,0.16638795,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,22,P3,0.10167126,0.10167126,0.11355557,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,23,P4,0.08483846,-0.08483846,0.09993836,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,24,T5,0.0938933,0.07079117,0.10760853,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,25,T6,0.08440243,-0.06133278,0.09117498,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,26,Oz,0.07736804,0.05355409,0.0805416,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,27,O1,0.14919418,0.07352386,0.15746512,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,1,28,O2,0.13175105,-0.00416308,0.13318937,0.5,0.5,"[4, 4]",0.5,False,0.24002753,0.03843464,0.2011158,True
1,2,0,Fp1,0.10913901,-0.09592243,0.12206845,0.5,0.5,"[0, 8]",1.0,True,0.0119349,0.00150053,0.01000009,True
1,2,1,Fp2,0.07836554,0.06114411,0.09596095,0.5,0.5,"[0, 8]",1.0,True,0.0119349,0.00150053,0.01000009,True
1,2,2,Fz,0.10434298,-0.0990487,0.11797814,0.5,0.5,"[0, 8]",1.0,True,0.0119349,0.00150053,0.01000009,True
1,2,3,F3,0.08773283,0.02678273,0.09447208,0.5,0.5,"[0, 8]",1.0,True,0.0119349,0.00150053,0.01000009,True
