subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,0.28752664,0.05305535,0.24091466,True,0.51622444,0.99898181,2170
1,2,0.25,0.25,"[2, 6]",0.75,False,1,0.21460591,0.0366073,0.17981537,True,0.51044466,0.99942717,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00538431,0.0005,0.00451144,True,0.50479501,0.99991764,2170
1,4,0.5,0.5,"[6, 2]",0.75,False,0,0.62232867,0.13143037,0.52144073,True,0.53853746,0.99293985,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.004512,True,0.50729454,0.99982279,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.75812918,0.14868799,0.63522614,True,0.62767018,0.92841538,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.1959015,0.03789526,0.1641432,True,0.52977409,0.99671691,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.88478894,0.20846654,0.74135263,True,0.73043551,0.79465328,2170
2,4,0.75,0.75,"[6, 2]",0.75,False,0,0.19806242,0.03257463,0.16595381,True,0.521222,0.99820803,2170
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.27846289,0.05297327,0.23332027,True,0.5319697,0.99587853,2170
3,1,0.5,0.5,"[6, 2]",0.75,False,0,1.14056704,0.19667425,0.95566562,True,0.63300668,0.91157014,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.35470954,0.05668673,0.2972063,True,0.54028592,0.99296738,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.79697476,0.13860311,0.66777432,True,0.56335285,0.97869242,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.20731867,0.25536941,1.0115959,True,0.72557058,0.80028308,2170
3,5,0.625,0.625,"[7, 1]",0.875,False,0,1.31314045,0.31047374,1.10026253,True,0.69724603,0.79890247,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00538501,0.0005,0.00451203,True,0.50479968,0.99990645,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.73028129,0.17565523,0.61189277,True,0.57974634,0.97058749,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,1.02165467,0.24463841,0.85603056,True,0.68367198,0.88209757,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.56772904,0.13198971,0.47569244,True,0.57131217,0.981649,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538499,0.0005,0.00451201,True,0.50781479,0.99981052,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01322001,0.00150187,0.01107687,True,0.50639955,0.99986865,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538489,0.0005,0.00451193,True,0.50519685,0.99990667,2170
5,3,0.75,0.75,"[2, 6]",0.75,False,1,1.09900501,0.22855201,0.92084136,True,0.61630826,0.94472117,2170
5,4,0.625,0.625,"[1, 7]",0.875,False,1,0.06782842,0.00899053,0.05683251,True,0.50660276,0.9998487,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538479,0.0005,0.00451184,True,0.50674509,0.99985682,2170
6,1,0.375,0.375,"[1, 7]",0.875,False,1,0.98717113,0.21968693,0.82713727,True,0.58846545,0.96008577,2170
6,2,0.75,0.75,"[6, 2]",0.75,False,0,0.46581056,0.09693446,0.39029634,True,0.55550027,0.98903164,2170
6,3,0.375,0.375,"[7, 1]",0.875,False,0,0.9979128,0.27664226,0.83613757,True,0.59381366,0.96559783,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.05834659,0.00802755,0.04888782,True,0.50795841,0.9996484,2170
6,5,0.125,0.125,"[5, 3]",0.625,False,0,0.72559161,0.16587908,0.60796335,True,0.60081328,0.94908732,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,0.61728656,0.14051634,0.51721601,True,0.56670872,0.98171863,2170
7,2,0.375,0.375,"[7, 1]",0.875,False,0,0.4835465,0.09304117,0.40515704,True,0.55005027,0.98901914,2170
7,3,0.75,0.75,"[4, 4]",0.5,False,0,0.86284737,0.21745242,0.72296808,True,0.59560796,0.96641124,2170
7,4,0.375,0.375,"[3, 5]",0.625,False,1,1.4363855,0.48356083,1.20352789,True,0.67495688,0.85034225,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,0.60051831,0.13793305,0.50316613,True,0.55953615,0.98287559,2170
8,1,0.5,0.5,"[6, 2]",0.75,False,0,0.75470406,0.17607393,0.63235627,True,0.66684573,0.90190494,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.60589173,0.14168543,0.50766845,True,0.60255129,0.96305605,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538501,0.0005,0.00451203,True,0.50518939,0.99990423,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538489,0.0005,0.00451193,True,0.50749246,0.99981777,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.60717261,0.14238733,0.50874168,True,0.61766411,0.9476667,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.17027885,0.02684268,0.14267433,True,0.51222104,0.99936358,2170
9,2,0.375,0.375,"[5, 3]",0.625,False,0,0.47751456,0.1024604,0.40010296,True,0.52916266,0.99596198,2170
9,3,0.375,0.375,"[1, 7]",0.875,False,1,0.22568684,0.04097119,0.18909993,True,0.51367253,0.99890618,2170
9,4,0.5,0.5,"[0, 8]",1.0,True,1,0.06396035,0.0094927,0.05359151,True,0.5046595,0.99992404,2170
9,5,0.125,0.125,"[3, 5]",0.625,False,1,0.21088761,0.03461937,0.17669986,True,0.51130192,0.99935075,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451203,True,0.5066908,0.99984956,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538497,0.0005,0.00451199,True,0.50787174,0.99979816,2170
10,3,0.375,0.375,"[3, 5]",0.625,False,1,1.1222376,0.30925899,0.94030763,True,0.60432555,0.95815965,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,1.21952107,0.33694744,1.02182012,True,0.65069041,0.90636199,2170
10,5,0.5,0.5,"[4, 4]",0.5,False,0,0.76421998,0.15847261,0.64032953,True,0.54783674,0.98995963,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451203,True,0.5074905,0.99981831,2170
