subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.12430637,-0.09411329,0.13408405,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,1,Fp2,0.06307447,0.05629258,0.08430428,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,2,Fz,0.09807241,-0.09731686,0.11375386,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,3,F3,0.07822897,0.00385157,0.09280348,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,4,F4,0.10725515,0.00670266,0.12067078,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,5,F7,0.07460544,0.06458912,0.08371792,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,6,F8,0.08078735,-0.02925975,0.0825202,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,7,FCz,0.10919296,0.10919296,0.1310693,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,8,FC3,0.02404116,0.0085322,0.03315237,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,9,FC4,0.05607876,-0.04757676,0.06113894,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,10,FT7,0.09463987,-0.04399746,0.11432437,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,11,FT8,0.07978437,-0.00810357,0.09794793,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,12,Cz,0.08313439,0.08313439,0.10350697,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,13,C3,0.12207939,0.06329874,0.12444077,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,14,C4,0.08748236,-0.05692709,0.08901625,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,15,T3,0.11535639,0.11535639,0.1298857,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,16,T4,0.1275785,0.00082802,0.13832906,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,17,CP3,0.12706368,0.03029374,0.13872412,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,18,CP4,0.11379628,0.03688278,0.12638423,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,19,TP7,0.0886096,-0.0357663,0.11195452,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,20,TP8,0.08231878,-0.05328117,0.09840154,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,21,Pz,0.16033776,0.03201677,0.16447595,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,22,P3,0.09370623,0.09370623,0.10715824,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,23,P4,0.08944934,-0.08944934,0.10196928,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,24,T5,0.10128824,0.07298546,0.11505288,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,25,T6,0.08844689,-0.06726311,0.09552394,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,26,Oz,0.07326458,0.0443189,0.07391738,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,27,O1,0.1576557,0.08237269,0.16483073,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,1,28,O2,0.12783307,-0.01300084,0.13290718,0.375,0.375,"[3, 5]",0.625,False,0.28932291,0.05191131,0.24241973,True
1,2,0,Fp1,0.1378853,-0.10710957,0.14785805,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,1,Fp2,0.08945051,0.04467949,0.10408791,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,2,Fz,0.12945573,-0.12945573,0.14031723,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,3,F3,0.0753966,0.02783568,0.07881314,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,4,F4,0.06889375,-0.01552559,0.09168443,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,5,F7,0.07593863,0.07593863,0.08959156,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,6,F8,0.07071222,-0.03051629,0.07500985,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,7,FCz,0.10830459,0.09316215,0.12856174,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,8,FC3,0.02179526,-0.00369053,0.02735362,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,9,FC4,0.03826129,-0.03558599,0.04843097,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,10,FT7,0.07081525,-0.02252338,0.08552985,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,11,FT8,0.08478909,0.01621059,0.09451634,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,12,Cz,0.08498301,0.08498301,0.10251422,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,13,C3,0.13169292,0.06442089,0.13379161,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,14,C4,0.08634251,-0.08634251,0.09298064,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,15,T3,0.11308953,0.11308953,0.12579478,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,16,T4,0.11832009,-0.01346099,0.13308603,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,17,CP3,0.1129096,0.02548891,0.12916516,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,18,CP4,0.11824146,0.02631227,0.14250515,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,19,TP7,0.09981778,-0.05209693,0.12450314,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,20,TP8,0.09703572,-0.05230661,0.10866274,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,21,Pz,0.12128213,0.02586775,0.12451009,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,22,P3,0.09775153,0.09775153,0.11235612,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,23,P4,0.0736449,-0.0736449,0.08601035,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,24,T5,0.09102623,0.05250135,0.10242105,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,25,T6,0.0653227,-0.03409786,0.07027311,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,26,Oz,0.07488571,0.04563468,0.0793482,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,27,O1,0.15925764,0.09590796,0.16729052,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,2,28,O2,0.13514443,0.00924428,0.13762239,0.375,0.375,"[5, 3]",0.625,False,0.35193797,0.06316069,0.29488404,True
1,3,0,Fp1,0.11005674,-0.0963512,0.12294586,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,1,Fp2,0.07755819,0.06081019,0.09500927,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,2,Fz,0.10425174,-0.09883149,0.11784537,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,3,F3,0.08752068,0.02706321,0.09439628,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,4,F4,0.09753284,0.01225003,0.10789159,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,5,F7,0.08385586,0.08117676,0.09728445,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,6,F8,0.07799204,-0.02945643,0.07897662,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,7,FCz,0.0986829,0.0986829,0.11414649,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,8,FC3,0.03099027,0.00577213,0.03767902,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
1,3,9,FC4,0.05789175,-0.05789175,0.07608151,0.375,0.375,"[1, 7]",0.875,False,0.00538483,0.0005,0.00451187,True
