subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.07958958,-0.04660438,0.08265842,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,1,Fp2,0.0376893,0.02393463,0.05414863,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,2,Fz,0.1447776,-0.14297569,0.1666802,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,3,F3,0.11000968,0.10532334,0.12474813,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,4,F4,0.09883083,0.00545632,0.12397394,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,5,F7,0.08264009,0.08264009,0.09374177,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,6,F8,0.00821079,0.00579431,0.01240896,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,7,FCz,0.13020642,0.13020642,0.13188112,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,8,FC3,0.09686697,0.04405267,0.09806519,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,9,FC4,0.08872246,-0.08872246,0.10044885,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,10,FT7,0.06486662,0.01185795,0.08590694,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,11,FT8,0.05357842,0.03639535,0.06544902,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,12,Cz,0.04267752,0.01037616,0.04457803,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,13,C3,0.12504978,-0.02909492,0.1633292,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,14,C4,0.1350438,-0.12314421,0.15654168,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,15,T3,0.06566795,0.05737158,0.08318142,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,16,T4,0.14673445,0.05801898,0.16676764,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,17,CP3,0.14214796,0.0941693,0.17881662,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,18,CP4,0.17919755,-0.0330509,0.19631766,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,19,TP7,0.07687701,-0.04440704,0.08563136,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,20,TP8,0.0841022,0.00328553,0.09052123,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,21,Pz,0.13023815,0.12343104,0.16899322,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,22,P3,0.02584987,0.01676093,0.03118375,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,23,P4,0.05999449,-0.05425856,0.07015313,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,24,T5,0.06697309,-0.06697309,0.07640554,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,25,T6,0.09667253,-0.09667253,0.09993006,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,26,Oz,0.13820887,0.13820887,0.16089661,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,27,O1,0.12328469,-0.01506763,0.13212049,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,1,28,O2,0.08645096,0.02446469,0.09028407,0.625,0.625,"[3, 5]",0.625,False,0.91599746,0.23958594,0.76750182,True
1,2,0,Fp1,0.09783831,-0.07521065,0.10745886,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,1,Fp2,0.10503238,0.05670422,0.11563852,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,2,Fz,0.13324557,-0.13324557,0.14644709,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,3,F3,0.07635958,0.07245646,0.09745539,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,4,F4,0.1240136,0.03851554,0.12768134,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,5,F7,0.08024326,0.06886938,0.10267837,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,6,F8,0.07227957,-0.03541116,0.08785674,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,7,FCz,0.08499387,0.08499387,0.09204905,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,8,FC3,0.08523314,0.05339708,0.09031574,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,9,FC4,0.06046434,-0.04828624,0.07764214,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,10,FT7,0.04097292,-0.00771248,0.04681424,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,11,FT8,0.08567195,-0.06123991,0.09177245,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,12,Cz,0.07066545,0.02909105,0.08085737,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,13,C3,0.08745185,-0.00058224,0.11282636,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,14,C4,0.07542272,-0.07542272,0.08284306,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,15,T3,0.06885126,0.04546777,0.07225367,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,16,T4,0.12042128,0.09442393,0.13974431,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,17,CP3,0.17563996,0.04078628,0.19062422,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,18,CP4,0.15194559,0.05482279,0.17215367,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,19,TP7,0.12010162,-0.0102968,0.12447605,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,20,TP8,0.08726542,-0.02117969,0.09308027,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,21,Pz,0.11333314,0.04744449,0.13318934,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,22,P3,0.09512903,0.09512903,0.11164746,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,23,P4,0.10361478,-0.10361478,0.12078022,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,24,T5,0.07898623,0.03287559,0.08177678,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,25,T6,0.07796377,-0.07745034,0.09140328,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,26,Oz,0.09027152,0.08857789,0.10762797,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,27,O1,0.11794517,0.03997333,0.14100775,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,2,28,O2,0.10743497,-0.0229197,0.11788294,0.25,0.25,"[4, 4]",0.5,False,0.62503342,0.13053281,0.52370701,True
1,3,0,Fp1,0.04571485,-0.00210767,0.0533574,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,1,Fp2,0.06826697,0.02838002,0.09389482,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,2,Fz,0.18439537,-0.18439537,0.20006587,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,3,F3,0.14011735,0.14011735,0.1588877,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,4,F4,0.09857868,-0.0331514,0.11518194,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,5,F7,0.05483442,0.05483442,0.07020397,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,6,F8,0.01416361,0.01416361,0.01447651,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,7,FCz,0.06177926,0.06177926,0.07420721,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,8,FC3,0.09171294,0.09171294,0.10384194,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,9,FC4,0.09904283,-0.09904283,0.10786927,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,10,FT7,0.08262058,-0.08262058,0.08832713,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,11,FT8,0.05955088,-0.01924332,0.0649316,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,12,Cz,0.0739477,0.0739477,0.08648814,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,13,C3,0.05603787,-0.01813287,0.07858776,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,14,C4,0.13830331,-0.13830331,0.17638999,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,15,T3,0.06656514,0.06656514,0.07751276,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,16,T4,0.14586741,0.06526217,0.1559191,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,17,CP3,0.15075946,0.08749466,0.18044335,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,18,CP4,0.13333668,-0.03801498,0.14733885,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,19,TP7,0.09466275,-0.01081779,0.10801484,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,20,TP8,0.09789872,-0.00744507,0.11528777,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,21,Pz,0.10888991,0.05193462,0.12114089,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,22,P3,0.08289397,0.08289397,0.08778355,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,23,P4,0.13267872,-0.10860092,0.14230703,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,24,T5,0.05045169,0.00245895,0.05780348,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,25,T6,0.09993073,-0.09993073,0.11033198,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,26,Oz,0.11850426,0.1180575,0.1384889,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,27,O1,0.11089518,0.04032326,0.1326631,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,3,28,O2,0.07864919,-0.0281315,0.08402454,0.625,0.625,"[5, 3]",0.625,False,0.76140299,0.16012122,0.63796921,True
1,4,0,Fp1,0.09899735,-0.0764795,0.10762052,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,1,Fp2,0.07800775,0.06102972,0.09105416,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,2,Fz,0.12218412,-0.11030873,0.1348709,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,3,F3,0.09166841,0.04294594,0.09658103,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,4,F4,0.10792263,0.01175398,0.11849247,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,5,F7,0.07546403,0.07546403,0.09163965,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,6,F8,0.05488605,-0.01106714,0.05888432,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,7,FCz,0.09463171,0.09463171,0.10472314,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,8,FC3,0.04118319,0.00547724,0.04741333,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,9,FC4,0.07468472,-0.06862558,0.09115401,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,10,FT7,0.09909826,-0.05332292,0.10613567,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,11,FT8,0.08412705,0.00741509,0.0961587,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,12,Cz,0.08117176,0.08117176,0.097067,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,13,C3,0.11187442,0.06920329,0.11675029,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,14,C4,0.09618044,-0.09618044,0.11297441,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,15,T3,0.12404478,0.12404478,0.12793382,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,16,T4,0.11377357,0.01640969,0.13836113,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,17,CP3,0.1170225,0.02557494,0.12882233,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,18,CP4,0.11452214,0.02193822,0.13627547,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,19,TP7,0.08071866,-0.01754688,0.10364298,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,20,TP8,0.112113,-0.06530461,0.13037911,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,21,Pz,0.13966115,0.00804605,0.14051601,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,22,P3,0.09746601,0.09746601,0.10532089,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,23,P4,0.12026823,-0.10100532,0.12960953,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,24,T5,0.10736006,0.06450378,0.11554801,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,25,T6,0.06921294,-0.06729692,0.08918346,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,26,Oz,0.08446309,0.05797527,0.08873558,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,27,O1,0.11792339,0.05233704,0.13058598,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,4,28,O2,0.1386494,-0.01502531,0.14067532,0.75,0.75,"[4, 4]",0.5,False,0.21989237,0.04379197,0.18424483,True
1,5,0,Fp1,0.09379494,-0.07081553,0.10902708,0.375,0.375,"[5, 3]",0.625,False,0.97759103,0.23962835,0.81911023,True
1,5,1,Fp2,0.10023081,0.05796339,0.11679941,0.375,0.375,"[5, 3]",0.625,False,0.97759103,0.23962835,0.81911023,True
1,5,2,Fz,0.14601868,-0.1314158,0.16642712,0.375,0.375,"[5, 3]",0.625,False,0.97759103,0.23962835,0.81911023,True
