subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538492,0.0005,0.00451195,True,0.50873906,0.99974574,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538499,0.0005,0.00451201,True,0.5083833,0.99977238,2170
1,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01800963,0.00199662,0.01509002,True,0.50800297,0.99978816,2170
1,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01312833,0.00149876,0.01100005,True,0.50748137,0.99982901,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538464,0.0005,0.00451172,True,0.50662567,0.99985506,2170
2,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538505,0.0005,0.00451206,True,0.50839095,0.99975201,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538496,0.0005,0.00451198,True,0.50659867,0.99985801,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538505,0.0005,0.00451206,True,0.504738,0.99990791,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00537819,0.0005,0.00450631,True,0.50725368,0.99984015,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0053848,0.0005,0.00451185,True,0.50727724,0.99983039,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,0.55212095,0.09325711,0.46261464,True,0.56004849,0.98715292,2170
3,2,0.375,0.375,"[5, 3]",0.625,False,0,0.79663895,0.14784271,0.66749295,True,0.53886742,0.99277634,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01216728,0.00150004,0.0101948,True,0.50737775,0.99983341,2170
3,4,0.375,0.375,"[5, 3]",0.625,False,0,0.96614674,0.21171698,0.80952122,True,0.59230753,0.96792507,2170
3,5,0.5,0.5,"[6, 2]",0.75,False,0,1.41828461,0.41548076,1.1883614,True,0.74448733,0.74391346,2170
4,1,0.75,0.75,"[4, 4]",0.5,False,0,1.01392469,0.26749532,0.84955372,True,0.58236187,0.96138556,2170
