pretrained_mode,strategy,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,mean_confidence,mean_normalized_prediction_entropy,collapse_rate,n_folds
from_pretrained,new,1,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5076400619999999,0.999813902,1.0,5
from_pretrained,new,2,0.475,0.055901699437494734,47.5,5.5901699437494745,0.475,0.055901699437494734,47.5,5.5901699437494745,0.53576868,0.98526329,0.6,5
from_pretrained,new,3,0.375,0.1767766952966369,37.5,17.67766952966369,0.375,0.1767766952966369,37.5,17.67766952966369,0.578037334,0.9581267840000001,0.2,5
from_pretrained,new,4,0.625,0.23385358667337133,62.5,23.385358667337137,0.625,0.23385358667337133,62.5,23.385358667337137,0.562102118,0.9669907160000001,0.2,5
from_pretrained,new,5,0.45,0.06846531968814576,45.0,6.846531968814578,0.45,0.06846531968814576,45.0,6.846531968814578,0.5408910020000001,0.987757966,0.4,5
from_pretrained,new,6,0.575,0.1118033988749895,57.5,11.180339887498949,0.575,0.1118033988749895,57.5,11.180339887498949,0.523615592,0.996954382,0.4,5
from_pretrained,new,7,0.675,0.16770509831248423,67.5,16.77050983124842,0.675,0.16770509831248423,67.5,16.77050983124842,0.585497402,0.96747841,0.2,5
from_pretrained,new,8,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.5191331,0.995461164,0.6,5
from_pretrained,new,9,0.55,0.3137475099502783,55.0,31.374750995027835,0.55,0.3137475099502783,55.0,31.374750995027835,0.575239764,0.95960989,0.2,5
from_pretrained,new,10,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.521304314,0.996516958,0.2,5
from_pretrained,new,11,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.50651497,0.999863948,0.8,5
from_pretrained,new,12,0.475,0.13693063937629152,47.5,13.693063937629152,0.475,0.13693063937629152,47.5,13.693063937629152,0.553151136,0.979852026,0.4,5
from_pretrained,new,13,0.6,0.055901699437494755,60.0,5.5901699437494745,0.6,0.055901699437494755,60.0,5.5901699437494745,0.5375683560000001,0.989589076,0.0,5
from_pretrained,new,14,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.506348548,0.999868832,0.8,5
from_pretrained,new,15,0.525,0.13693063937629152,52.5,13.693063937629153,0.525,0.13693063937629152,52.5,13.693063937629153,0.544867902,0.9784290280000001,0.4,5
from_pretrained,new,16,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.524839912,0.991797772,0.6,5
from_pretrained,new,17,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.50638541,0.999862294,0.8,5
from_pretrained,new,18,0.525,0.055901699437494755,52.5,5.5901699437494745,0.525,0.055901699437494755,52.5,5.5901699437494745,0.50930417,0.99958606,0.6,5
from_pretrained,new,19,0.675,0.2091650066335189,67.5,20.91650066335189,0.675,0.2091650066335189,67.5,20.91650066335189,0.55271718,0.975154588,0.2,5
from_pretrained,new,20,0.55,0.14252192813739226,55.0,14.252192813739224,0.55,0.14252192813739226,55.0,14.252192813739224,0.545429596,0.985620892,0.2,5
from_pretrained,new,21,0.475,0.055901699437494734,47.5,5.5901699437494745,0.475,0.055901699437494734,47.5,5.5901699437494745,0.525844658,0.992330426,0.8,5
from_pretrained,new,22,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.54793552,0.988700748,0.0,5
from_pretrained,new,23,0.525,0.055901699437494755,52.5,5.5901699437494745,0.525,0.055901699437494755,52.5,5.5901699437494745,0.50771827,0.999782422,0.8,5
from_pretrained,new,24,0.475,0.055901699437494734,47.5,5.5901699437494745,0.475,0.055901699437494734,47.5,5.5901699437494745,0.5075911719999999,0.99978158,0.8,5
from_pretrained,new,25,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.507311412,0.9998042500000001,0.8,5
from_pretrained,new,26,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.5289464859999999,0.9859818560000001,0.6,5
from_pretrained,new,27,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5068499259999999,0.999843598,1.0,5
from_pretrained,new,28,0.675,0.3010398644698074,67.5,30.103986446980738,0.675,0.3010398644698074,67.5,30.103986446980738,0.545048918,0.984429152,0.2,5
from_pretrained,new,29,0.55,0.11180339887498948,55.0,11.180339887498949,0.55,0.11180339887498948,55.0,11.180339887498949,0.5173787219999999,0.9969771080000001,0.6,5
from_pretrained,new,30,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.531194718,0.992378094,0.4,5
from_pretrained,new,31,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.5230478059999999,0.993443102,0.4,5
from_pretrained,new,32,0.5,0.1767766952966369,50.0,17.67766952966369,0.5,0.1767766952966369,50.0,17.67766952966369,0.545054574,0.9749616379999999,0.6,5
from_pretrained,new,33,0.5,0.08838834764831843,50.0,8.838834764831844,0.5,0.08838834764831843,50.0,8.838834764831844,0.549670066,0.984071642,0.0,5
from_pretrained,new,34,0.625,0.15309310892394865,62.5,15.309310892394864,0.625,0.15309310892394865,62.5,15.309310892394864,0.574702116,0.970725592,0.0,5
from_pretrained,new,35,0.525,0.055901699437494734,52.5,5.5901699437494745,0.525,0.055901699437494734,52.5,5.5901699437494745,0.507084152,0.99982737,0.8,5
from_pretrained,new,36,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.539801742,0.9883036799999999,0.4,5
