subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11394598,-0.07198695,0.11876079,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,1,Fp2,0.06448763,0.04426922,0.08315182,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,2,Fz,0.10216323,-0.10187197,0.12047233,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,3,F3,0.05881356,-0.03596304,0.09116925,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,4,F4,0.12946427,0.01241325,0.14320636,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,5,F7,0.0817031,0.06235097,0.09692737,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,6,F8,0.06174476,-0.00252444,0.07183494,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,7,FCz,0.11144009,0.11144009,0.14963493,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,8,FC3,0.05424871,-0.0080455,0.06152061,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,9,FC4,0.06027084,-0.021395,0.07279558,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,10,FT7,0.09047366,-0.02336215,0.10959768,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,11,FT8,0.06422954,-0.00651012,0.07180239,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,12,Cz,0.08992178,0.08992178,0.10826711,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,13,C3,0.08107472,0.0456017,0.08538415,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,14,C4,0.08990483,-0.02972478,0.0953023,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,15,T3,0.09377968,0.08065239,0.10860343,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,16,T4,0.11742574,-0.01757566,0.14950699,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,17,CP3,0.13272214,0.0098207,0.14211911,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,18,CP4,0.10577467,0.04704029,0.1193336,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,19,TP7,0.12101656,-0.0821504,0.13669147,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,20,TP8,0.09955557,-0.04872183,0.11093595,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,21,Pz,0.14953984,0.04175481,0.16168721,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,22,P3,0.08281645,0.07494296,0.10898358,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,23,P4,0.09188922,-0.09188922,0.10776876,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,24,T5,0.07865663,0.05709872,0.09960265,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,25,T6,0.07968409,-0.07968409,0.0896106,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
1,1,26,Oz,0.06325054,0.03703835,0.06579937,0.625,0.625,"[5, 3]",0.625,False,0.58170508,0.11561999,0.48740278,True
