subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538495,0.0005,0.00451197,True,0.5082108,0.9997778,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538495,0.0005,0.00451198,True,0.50865285,0.9997569,2170
1,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451204,True,0.50789946,0.999776,2170
1,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538482,0.0005,0.00451187,True,0.50770152,0.9998184,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538504,0.0005,0.00451205,True,0.50748164,0.9998175,2170
2,1,0.5,0.5,"[4, 4]",0.5,False,0,0.64101553,0.14098303,0.5370982,True,0.58585954,0.9548162,2170
2,2,0.625,0.625,"[3, 5]",0.625,False,1,0.37828577,0.06827398,0.3169605,True,0.53035597,0.9968734,2170
2,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451203,True,0.50575108,0.99986595,2170
2,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.004512,True,0.50707813,0.99984147,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538492,0.0005,0.00451195,True,0.50795792,0.99978386,2170
3,1,0.625,0.625,"[5, 3]",0.625,False,0,0.93510813,0.18587662,0.78351439,True,0.68796637,0.86110401,2170
3,2,0.5,0.5,"[4, 4]",0.5,False,0,0.36810928,0.05953082,0.30843376,True,0.55735008,0.98751922,2170
3,3,0.5,0.5,"[4, 4]",0.5,False,0,0.78197188,0.15130145,0.65520361,True,0.64574167,0.9082768,2170
3,4,0.875,0.875,"[3, 5]",0.625,False,1,1.36065918,0.29040208,1.14007783,True,0.76368883,0.74733488,2170
3,5,0.375,0.375,"[5, 3]",0.625,False,0,1.18309833,0.26126467,0.99130201,True,0.6451912,0.8820389,2170
4,1,0.75,0.75,"[4, 4]",0.5,False,0,0.63850671,0.17063439,0.53499609,True,0.60100711,0.95501025,2170
4,2,0.75,0.75,"[4, 4]",0.5,False,0,1.04256248,0.25273292,0.87354893,True,0.6881927,0.83346188,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,1.22503555,0.41917965,1.02644063,True,0.73221374,0.7669329,2170
4,4,0.625,0.625,"[7, 1]",0.875,False,0,0.96984877,0.27179,0.8126231,True,0.65308783,0.89610709,2170
4,5,0.5,0.5,"[4, 4]",0.5,False,0,0.20801896,0.03704942,0.17429626,True,0.53763212,0.99518494,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538494,0.0005,0.00451197,True,0.50481674,0.9999159,2170
5,2,0.375,0.375,"[3, 5]",0.625,False,1,1.00238165,0.20822446,0.83988196,True,0.55494688,0.98851859,2170
5,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538492,0.0005,0.00451195,True,0.50749872,0.99979421,2170
5,4,0.375,0.375,"[3, 5]",0.625,False,1,1.16506566,0.28580855,0.97619268,True,0.57119541,0.97554956,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01676085,0.00200385,0.01404369,True,0.50720556,0.99981873,2170
6,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538505,0.0005,0.00451206,True,0.5083866,0.99978132,2170
6,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538497,0.0005,0.00451199,True,0.50566562,0.99989331,2170
6,3,0.5,0.5,"[6, 2]",0.75,False,0,0.31667523,0.05575461,0.26533787,True,0.53541784,0.99516975,2170
6,4,0.25,0.25,"[4, 4]",0.5,False,0,0.81143203,0.16161671,0.67988787,True,0.58477002,0.96729375,2170
6,5,0.375,0.375,"[7, 1]",0.875,False,0,0.75818068,0.15778799,0.63526929,True,0.57995494,0.96838797,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.82193196,0.20097508,0.68868562,True,0.65677566,0.91103152,2170
7,2,0.375,0.375,"[5, 3]",0.625,False,0,0.79476243,0.1671559,0.66592064,True,0.58933364,0.96685525,2170
7,3,0.75,0.75,"[2, 6]",0.75,False,1,1.09900334,0.23987637,0.92083996,True,0.64675017,0.91560628,2170
7,4,0.875,0.875,"[5, 3]",0.625,False,0,1.39278189,0.34775353,1.16699301,True,0.70672188,0.80699759,2170
7,5,0.875,0.875,"[5, 3]",0.625,False,0,1.05734286,0.23844521,0.88593321,True,0.58419523,0.97527859,2170
8,1,0.75,0.75,"[2, 6]",0.75,False,1,0.05693274,0.01143729,0.04770317,True,0.50732303,0.99976655,2170
8,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538505,0.0005,0.00451206,True,0.50544263,0.99989494,2170
8,3,0.75,0.75,"[4, 4]",0.5,False,0,0.96435621,0.27584221,0.80802096,True,0.78878029,0.66564426,2170
8,4,0.625,0.625,"[3, 5]",0.625,False,1,0.68070162,0.15682263,0.57035064,True,0.70279934,0.83627251,2170
8,5,0.5,0.5,"[2, 6]",0.75,False,1,0.20264008,0.03501035,0.16978937,True,0.52146761,0.99787359,2170
9,1,0.625,0.625,"[5, 3]",0.625,False,0,1.00317131,0.22877538,0.8405436,True,0.60811701,0.93962823,2170
9,2,0.375,0.375,"[5, 3]",0.625,False,0,0.85799638,0.20182957,0.71890351,True,0.55872295,0.98087643,2170
9,3,0.375,0.375,"[3, 5]",0.625,False,1,0.90135344,0.20713437,0.7552318,True,0.58507421,0.96280425,2170
9,4,0.5,0.5,"[4, 4]",0.5,False,0,1.22911376,0.2946969,1.02985771,True,0.60272823,0.94458477,2170
9,5,0.375,0.375,"[3, 5]",0.625,False,1,1.20543475,0.260531,1.01001739,True,0.61112381,0.93710576,2170
10,1,0.625,0.625,"[1, 7]",0.875,False,1,0.15631605,0.02535607,0.13097509,True,0.51039976,0.9995271,2170
10,2,0.625,0.625,"[3, 5]",0.625,False,1,1.01629471,0.29770306,0.85153952,True,0.61489294,0.94782351,2170
10,3,0.625,0.625,"[3, 5]",0.625,False,1,0.43973361,0.09233014,0.36844682,True,0.52305067,0.99785189,2170
10,4,0.75,0.75,"[2, 6]",0.75,False,1,0.95754604,0.22495058,0.80231481,True,0.56938667,0.97268104,2170
10,5,0.625,0.625,"[3, 5]",0.625,False,1,0.81012712,0.17574408,0.6787945,True,0.59314974,0.96348652,2170
11,1,0.375,0.375,"[5, 3]",0.625,False,0,1.00443456,0.21529271,0.84160206,True,0.65997527,0.89574191,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01990816,0.00247528,0.01668077,True,0.5079008,0.99980932,2170
