subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.06424273,-0.03050864,0.06987187,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,1,Fp2,0.02916031,0.01565504,0.03097125,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,2,Fz,0.12426137,-0.03820932,0.15350887,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,3,F3,0.04473681,-0.02466018,0.05313799,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,4,F4,0.17981716,0.01589909,0.18653877,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,5,F7,0.050452,0.01597843,0.05414758,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,6,F8,0.07164562,0.00301014,0.08946493,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,7,FCz,0.12583704,0.12044356,0.18101695,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,8,FC3,0.11386108,-0.03356881,0.1285743,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,9,FC4,0.16740352,-0.05569462,0.20481725,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,10,FT7,0.1356259,0.13087702,0.17838208,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,11,FT8,0.06495,0.00415911,0.08410668,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,12,Cz,0.07258508,0.01378423,0.07911503,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,13,C3,0.11997731,-0.01331136,0.1523679,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,14,C4,0.09575367,0.09008375,0.12463462,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,15,T3,0.14812474,4.319e-05,0.1666231,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,16,T4,0.16477686,0.03312349,0.18956147,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,17,CP3,0.07165559,-0.03815115,0.08175121,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,18,CP4,0.07407923,0.02827783,0.08471885,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,19,TP7,0.17705093,-0.17705093,0.2082026,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,20,TP8,0.09087415,0.01332284,0.10011828,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,21,Pz,0.06152976,0.03775033,0.07444274,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,22,P3,0.09404581,0.09404581,0.1431125,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,23,P4,0.12987824,-0.06001199,0.14406741,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,24,T5,0.10677831,0.03211831,0.11954055,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,25,T6,0.09400363,-0.09400363,0.10496917,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,26,Oz,0.03648948,-0.01998772,0.03865423,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,27,O1,0.12286241,0.12286241,0.14128411,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,1,28,O2,0.05078666,0.02384321,0.06152349,0.5,0.5,"[4, 4]",0.5,False,1.39412691,0.34468439,1.16811999,True
1,2,0,Fp1,0.10980675,-0.09610121,0.12261472,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,1,Fp2,0.07780819,0.06106018,0.09545806,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,2,Fz,0.10400175,-0.09858149,0.11754039,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,3,F3,0.08777067,0.0273132,0.0945152,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,4,F4,0.09753284,0.01225002,0.10789158,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,5,F7,0.08410586,0.08142675,0.09753329,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,6,F8,0.07774206,-0.02920646,0.07872624,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,7,FCz,0.09893288,0.09893288,0.11437096,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,8,FC3,0.03074027,0.00552213,0.03757604,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,9,FC4,0.05814173,-0.05814173,0.07613167,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,10,FT7,0.09091979,-0.05847622,0.10440022,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,11,FT8,0.08009119,-0.0030378,0.09715384,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,12,Cz,0.07730224,0.07568366,0.09283374,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,13,C3,0.11548089,0.07251649,0.11769527,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,14,C4,0.08565488,-0.07487461,0.09603466,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,15,T3,0.12623481,0.12623481,0.13150543,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,16,T4,0.12233757,0.01356596,0.13488077,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,17,CP3,0.12112434,0.03344349,0.1396388,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,18,CP4,0.11068315,0.0345095,0.12730919,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,19,TP7,0.08442771,-0.0187315,0.0944772,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,20,TP8,0.08911946,-0.05881342,0.10799099,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,21,Pz,0.15278901,0.00698239,0.15298365,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,22,P3,0.10840744,0.10840744,0.11754164,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,23,P4,0.10456342,-0.09251532,0.11637326,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,24,T5,0.10500555,0.07303883,0.11439426,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,25,T6,0.08137548,-0.06235651,0.09247391,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,26,Oz,0.07787076,0.04276758,0.08027152,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,27,O1,0.12211213,0.05658302,0.13242471,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,2,28,O2,0.14414138,-0.02318954,0.14678095,0.5,0.5,"[0, 8]",1.0,True,0.00538502,0.0005,0.00451203,True
1,3,0,Fp1,0.1100838,-0.09842342,0.12440731,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,1,Fp2,0.07766467,0.05800464,0.09408762,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,2,Fz,0.10608998,-0.1028651,0.12105121,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,3,F3,0.08592869,0.02289795,0.09337305,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,4,F4,0.09767754,0.0112625,0.10847272,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,5,F7,0.08314575,0.0776094,0.09513544,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,6,F8,0.07955131,-0.02938156,0.08057396,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,7,FCz,0.09507966,0.09507966,0.11130996,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,8,FC3,0.02970344,0.00086901,0.0377918,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,9,FC4,0.05918805,-0.05918805,0.07566859,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,10,FT7,0.09502666,-0.06014944,0.10785934,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,11,FT8,0.08065802,-0.00033061,0.09649563,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,12,Cz,0.07596181,0.07251906,0.09061314,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,13,C3,0.11280802,0.07042734,0.11495266,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,14,C4,0.08543551,-0.07288396,0.09537837,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,15,T3,0.12900886,0.12900886,0.13413638,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,16,T4,0.12062499,0.0172813,0.13382146,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,17,CP3,0.12276395,0.03453476,0.13995484,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,18,CP4,0.11170021,0.03513835,0.12758213,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,19,TP7,0.08762889,-0.01608026,0.09830245,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,20,TP8,0.08939454,-0.05493951,0.10626213,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,21,Pz,0.15251809,0.01178165,0.1530133,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,22,P3,0.11139116,0.11139116,0.12094743,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,23,P4,0.09987999,-0.08938499,0.1117286,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,24,T5,0.11011793,0.07548253,0.1187399,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,25,T6,0.08032471,-0.05927833,0.08991731,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,26,Oz,0.08154197,0.04643434,0.0839825,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,27,O1,0.12135448,0.0585161,0.13090305,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,3,28,O2,0.14535816,-0.01942193,0.14731371,0.5,0.5,"[2, 6]",0.75,False,0.04826926,0.00649281,0.04044415,True
1,4,0,Fp1,0.10412923,-0.07202514,0.13267055,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,1,Fp2,0.06981952,0.06981952,0.09025516,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,2,Fz,0.11124586,-0.04147862,0.13009758,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,3,F3,0.05001028,-0.0086894,0.06073347,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,4,F4,0.06046763,0.05469156,0.08167179,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,5,F7,0.06330406,0.0142992,0.0727846,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,6,F8,0.06424665,0.04261607,0.07726149,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,7,FCz,0.14733487,0.05600486,0.15094161,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,8,FC3,0.09998951,-0.00269846,0.10474822,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
1,4,9,FC4,0.09494402,-0.07397092,0.12133184,0.375,0.375,"[5, 3]",0.625,False,0.97833033,0.22560817,0.81972969,True
