subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,0.1376358,0.02294389,0.11532316,True,0.50679071,0.99980234,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00107702,0.0001,0.00090242,True,0.50658479,0.99986086,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00309344,0.00040107,0.00259195,True,0.50451306,0.99992786,2170
1,4,0.5,0.5,"[6, 2]",0.75,False,0,0.51894756,0.10827006,0.4348191,True,0.53108034,0.99573832,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00107703,0.0001,0.00090243,True,0.50675695,0.99984464,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.56657172,0.10238032,0.47472274,True,0.59381233,0.96329332,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.18360986,0.03039289,0.1538442,True,0.52428903,0.99781837,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.56336347,0.12401502,0.47203459,True,0.62015803,0.94419321,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.13791969,0.02154112,0.11556103,True,0.51196605,0.99940908,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.08084444,0.01224753,0.06773846,True,0.50649601,0.99978473,2170
3,1,0.625,0.625,"[7, 1]",0.875,False,0,0.70496627,0.12359508,0.59068165,True,0.59800928,0.95578139,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,0.49674937,0.08472737,0.41621955,True,0.55672143,0.98729105,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.81655842,0.14575117,0.6841832,True,0.56132219,0.97945969,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,0.96791359,0.1948663,0.81100164,True,0.66566932,0.89791083,2170
3,5,0.625,0.625,"[7, 1]",0.875,False,0,1.06487175,0.22194276,0.89224156,True,0.65600456,0.89110623,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00107701,0.0001,0.00090242,True,0.50431453,0.99992305,2170
4,2,0.5,0.5,"[4, 4]",0.5,False,0,0.56890571,0.12336235,0.47667836,True,0.55183619,0.98736023,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.83003342,0.20902217,0.69547372,True,0.61578694,0.95497249,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.50707274,0.11051593,0.42486936,True,0.5536004,0.98868979,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00107701,0.0001,0.00090241,True,0.50752047,0.99982044,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00107702,0.0001,0.00090242,True,0.50480817,0.99992061,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00107699,0.0001,0.0009024,True,0.50487778,0.99991591,2170
5,3,0.375,0.375,"[1, 7]",0.875,False,1,0.07102048,0.01037246,0.0595071,True,0.50670967,0.99986014,2170
5,4,0.625,0.625,"[3, 5]",0.625,False,1,0.17387001,0.02610932,0.14568332,True,0.50492054,0.99990828,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.001077,0.0001,0.00090241,True,0.50642639,0.99986463,2170
6,1,0.375,0.375,"[3, 5]",0.625,False,1,0.65670947,0.13382564,0.55024794,True,0.5429684,0.99296225,2170
6,2,0.5,0.5,"[6, 2]",0.75,False,0,0.3115252,0.05793322,0.26102273,True,0.53805248,0.994058,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.001077,0.0001,0.0009024,True,0.50679959,0.99985854,2170
6,4,0.375,0.375,"[1, 7]",0.875,False,1,0.04814398,0.00696563,0.04033919,True,0.50723249,0.99973546,2170
6,5,0.25,0.25,"[6, 2]",0.75,False,0,0.62298091,0.12763366,0.52198723,True,0.57991259,0.96898185,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,0.65020924,0.14875942,0.54480149,True,0.58086788,0.97253324,2170
7,2,0.5,0.5,"[6, 2]",0.75,False,0,0.60357718,0.11310282,0.50572912,True,0.56785733,0.98112173,2170
7,3,0.875,0.875,"[3, 5]",0.625,False,1,0.65221185,0.13325835,0.54647945,True,0.55693024,0.98683963,2170
7,4,0.5,0.5,"[4, 4]",0.5,False,0,0.99518246,0.21905269,0.83384985,True,0.57691076,0.97990246,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.59553879,0.12950007,0.49899385,True,0.55324101,0.98673276,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.28859625,0.05420562,0.24181087,True,0.55868551,0.98838372,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.49707761,0.10860383,0.41649457,True,0.57365133,0.9800331,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00182358,0.00020014,0.00152796,True,0.50462986,0.99992169,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00107701,0.0001,0.00090241,True,0.50650082,0.9998574,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.64382126,0.15186615,0.53944909,True,0.62310134,0.94313183,2170
9,1,0.75,0.75,"[2, 6]",0.75,False,1,0.11076848,0.01742867,0.0928114,True,0.50871599,0.99970331,2170
9,2,0.5,0.5,"[4, 4]",0.5,False,0,0.28593358,0.0509705,0.23957986,True,0.51713208,0.99882374,2170
9,3,0.5,0.5,"[4, 4]",0.5,False,0,0.2077045,0.03589389,0.17403278,True,0.51091021,0.99938559,2170
9,4,0.5,0.5,"[2, 6]",0.75,False,1,0.10625502,0.01651963,0.08902964,True,0.5039361,0.99994866,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.1409739,0.02121598,0.11812012,True,0.50752985,0.99971447,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00343754,0.00040093,0.00288027,True,0.50626975,0.99986427,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00304706,0.00039466,0.00255309,True,0.50763084,0.99980759,2170
10,3,0.5,0.5,"[6, 2]",0.75,False,0,0.528611,0.09938776,0.44291597,True,0.53026357,0.99581166,2170
10,4,0.5,0.5,"[4, 4]",0.5,False,0,0.83706088,0.20112919,0.70136193,True,0.57141547,0.97924121,2170
10,5,0.25,0.25,"[4, 4]",0.5,False,0,0.18360539,0.03181422,0.15384046,True,0.50932474,0.99954756,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00107701,0.0001,0.00090242,True,0.50659136,0.99985669,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.010015,0.00128539,0.00839143,True,0.50611988,0.99987738,2170
11,3,0.625,0.625,"[1, 7]",0.875,False,1,0.10971824,0.01762719,0.09193142,True,0.50924235,0.99970469,2170
11,4,0.5,0.5,"[2, 6]",0.75,False,1,0.29149916,0.05463656,0.24424319,True,0.51988146,0.99837381,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00189466,0.00020011,0.00158751,True,0.50445674,0.99993522,2170
12,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00107697,0.0001,0.00090238,True,0.50504816,0.99991187,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00107702,0.0001,0.00090242,True,0.50607838,0.99987127,2170
12,3,0.5,0.5,"[4, 4]",0.5,False,0,0.38495673,0.06618646,0.32255001,True,0.52053099,0.99812493,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00107702,0.0001,0.00090242,True,0.50524863,0.99991626,2170
12,5,0.5,0.5,"[8, 0]",1.0,True,0,0.39077922,0.08004172,0.3274286,True,0.53879645,0.994456,2170
13,1,0.625,0.625,"[1, 7]",0.875,False,1,0.001077,0.0001,0.0009024,True,0.50611556,0.99987185,2170
13,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00107701,0.0001,0.00090241,True,0.50598116,0.99987783,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.60372229,0.12591624,0.5058507,True,0.59770423,0.96401158,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00107693,0.0001,0.00090235,True,0.50746201,0.99980611,2170
13,5,0.375,0.375,"[1, 7]",0.875,False,1,0.00385956,0.00040081,0.00323387,True,0.50444412,0.99990927,2170
14,1,0.625,0.625,"[1, 7]",0.875,False,1,0.001077,0.0001,0.00090241,True,0.50551976,0.99989013,2170
14,2,0.5,0.5,"[8, 0]",1.0,True,0,0.19949654,0.03351237,0.16715544,True,0.50848573,0.99961097,2170
