subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.1244444,-0.08878755,0.13227002,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,1,Fp2,0.06678671,0.04825659,0.08473539,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,2,Fz,0.10834439,-0.10834439,0.12480315,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,3,F3,0.06513943,-0.01933097,0.09154924,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,4,F4,0.1164474,0.01092514,0.12904733,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,5,F7,0.07591908,0.06295612,0.08647075,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,6,F8,0.07436952,-0.01480757,0.08033098,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,7,FCz,0.10982724,0.10982724,0.13853782,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,8,FC3,0.03396485,0.00079366,0.04134282,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,9,FC4,0.05447842,-0.03301125,0.05924661,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,10,FT7,0.09325361,-0.0382731,0.11390277,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,11,FT8,0.07371575,-0.00651728,0.08404507,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,12,Cz,0.0876399,0.0876399,0.10434485,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,13,C3,0.10396302,0.05240731,0.10568838,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,14,C4,0.08993546,-0.04810128,0.09091071,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,15,T3,0.10187287,0.10187287,0.12063795,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,16,T4,0.1152436,-0.00601468,0.13842744,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,17,CP3,0.13331953,0.02348933,0.14431539,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,18,CP4,0.10938206,0.042555,0.11999394,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,19,TP7,0.09629253,-0.05601907,0.11659247,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,20,TP8,0.09207344,-0.05098278,0.10435575,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,21,Pz,0.15774573,0.03466889,0.16385478,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,22,P3,0.09146598,0.09146598,0.10938101,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,23,P4,0.08896033,-0.08896033,0.10066786,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,24,T5,0.09244642,0.06888602,0.11015081,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,25,T6,0.0797735,-0.07086448,0.08991472,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,26,Oz,0.07003389,0.04543266,0.07198085,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,27,O1,0.17188129,0.09636761,0.17866859,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,1,28,O2,0.11621033,-0.00472059,0.11876525,0.625,0.625,"[5, 3]",0.625,False,0.39499023,0.07197092,0.33095695,True
1,2,0,Fp1,0.13074595,-0.10642338,0.14173806,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,1,Fp2,0.08032206,0.04612943,0.09772073,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,2,Fz,0.12107698,-0.12107698,0.13447835,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,3,F3,0.08399746,0.02675051,0.08659775,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,4,F4,0.07956509,-0.00146926,0.09381415,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,5,F7,0.08004468,0.07576187,0.09185895,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,6,F8,0.07302234,-0.02945508,0.07384717,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,7,FCz,0.10067307,0.09429059,0.11939799,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,8,FC3,0.02243061,-0.00219803,0.02349012,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,9,FC4,0.04667702,-0.04667702,0.06359714,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,10,FT7,0.08074747,-0.03674494,0.09450115,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,11,FT8,0.08798396,-0.0026944,0.09870694,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,12,Cz,0.07711434,0.07711434,0.09388793,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,13,C3,0.12816232,0.07076508,0.13077492,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,14,C4,0.07811394,-0.07811394,0.09063887,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,15,T3,0.11546398,0.11546398,0.12491105,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,16,T4,0.11319683,-0.00242245,0.12950847,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,17,CP3,0.12094796,0.03314171,0.1398899,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,18,CP4,0.11809982,0.0302775,0.13505889,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,19,TP7,0.09257343,-0.03563382,0.10972978,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,20,TP8,0.08988167,-0.05300903,0.10579572,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,21,Pz,0.13642171,0.01904906,0.13787769,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,22,P3,0.10630295,0.10630295,0.11555825,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,23,P4,0.08142297,-0.07727198,0.09427299,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,24,T5,0.10111755,0.06514525,0.10939649,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,25,T6,0.07194856,-0.04219058,0.07744852,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,26,Oz,0.08239487,0.0538504,0.085756,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,27,O1,0.14677246,0.08005537,0.15531933,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,2,28,O2,0.14247347,0.00240467,0.14360802,0.375,0.375,"[3, 5]",0.625,False,0.21963168,0.03850327,0.1840264,True
1,3,0,Fp1,0.10995673,-0.0961512,0.12278918,0.5,0.5,"[2, 6]",0.75,False,0.00323101,0.00030001,0.00270722,True
1,3,1,Fp2,0.07765819,0.06101018,0.09513739,0.5,0.5,"[2, 6]",0.75,False,0.00323101,0.00030001,0.00270722,True
