channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.14178649124,0.025266149110711705,0.00320539556,0.14569843412,250,0.8155,0.452,0.26059812912
28,O2,0.13607803308000002,0.023221421440744912,-0.01735904196,0.14162744724,250,0.8155,0.452,0.26059812912
17,CP3,0.12348038636,0.02149518803220336,0.0248101618,0.14179943656,250,0.8155,0.452,0.26059812912
15,T3,0.12109896224000001,0.021643802794424037,0.11613160932,0.12980872844000002,250,0.8155,0.452,0.26059812912
16,T4,0.1145175046,0.019672076621851525,0.01665292392,0.12857131312,250,0.8155,0.452,0.26059812912
27,O1,0.11431976136000001,0.019944357095619272,0.04812048884,0.12610718388,250,0.8155,0.452,0.26059812912
18,CP4,0.11114728512000001,0.01849886655872025,0.0358574554,0.12852415171999998,250,0.8155,0.452,0.26059812912
13,C3,0.11006680668,0.020586233439637388,0.06003532432,0.11640181184,250,0.8155,0.452,0.26059812912
2,Fz,0.10608225804,0.018326986471709782,-0.09647449172,0.12027694992,250,0.8155,0.452,0.26059812912
22,P3,0.1038245178,0.022880452202202178,0.09565025952,0.11562367308,250,0.8155,0.452,0.26059812912
23,P4,0.10366684896,0.024024969742684976,-0.08298037275999999,0.1165796756,250,0.8155,0.452,0.26059812912
0,Fp1,0.10195878104,0.02156420076683932,-0.08608179036,0.1150776576,250,0.8155,0.452,0.26059812912
7,FCz,0.09896969252,0.019962793311208097,0.08962175528,0.11398397504,250,0.8155,0.452,0.26059812912
24,T5,0.09769891224,0.021689707865726514,0.06205287612,0.10885410532,250,0.8155,0.452,0.26059812912
4,F4,0.09462956672,0.01844874944808271,0.0142199826,0.10626304564,250,0.8155,0.452,0.26059812912
20,TP8,0.09159577572000001,0.020201413861965868,-0.05145492728,0.1089341042,250,0.8155,0.452,0.26059812912
10,FT7,0.08853453552,0.01849581582646903,-0.05110918876,0.10181555128,250,0.8155,0.452,0.26059812912
14,C4,0.08805293444000001,0.018687941834833074,-0.0665734308,0.09988016236,250,0.8155,0.452,0.26059812912
3,F3,0.08693849992,0.015292037393009321,0.028410619919999998,0.09646325008,250,0.8155,0.452,0.26059812912
5,F7,0.0861758774,0.01878138590276022,0.07850410904,0.09950497096,250,0.8155,0.452,0.26059812912
19,TP7,0.08490538816,0.018687194067098394,-0.02378146852,0.09635936396,250,0.8155,0.452,0.26059812912
11,FT8,0.08277506944,0.02063431864583807,0.0006861094000000001,0.0982557286,250,0.8155,0.452,0.26059812912
12,Cz,0.07980788728,0.017719901077859555,0.07117456704,0.09404524548000001,250,0.8155,0.452,0.26059812912
26,Oz,0.0790047732,0.019989157215622926,0.04161347632,0.08455761292,250,0.8155,0.452,0.26059812912
25,T6,0.07856124328,0.014500869062681974,-0.052366687519999996,0.09050325688,250,0.8155,0.452,0.26059812912
6,F8,0.07569956600000001,0.018601206307040506,-0.02078182024,0.08120012076000001,250,0.8155,0.452,0.26059812912
1,Fp2,0.0723974994,0.016678410728530484,0.05401216424,0.08940015416,250,0.8155,0.452,0.26059812912
9,FC4,0.06130648148,0.01909998254082452,-0.0471950196,0.07748956284,250,0.8155,0.452,0.26059812912
8,FC3,0.04302607896,0.025318446819823308,5.530379999999993e-05,0.05096450032,250,0.8155,0.452,0.26059812912
