channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13871781924,0.028177921430980198,0.0023115779199999998,0.143881887,250,0.8035,0.428,0.32550242196
28,O2,0.13248751011999998,0.026636047802335697,-0.01666685644,0.13881353192,250,0.8035,0.428,0.32550242196
17,CP3,0.12351537627999999,0.025645656321289515,0.02431691664,0.14224982292,250,0.8035,0.428,0.32550242196
15,T3,0.12035610904,0.024409201526203288,0.1128605536,0.12921467196,250,0.8035,0.428,0.32550242196
27,O1,0.11308920827999999,0.02172826739442118,0.04494995964,0.1250677246,250,0.8035,0.428,0.32550242196
16,T4,0.11273756852,0.021798026197716713,0.01539316292,0.12695913304,250,0.8035,0.428,0.32550242196
18,CP4,0.11140283467999999,0.021883555404892972,0.03807463088,0.12894454836,250,0.8035,0.428,0.32550242196
13,C3,0.10970964584,0.02394069147433168,0.055999211119999996,0.1172083576,250,0.8035,0.428,0.32550242196
2,Fz,0.10560927792,0.020642707910837676,-0.09410267664,0.12028062188,250,0.8035,0.428,0.32550242196
22,P3,0.10536342019999999,0.023603938717897108,0.09242558667999999,0.11752027488,250,0.8035,0.428,0.32550242196
23,P4,0.10353689488000001,0.027172249618326864,-0.07879633044,0.11622426424,250,0.8035,0.428,0.32550242196
7,FCz,0.09981373948,0.025870074359679206,0.08537642683999999,0.11465687172,250,0.8035,0.428,0.32550242196
0,Fp1,0.09945784628,0.02513410315950036,-0.08278870804,0.11233294776,250,0.8035,0.428,0.32550242196
24,T5,0.0983540762,0.02582241153611416,0.059400311799999994,0.10993905688,250,0.8035,0.428,0.32550242196
4,F4,0.09506952304,0.021137055591110517,0.01634044912,0.10695515248,250,0.8035,0.428,0.32550242196
20,TP8,0.09098654168,0.02378718884943959,-0.04756995508,0.10787293416,250,0.8035,0.428,0.32550242196
14,C4,0.08876423448,0.02100327067853423,-0.06358764055999999,0.10155890596,250,0.8035,0.428,0.32550242196
3,F3,0.08730366599999999,0.01989987369972564,0.02929844472,0.0969745328,250,0.8035,0.428,0.32550242196
10,FT7,0.08692341120000001,0.021066849685843592,-0.04673416952,0.1002765188,250,0.8035,0.428,0.32550242196
19,TP7,0.08637438272,0.022737667880663708,-0.02517239996,0.09795143092,250,0.8035,0.428,0.32550242196
5,F7,0.08477331671999999,0.020441685729196607,0.07552257132,0.09779645132,250,0.8035,0.428,0.32550242196
11,FT8,0.08296002404,0.02507509132616016,1.5409719999999794e-05,0.09847687000000001,250,0.8035,0.428,0.32550242196
26,Oz,0.08070814048,0.024091634713457703,0.041264413679999994,0.08630278332,250,0.8035,0.428,0.32550242196
12,Cz,0.07988319312,0.01867496374013933,0.06934913612,0.09420706692,250,0.8035,0.428,0.32550242196
25,T6,0.07849124492,0.018339036552066708,-0.049487251440000005,0.09055457956,250,0.8035,0.428,0.32550242196
6,F8,0.07641558668000001,0.02119748834209409,-0.01738733032,0.08280338132,250,0.8035,0.428,0.32550242196
1,Fp2,0.07053597587999999,0.01801114215084726,0.05102237444,0.08680687768,250,0.8035,0.428,0.32550242196
9,FC4,0.06387198620000001,0.0242461960344379,-0.045549120279999994,0.0804186252,250,0.8035,0.428,0.32550242196
8,FC3,0.046025327,0.02991285245096453,-0.0010467061600000001,0.05464305772,250,0.8035,0.428,0.32550242196
