subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,0.59268904,0.15010367,0.49660609,True,0.53533702,0.99578444,2170
1,2,0.5,0.5,"[4, 4]",0.5,False,0,0.26038327,0.05630674,0.2181716,True,0.51192328,0.99916783,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01048607,0.00149629,0.00878614,True,0.50494554,0.99991138,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.82593638,0.20982239,0.69204087,True,0.56772058,0.97854004,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01135884,0.0015001,0.00951742,True,0.50777015,0.99979957,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.76356105,0.18033595,0.63977743,True,0.63956676,0.91614351,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.26607075,0.05980185,0.22293706,True,0.54758658,0.99174948,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.63636852,0.17611863,0.53320454,True,0.67132175,0.88685679,2170
2,4,0.75,0.75,"[6, 2]",0.75,False,0,0.20002228,0.03986224,0.16759595,True,0.52052645,0.99838022,2170
2,5,0.75,0.75,"[4, 4]",0.5,False,0,0.10166468,0.01724177,0.08518345,True,0.50797781,0.99968119,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,1.22009487,0.23914392,1.02230091,True,0.6580761,0.87187032,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.0480929,0.23947864,0.87818279,True,0.66234733,0.91097995,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.79060764,0.14636096,0.66243939,True,0.56445634,0.97808806,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.27310678,0.28380838,1.06671887,True,0.77023388,0.71579209,2170
