subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.12461683,-0.08882705,0.13241476,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,1,Fp2,0.06619418,0.04866054,0.08446798,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,2,Fz,0.10836409,-0.10836409,0.12483879,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,3,F3,0.06508529,-0.01936703,0.09151489,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,4,F4,0.11631261,0.0107579,0.12897958,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,5,F7,0.07614076,0.06280269,0.08654826,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,6,F8,0.07453851,-0.01493801,0.08049002,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,7,FCz,0.10985404,0.10985404,0.13854548,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,8,FC3,0.0339845,0.00095772,0.04143992,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,9,FC4,0.05440843,-0.03298187,0.0591999,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,10,FT7,0.09325413,-0.03824456,0.11386751,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,11,FT8,0.07356842,-0.00675085,0.08395049,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,12,Cz,0.08778413,0.08778413,0.10447138,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,13,C3,0.10401332,0.05262532,0.10575248,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,14,C4,0.08981366,-0.04798195,0.09075502,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,15,T3,0.1021933,0.1021933,0.12107712,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,16,T4,0.11515264,-0.00602585,0.13835043,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,17,CP3,0.13330072,0.02350165,0.14429049,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,18,CP4,0.10923905,0.04250912,0.11978084,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,19,TP7,0.09634966,-0.05590229,0.11662008,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,20,TP8,0.09184482,-0.05112236,0.10413839,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,21,Pz,0.15770268,0.03471703,0.16381493,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,22,P3,0.09119327,0.09119327,0.10891552,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,23,P4,0.08890745,-0.08890745,0.10063097,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,24,T5,0.09253254,0.06884672,0.11027988,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,25,T6,0.0798851,-0.070902,0.09002267,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,26,Oz,0.07004873,0.04538153,0.07196987,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,27,O1,0.17193058,0.09630517,0.17870933,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,1,28,O2,0.11611772,-0.00489678,0.11870001,0.625,0.625,"[5, 3]",0.625,False,0.39495651,0.0719349,0.33092869,True
1,2,0,Fp1,0.13071984,-0.10645206,0.14173287,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,1,Fp2,0.08027529,0.04608438,0.09767774,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,2,Fz,0.12114844,-0.12114844,0.13456428,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,3,F3,0.08397189,0.02674312,0.08657223,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,4,F4,0.07954822,-0.0015268,0.09383588,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,5,F7,0.0801348,0.07576728,0.09192032,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
1,2,6,F8,0.07312639,-0.02947514,0.0739491,0.375,0.375,"[3, 5]",0.625,False,0.21945992,0.03848389,0.18388248,True
