subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[4, 4]",0.5,False,0,0.28839806,0.05229065,0.24164481,True,0.51678055,0.99893183,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.19404776,0.0315856,0.16258998,True,0.51182584,0.99941277,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01202087,0.00150208,0.01007213,True,0.50507468,0.99990642,2170
1,4,0.5,0.5,"[6, 2]",0.75,False,0,0.69359918,0.1523398,0.58115732,True,0.55751136,0.98623761,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538506,0.0005,0.00451207,True,0.50738373,0.99981869,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.75785163,0.14495857,0.63499358,True,0.6375481,0.92215409,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.1978628,0.03665381,0.16578655,True,0.52905118,0.99686487,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.63601684,0.1451147,0.53290986,True,0.65303218,0.90968773,2170
2,4,0.75,0.75,"[6, 2]",0.75,False,0,0.21944449,0.0357438,0.18386956,True,0.52524202,0.99758957,2170
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.28008452,0.05332404,0.23467901,True,0.53266728,0.99573178,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,1.29626931,0.25702763,1.08612643,True,0.67178459,0.87471538,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.128445,0.2264026,0.94550872,True,0.64199138,0.93014879,2170
3,3,0.625,0.625,"[3, 5]",0.625,False,1,0.9610377,0.17994415,0.80524043,True,0.58098937,0.96182594,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.39197591,0.34597667,1.1663177,True,0.79302881,0.63201616,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.30958736,0.29445854,1.09728545,True,0.70172203,0.80062002,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538499,0.0005,0.00451201,True,0.50473072,0.99991102,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.57276394,0.13072643,0.47991112,True,0.55352905,0.98640674,2170
4,3,0.625,0.625,"[1, 7]",0.875,False,1,1.13145985,0.27841267,0.94803482,True,0.69677022,0.84858385,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.57819088,0.12992045,0.48445828,True,0.57065266,0.98229049,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538492,0.0005,0.00451195,True,0.50767992,0.99981527,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538495,0.0005,0.00451198,True,0.50528251,0.99990579,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538496,0.0005,0.00451198,True,0.50536871,0.99990177,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.08535334,0.23070846,0.90940281,True,0.58933818,0.97187978,2170
5,4,0.625,0.625,"[3, 5]",0.625,False,1,0.24463898,0.03791944,0.20497967,True,0.50778649,0.9997956,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00537992,0.0005,0.00450776,True,0.50691903,0.99984625,2170
6,1,0.25,0.25,"[2, 6]",0.75,False,1,0.7053548,0.14843951,0.5910072,True,0.54980984,0.9884025,2170
6,2,0.75,0.75,"[6, 2]",0.75,False,0,0.70811327,0.17326529,0.59331848,True,0.61579594,0.94487667,2170
6,3,0.375,0.375,"[7, 1]",0.875,False,0,0.97562894,0.27515686,0.81746622,True,0.60412311,0.95866817,2170
6,4,0.5,0.5,"[4, 4]",0.5,False,0,0.20569275,0.03141787,0.17234716,True,0.51732098,0.99831225,2170
6,5,0.25,0.25,"[4, 4]",0.5,False,0,0.76156248,0.17564266,0.63810285,True,0.61358355,0.94109548,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.47525967,0.09801493,0.39821362,True,0.55854239,0.98560728,2170
7,2,0.375,0.375,"[7, 1]",0.875,False,0,0.49835347,0.09037364,0.4175636,True,0.55185539,0.98844393,2170
7,3,0.75,0.75,"[4, 4]",0.5,False,0,0.82696229,0.1985608,0.69290046,True,0.60094035,0.96099797,2170
7,4,0.25,0.25,"[2, 6]",0.75,False,1,1.16873032,0.31926239,0.97926325,True,0.60538547,0.95445293,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,0.63586499,0.13844836,0.53278263,True,0.57235479,0.97769097,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.74683274,0.17715448,0.625761,True,0.65747556,0.91330261,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.60522581,0.13976934,0.50711047,True,0.60077267,0.96434546,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00538497,0.0005,0.004512,True,0.50515674,0.99990601,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538462,0.0005,0.0045117,True,0.50753799,0.99981557,2170
8,5,0.625,0.625,"[5, 3]",0.625,False,0,0.62947313,0.14699099,0.52742698,True,0.62092514,0.94461774,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.19847455,0.03169221,0.16629913,True,0.5148253,0.99911459,2170
9,2,0.375,0.375,"[5, 3]",0.625,False,0,0.48075434,0.1050704,0.40281753,True,0.53032105,0.99544909,2170
9,3,0.375,0.375,"[1, 7]",0.875,False,1,0.2235862,0.03975046,0.18733984,True,0.51448473,0.99887914,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.07805983,0.01161686,0.06540527,True,0.50443381,0.99992745,2170
9,5,0.25,0.25,"[4, 4]",0.5,False,0,0.52351134,0.10717822,0.43864304,True,0.53553687,0.99495356,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538434,0.0005,0.00451147,True,0.50669612,0.99984909,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538463,0.0005,0.00451171,True,0.50777712,0.99980458,2170
10,3,0.375,0.375,"[3, 5]",0.625,False,1,1.11382063,0.26441889,0.93325517,True,0.60612451,0.95828237,2170
10,4,0.375,0.375,"[5, 3]",0.625,False,0,1.34707355,0.37254792,1.12869462,True,0.62371573,0.93076882,2170
10,5,0.5,0.5,"[4, 4]",0.5,False,0,0.83672587,0.17989396,0.70108123,True,0.56163619,0.98502518,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538481,0.0005,0.00451186,True,0.50744626,0.99982427,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01346269,0.00149904,0.01128021,True,0.50744048,0.99982897,2170
11,3,0.625,0.625,"[1, 7]",0.875,False,1,0.21575955,0.03625342,0.180782,True,0.51798698,0.99862569,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538459,0.0005,0.00451168,True,0.50780717,0.999817,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538502,0.0005,0.00451204,True,0.50513983,0.99991687,2170
12,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00538473,0.0005,0.00451179,True,0.50561288,0.99989608,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00888381,0.00100054,0.00744362,True,0.50712924,0.99982391,2170
12,3,0.5,0.5,"[4, 4]",0.5,False,0,0.40241251,0.06800681,0.33717597,True,0.52316035,0.9977769,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.004512,True,0.50572176,0.99990011,2170
12,5,0.5,0.5,"[8, 0]",1.0,True,0,0.591058,0.1349576,0.49523946,True,0.56115701,0.9839437,2170
13,1,0.625,0.625,"[1, 7]",0.875,False,1,0.0053848,0.0005,0.00451185,True,0.5066387,0.99984836,2170
13,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00538498,0.0005,0.004512,True,0.50618059,0.99986939,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.69374576,0.14801523,0.58128014,True,0.61240499,0.95340115,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538485,0.0005,0.00451189,True,0.50803404,0.99978272,2170
13,5,0.375,0.375,"[1, 7]",0.875,False,1,0.00538471,0.0005,0.00451177,True,0.50456478,0.99990229,2170
14,1,0.625,0.625,"[1, 7]",0.875,False,1,0.00538501,0.0005,0.00451203,True,0.50584787,0.99987478,2170
14,2,0.25,0.25,"[6, 2]",0.75,False,0,0.60883212,0.12258744,0.51013216,True,0.53609378,0.99496107,2170
14,3,0.5,0.5,"[4, 4]",0.5,False,0,1.12644441,0.28918297,0.94383246,True,0.65322435,0.90396764,2170
14,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00538472,0.0005,0.00451178,True,0.5059825,0.99986666,2170
14,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00538497,0.0005,0.004512,True,0.50783852,0.99977946,2170
15,1,0.75,0.75,"[4, 4]",0.5,False,0,1.02649888,0.21757997,0.86008946,True,0.56498295,0.97959257,2170
15,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0340313,0.00447495,0.02851437,True,0.50532238,0.99990561,2170
15,3,0.375,0.375,"[3, 5]",0.625,False,1,0.85988378,0.19077068,0.72048493,True,0.53274482,0.99361126,2170
15,4,0.75,0.75,"[6, 2]",0.75,False,0,0.92245285,0.22409523,0.7729107,True,0.56208166,0.98490295,2170
