method_name,model_name,pretrained_mode,strategy,subject_id,fold_id,accuracy,accuracy_percent,balanced_accuracy,balanced_accuracy_percent,best_epoch,stopped_epoch,final_phase_epochs_ran,n_train,n_test,train_class_counts,test_class_counts,prediction_histogram,confusion_matrix,collapse_ratio,collapse_flag,mean_confidence,mean_normalized_prediction_entropy
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,1,1,0.5,50.0,0.5,50.0,47,97,87,32,8,"[16, 16]","[4, 4]","[4, 4]","[[2, 2], [2, 2]]",0.5,False,0.54579262,0.98772023
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,1,2,0.25,25.0,0.25,25.0,33,83,73,32,8,"[16, 16]","[4, 4]","[6, 2]","[[2, 2], [4, 0]]",0.75,False,0.52527361,0.9973214
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,1,3,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[0, 8]","[[0, 4], [0, 4]]",1.0,True,0.50968864,0.99967252
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,1,4,0.625,62.5,0.625,62.5,61,111,101,32,8,"[16, 16]","[4, 4]","[3, 5]","[[2, 2], [1, 3]]",0.625,False,0.67659994,0.86480059
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,1,5,0.625,62.5,0.625,62.5,11,61,51,32,8,"[16, 16]","[4, 4]","[1, 7]","[[1, 3], [0, 4]]",0.875,False,0.50588606,0.99987383
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,2,1,0.375,37.5,0.375,37.5,94,144,134,32,8,"[16, 16]","[4, 4]","[7, 1]","[[3, 1], [4, 0]]",0.875,False,0.86162304,0.37032703
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,2,2,0.75,75.0,0.75,75.0,29,78,68,32,8,"[16, 16]","[4, 4]","[6, 2]","[[4, 0], [2, 2]]",0.75,False,0.53498229,0.99488182
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,2,3,0.625,62.5,0.625,62.5,11,61,51,32,8,"[16, 16]","[4, 4]","[1, 7]","[[1, 3], [0, 4]]",0.875,False,0.51113568,0.9995649
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,2,4,0.625,62.5,0.625,62.5,11,61,51,32,8,"[16, 16]","[4, 4]","[1, 7]","[[1, 3], [0, 4]]",0.875,False,0.50617442,0.99984986
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,2,5,0.625,62.5,0.625,62.5,11,61,51,32,8,"[16, 16]","[4, 4]","[3, 5]","[[2, 2], [1, 3]]",0.625,False,0.50738126,0.99975476
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,3,1,0.5,50.0,0.5,50.0,57,107,97,32,8,"[16, 16]","[4, 4]","[4, 4]","[[2, 2], [2, 2]]",0.5,False,0.69983435,0.78921912
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,3,2,0.5,50.0,0.5,50.0,53,103,93,32,8,"[16, 16]","[4, 4]","[4, 4]","[[2, 2], [2, 2]]",0.5,False,0.72842456,0.7256733
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,3,3,0.625,62.5,0.625,62.5,39,88,78,32,8,"[16, 16]","[4, 4]","[3, 5]","[[2, 2], [1, 3]]",0.625,False,0.61293747,0.92327908
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,3,4,0.75,75.0,0.75,75.0,69,119,109,32,8,"[16, 16]","[4, 4]","[4, 4]","[[3, 1], [1, 3]]",0.5,False,0.82935551,0.51322692
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,3,5,0.875,87.5,0.875,87.5,57,107,97,32,8,"[16, 16]","[4, 4]","[5, 3]","[[4, 0], [1, 3]]",0.625,False,0.71407808,0.81068433
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,4,1,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[2, 6]","[[1, 3], [1, 3]]",0.75,False,0.5087603,0.9996924
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,4,2,0.875,87.5,0.875,87.5,149,198,188,32,8,"[16, 16]","[4, 4]","[3, 5]","[[3, 1], [0, 4]]",0.625,False,0.7874489,0.56734815
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,4,3,0.625,62.5,0.625,62.5,27,77,67,32,8,"[16, 16]","[4, 4]","[5, 3]","[[3, 1], [2, 2]]",0.625,False,0.52802002,0.99633346
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,4,4,0.625,62.5,0.625,62.5,66,116,106,32,8,"[16, 16]","[4, 4]","[5, 3]","[[3, 1], [2, 2]]",0.625,False,0.77224652,0.73967905
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,4,5,0.375,37.5,0.375,37.5,11,61,51,32,8,"[16, 16]","[4, 4]","[3, 5]","[[1, 3], [2, 2]]",0.625,False,0.51158009,0.99945736
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,5,1,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[0, 8]","[[0, 4], [0, 4]]",1.0,True,0.50630226,0.9998653
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,5,2,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[0, 8]","[[0, 4], [0, 4]]",1.0,True,0.50628299,0.99985329
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,5,3,0.625,62.5,0.625,62.5,130,180,170,32,8,"[16, 16]","[4, 4]","[5, 3]","[[3, 1], [2, 2]]",0.625,False,0.81911803,0.60484985
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,5,4,0.625,62.5,0.625,62.5,200,249,239,32,8,"[16, 16]","[4, 4]","[3, 5]","[[2, 2], [1, 3]]",0.625,False,0.83464987,0.54372615
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,5,5,0.25,25.0,0.25,25.0,68,118,108,32,8,"[16, 16]","[4, 4]","[4, 4]","[[1, 3], [3, 1]]",0.5,False,0.70561441,0.84111792
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,6,1,0.625,62.5,0.625,62.5,11,61,51,32,8,"[16, 16]","[4, 4]","[1, 7]","[[1, 3], [0, 4]]",0.875,False,0.50406169,0.99993348
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,6,2,0.5,50.0,0.5,50.0,52,102,92,32,8,"[16, 16]","[4, 4]","[6, 2]","[[3, 1], [3, 1]]",0.75,False,0.61956038,0.93701914
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,6,3,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[0, 8]","[[0, 4], [0, 4]]",1.0,True,0.50863255,0.99973015
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,6,4,0.5,50.0,0.5,50.0,11,61,51,32,8,"[16, 16]","[4, 4]","[0, 8]","[[0, 4], [0, 4]]",1.0,True,0.50734664,0.99974769
SignalJEPA_PreLocal__from_pretrained__full,SignalJEPA_PreLocal,from_pretrained,full,6,5,0.25,25.0,0.25,25.0,29,79,69,32,8,"[16, 16]","[4, 4]","[6, 2]","[[2, 2], [4, 0]]",0.75,False,0.54632554,0.99161258
