channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.15236107808,0.0034071365350254942,0.0064983038400000005,0.15267344812,250,0.653,0.012,0.05581503204
28,O2,0.14452452936000001,0.003111227851523306,-0.02345564792,0.14736080388,250,0.653,0.012,0.05581503204
15,T3,0.1264838,0.003482979260605609,0.1264838,0.13186147888,250,0.653,0.012,0.05581503204
17,CP3,0.12197708312000001,0.003936360052133138,0.032104478,0.1399629056,250,0.653,0.012,0.05581503204
16,T4,0.12156390444,0.0032041313865187543,0.01391446372,0.1344318726,250,0.653,0.012,0.05581503204
27,O1,0.12114075376,0.0032654878711878524,0.05534904324,0.13161351923999998,250,0.653,0.012,0.05581503204
13,C3,0.11471010192,0.0039132137643011515,0.07190587211999999,0.1170048928,250,0.653,0.012,0.05581503204
18,CP4,0.11133608664,0.003335857803903783,0.03478603948,0.12819908964,250,0.653,0.012,0.05581503204
0,Fp1,0.10924930724000001,0.0036721873130588435,-0.0953000348,0.122050736,250,0.653,0.012,0.05581503204
22,P3,0.1073544402,0.004181921687932612,0.1073544402,0.11691170228,250,0.653,0.012,0.05581503204
2,Fz,0.10485661848,0.003137795660168964,-0.09870390444,0.11820201224,250,0.653,0.012,0.05581503204
23,P4,0.10477056168,0.0030564322619026866,-0.09257154011999999,0.11665291000000001,250,0.653,0.012,0.05581503204
24,T5,0.1044173624,0.003489994465078035,0.07243953076,0.113831655,250,0.653,0.012,0.05581503204
7,FCz,0.09845242224,0.003768351046359956,0.09821810368,0.11371335072,250,0.653,0.012,0.05581503204
4,F4,0.0970768558,0.0036232019996023474,0.01214368532,0.1075279132,250,0.653,0.012,0.05581503204
10,FT7,0.09069810771999999,0.0033011006732301907,-0.05771562664,0.10425290452,250,0.653,0.012,0.05581503204
20,TP8,0.08918747544,0.0036066850042231814,-0.05887248816,0.10827388472,250,0.653,0.012,0.05581503204
3,F3,0.0871245026,0.0036932770606718825,0.02717053112,0.09413053836,250,0.653,0.012,0.05581503204
14,C4,0.08553295799999999,0.0036641645862324442,-0.07502254275999999,0.09610395912,250,0.653,0.012,0.05581503204
5,F7,0.08490839504,0.003472761119857943,0.08182813864,0.09831910336,250,0.653,0.012,0.05581503204
19,TP7,0.08444302392,0.0035213576247128788,-0.019034883359999998,0.09463087176,250,0.653,0.012,0.05581503204
25,T6,0.08092745792,0.003475106673846852,-0.06212465924,0.09238903692,250,0.653,0.012,0.05581503204
11,FT8,0.08050899135999999,0.0032882729572529927,-0.00313058756,0.09747838160000001,250,0.653,0.012,0.05581503204
1,Fp2,0.07795158864,0.003208511669522304,0.061074579479999995,0.09567952004,250,0.653,0.012,0.05581503204
12,Cz,0.07789138452000001,0.003570419320835572,0.07579662704000001,0.09272512140000001,250,0.653,0.012,0.05581503204
6,F8,0.07786793608,0.0035533132383143147,-0.02882165372,0.07920995184,250,0.653,0.012,0.05581503204
26,Oz,0.07738701552,0.003982776102087757,0.04189167840000001,0.07996901136,250,0.653,0.012,0.05581503204
9,FC4,0.0582771188,0.003497300646056468,-0.057772277000000004,0.07621818064,250,0.653,0.012,0.05581503204
8,FC3,0.03155331704,0.0033014919967270925,0.00548847984,0.03839670968,250,0.653,0.012,0.05581503204
