subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[2, 6]",0.75,False,1,0.10162719,0.01491435,0.08515204,True,0.50644059,0.99981178,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00946666,0.00119977,0.00793198,True,0.50746789,0.99982136,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.003231,0.00030001,0.00270721,True,0.50453949,0.99992738,2170
1,4,0.625,0.625,"[1, 7]",0.875,False,1,0.04239538,0.00697181,0.03552251,True,0.50425439,0.99992892,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00323104,0.00030001,0.00270725,True,0.50705394,0.99983266,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.12270652,0.01635305,0.10281412,True,0.51340032,0.99933252,2170
2,2,0.75,0.75,"[4, 4]",0.5,False,0,0.10276376,0.01572008,0.08610436,True,0.51135597,0.99946467,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.11079715,0.01584312,0.09283542,True,0.51994451,0.9985637,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.10989887,0.01643335,0.09208277,True,0.50944964,0.99953066,2170
2,5,0.5,0.5,"[2, 6]",0.75,False,1,0.05320979,0.00699712,0.04458376,True,0.50548137,0.99981892,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.11912738,0.01667671,0.09981522,True,0.51129536,0.99940799,2170
3,2,0.75,0.75,"[4, 4]",0.5,False,0,0.11429284,0.01657943,0.09576441,True,0.51242103,0.99930998,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.1171855,0.0167653,0.09818814,True,0.5143063,0.99897149,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.11135341,0.01710128,0.0933015,True,0.51306021,0.99931702,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.11391402,0.01698465,0.09544701,True,0.50782675,0.99975986,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00323096,0.00030001,0.00270717,True,0.5045477,0.99991545,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.09659981,0.01571099,0.08093966,True,0.50522695,0.9998575,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.09041384,0.01486374,0.07575653,True,0.5080156,0.99973503,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.09121082,0.01520648,0.07642431,True,0.50783596,0.99975165,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00323096,0.00030001,0.00270718,True,0.50763131,0.99981668,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00323099,0.00030001,0.0027072,True,0.50505117,0.99991323,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00323097,0.00030001,0.00270719,True,0.50512192,0.999909,2170
5,3,0.375,0.375,"[1, 7]",0.875,False,1,0.10507345,0.01589858,0.08803961,True,0.50802302,0.99979447,2170
5,4,0.625,0.625,"[1, 7]",0.875,False,1,0.10981933,0.01592617,0.09201613,True,0.50545283,0.99989912,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00322648,0.00030001,0.00270342,True,0.50667416,0.99985566,2170
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.11654034,0.01623212,0.09764757,True,0.50531066,0.99987012,2170
6,2,0.5,0.5,"[4, 4]",0.5,False,0,0.11393155,0.01619925,0.09546169,True,0.50450704,0.99990173,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00323082,0.00030001,0.00270706,True,0.50696725,0.99985104,2170
6,4,0.375,0.375,"[1, 7]",0.875,False,1,0.04847288,0.00669201,0.04061476,True,0.50743455,0.99970947,2170
6,5,0.5,0.5,"[4, 4]",0.5,False,0,0.11231265,0.01693144,0.09410524,True,0.50863393,0.99967245,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.10202004,0.01586491,0.0854812,True,0.51253998,0.99939078,2170
7,2,0.5,0.5,"[4, 4]",0.5,False,0,0.112625,0.01670022,0.09436695,True,0.50957061,0.99960925,2170
7,3,0.5,0.5,"[2, 6]",0.75,False,1,0.10180136,0.01543202,0.08529798,True,0.50910875,0.99961153,2170
7,4,0.75,0.75,"[2, 6]",0.75,False,1,0.10180621,0.01473214,0.08530204,True,0.50513301,0.99989322,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,0.11512961,0.01662611,0.09646554,True,0.50760771,0.99971336,2170
8,1,0.75,0.75,"[4, 4]",0.5,False,0,0.10855784,0.01650038,0.09095913,True,0.51394903,0.99928215,2170
8,2,0.75,0.75,"[2, 6]",0.75,False,1,0.11044217,0.01537827,0.09253799,True,0.51301637,0.99941287,2170
