subject_id,channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
1,21,Pz,0.151105198,0.007211399584180595,0.010798044,0.151650282,5,0.85,0.2,0.077017956
1,28,O2,0.141824768,0.0051772719763858305,-0.017058228,0.143998244,5,0.85,0.2,0.077017956
1,27,O1,0.129153586,0.007763040250741337,0.062071070000000006,0.13917061400000003,5,0.85,0.2,0.077017956
1,15,T3,0.125559662,0.0040351091919637126,0.125559662,0.13241387599999999,5,0.85,0.2,0.077017956
1,13,C3,0.123667868,0.010614582029541717,0.075480998,0.126049952,5,0.85,0.2,0.077017956
1,17,CP3,0.119365664,0.003013931634780396,0.033695737999999996,0.13836491,5,0.85,0.2,0.077017956
1,16,T4,0.117179314,0.005311560498260373,0.010014298,0.131351942,5,0.85,0.2,0.077017956
1,0,Fp1,0.115400794,0.006689827797236636,-0.09768984,0.127354692,5,0.85,0.2,0.077017956
1,18,CP4,0.11369608,0.004123425002810167,0.033951602000000004,0.12914115,5,0.85,0.2,0.077017956
1,2,Fz,0.108168156,0.004720942981844831,-0.103921382,0.12245673399999998,5,0.85,0.2,0.077017956
1,22,P3,0.10746412000000001,0.004715244437762485,0.10746412000000001,0.116363696,5,0.85,0.2,0.077017956
1,24,T5,0.106518156,0.001193244891725922,0.07252022,0.11574664399999998,5,0.85,0.2,0.077017956
1,7,FCz,0.099650506,0.0025949070288316684,0.097549864,0.115937708,5,0.85,0.2,0.077017956
1,23,P4,0.097499216,0.007499603630914769,-0.088753742,0.109854064,5,0.85,0.2,0.077017956
1,4,F4,0.09455093,0.006244216588167805,0.00859376,0.10592457200000001,5,0.85,0.2,0.077017956
1,10,FT7,0.091553196,0.003842045262940037,-0.053255783999999994,0.105348646,5,0.85,0.2,0.077017956
1,20,TP8,0.08840126400000001,0.002720853309879092,-0.055216816,0.106263424,5,0.85,0.2,0.077017956
1,3,F3,0.086319144,0.0014089615910769227,0.023203728,0.093185318,5,0.85,0.2,0.077017956
1,14,C4,0.085582678,0.004809063152129528,-0.078022882,0.09701231,5,0.85,0.2,0.077017956
1,11,FT8,0.082886782,0.003828977409788412,-0.001764582,0.09907574799999999,5,0.85,0.2,0.077017956
1,19,TP7,0.082113776,0.006755196838000355,-0.02131089,0.095650416,5,0.85,0.2,0.077017956
1,25,T6,0.08123219000000001,0.004083964363715727,-0.059935968000000006,0.09077141,5,0.85,0.2,0.077017956
1,5,F7,0.080320806,0.0036817134178436513,0.077541692,0.092926126,5,0.85,0.2,0.077017956
1,12,Cz,0.079488718,0.00407105673681539,0.077975316,0.09535279199999999,5,0.85,0.2,0.077017956
1,26,Oz,0.07806393,0.005196116436488897,0.045524206,0.08082432,5,0.85,0.2,0.077017956
1,6,F8,0.077134054,0.006271026446047727,-0.029049428,0.07835321,5,0.85,0.2,0.077017956
1,1,Fp2,0.076992514,0.004026602585285768,0.056273518,0.093831016,5,0.85,0.2,0.077017956
1,9,FC4,0.058707591999999996,0.00254960695109462,-0.057143064,0.074345428,5,0.85,0.2,0.077017956
1,8,FC3,0.027281228,0.004573595062166085,0.002702132,0.031362186,5,0.85,0.2,0.077017956
10,21,Pz,0.150062164,0.0029023264182772325,0.006309529999999999,0.150879992,5,0.825,0.4,0.08060205200000001
10,28,O2,0.14080468399999999,0.004639770980008604,-0.021398458,0.143062506,5,0.825,0.4,0.08060205200000001
10,17,CP3,0.12932532000000002,0.00942902316820519,0.031529016,0.146059772,5,0.825,0.4,0.08060205200000001
10,15,T3,0.126722498,0.0019287954135081317,0.126722498,0.133954998,5,0.825,0.4,0.08060205200000001
10,16,T4,0.122688592,0.0008285580163573293,0.0183232,0.137017238,5,0.825,0.4,0.08060205200000001
10,27,O1,0.122304518,0.004879122114681088,0.054696782,0.132861302,5,0.825,0.4,0.08060205200000001
10,18,CP4,0.112796318,0.004272804086594659,0.038203152000000004,0.128239084,5,0.825,0.4,0.08060205200000001
10,22,P3,0.11021487599999999,0.005180121886816952,0.11021487599999999,0.121189638,5,0.825,0.4,0.08060205200000001
10,13,C3,0.108790896,0.008183324120064537,0.067302906,0.11035144599999999,5,0.825,0.4,0.08060205200000001
10,0,Fp1,0.10867488,0.002270169961236374,-0.097822746,0.12348914,5,0.825,0.4,0.08060205200000001
10,24,T5,0.10810670600000001,0.005133490281906653,0.070674602,0.120001804,5,0.825,0.4,0.08060205200000001
10,2,Fz,0.105924672,0.003424114544407061,-0.103372672,0.120730658,5,0.825,0.4,0.08060205200000001
