subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.12037069,-0.10056482,0.1330431,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,1,Fp2,0.07013822,0.05094753,0.08697008,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,2,Fz,0.10899346,-0.10899346,0.12557317,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,3,F3,0.08236714,0.01422681,0.09267199,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,4,F4,0.09691367,0.00435957,0.11035761,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,5,F7,0.07416148,0.07071734,0.08577979,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,6,F8,0.08530279,-0.03730211,0.08552721,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,7,FCz,0.09975167,0.09975167,0.11738281,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,8,FC3,0.02822106,0.00543674,0.02989725,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,9,FC4,0.05851364,-0.05851364,0.07155208,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,10,FT7,0.09523053,-0.0545254,0.11233652,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,11,FT8,0.08035772,-0.00653508,0.09662608,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,12,Cz,0.08020068,0.08020068,0.09544519,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
1,1,13,C3,0.12270772,0.07908022,0.1252465,0.375,0.375,"[3, 5]",0.625,False,0.12932681,0.02011208,0.10836118,True
