subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.12037368,-0.10063012,0.13305095,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,1,Fp2,0.07015951,0.05087323,0.08697011,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,2,Fz,0.10899159,-0.10899159,0.12557559,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,3,F3,0.08234914,0.01420397,0.09266973,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,4,F4,0.09692568,0.00433476,0.11037963,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,5,F7,0.07418352,0.07073819,0.08580326,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,6,F8,0.08528877,-0.03730659,0.08551236,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,7,FCz,0.09972332,0.09972332,0.11731625,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,8,FC3,0.02819715,0.00545503,0.02988351,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,9,FC4,0.05850479,-0.05850479,0.07152795,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,10,FT7,0.09514526,-0.05445343,0.11227085,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,11,FT8,0.08037224,-0.00656075,0.09666137,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,12,Cz,0.08021374,0.08021374,0.09545341,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,13,C3,0.12272611,0.0791964,0.12528911,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,14,C4,0.08849834,-0.07222789,0.09523806,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,15,T3,0.12766583,0.12766583,0.1348296,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,16,T4,0.1164107,0.01157238,0.12978299,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,17,CP3,0.12427947,0.03728228,0.14073803,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,18,CP4,0.11179607,0.03929303,0.12317402,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,19,TP7,0.08067582,-0.02042923,0.09566771,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,20,TP8,0.08382294,-0.05032407,0.10060245,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,21,Pz,0.15541147,0.01884121,0.15668717,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,22,P3,0.11118431,0.11118431,0.11983535,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,23,P4,0.09218818,-0.08470246,0.10442615,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,24,T5,0.10727018,0.07766015,0.11855034,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,25,T6,0.08388211,-0.05861108,0.09060829,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,26,Oz,0.081602,0.05213016,0.08387055,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,27,O1,0.13713196,0.06713524,0.14624415,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,1,28,O2,0.14175944,-0.01043316,0.14312775,0.375,0.375,"[3, 5]",0.625,False,0.12932013,0.02009252,0.10835558,True
1,2,0,Fp1,0.11012773,-0.0969459,0.12317685,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,1,Fp2,0.07767425,0.06038253,0.09534249,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,2,Fz,0.10433161,-0.09906089,0.11797269,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,3,F3,0.08748216,0.02677127,0.09422424,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,4,F4,0.09716906,0.01177231,0.10760355,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,5,F7,0.0835744,0.08036934,0.09669262,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,6,F8,0.077676,-0.02925443,0.07860932,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,7,FCz,0.09857752,0.09857752,0.11395935,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,8,FC3,0.03040846,0.00474078,0.03747916,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,9,FC4,0.0581926,-0.0581926,0.07636466,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,10,FT7,0.09161887,-0.05865535,0.10509763,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,11,FT8,0.08090066,-0.00308007,0.09747317,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,12,Cz,0.076582,0.07596873,0.09260785,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,13,C3,0.11586728,0.07242557,0.11809919,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,14,C4,0.08602223,-0.07476008,0.09630759,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,15,T3,0.12564982,0.12564982,0.13105302,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,16,T4,0.12217162,0.0139139,0.13472706,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,17,CP3,0.1211569,0.0344335,0.13987382,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,18,CP4,0.11067256,0.03453968,0.12715393,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
1,2,19,TP7,0.08450616,-0.01837094,0.09473636,0.5,0.5,"[0, 8]",1.0,True,0.01258786,0.00159972,0.0105472,True
