subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,0.12931227,0.02011621,0.10834899,True,0.50746838,0.99975364,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00984193,0.00120157,0.00824642,True,0.50753524,0.99981838,2170
1,3,0.5,0.5,"[2, 6]",0.75,False,1,0.00430798,0.00040001,0.0036096,True,0.5045976,0.99992464,2170
1,4,0.625,0.625,"[3, 5]",0.625,False,1,0.10258213,0.02072182,0.08595217,True,0.50434368,0.9999142,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430804,0.00040001,0.00360965,True,0.50719909,0.9998265,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.15832804,0.02200677,0.13266091,True,0.51776201,0.99875737,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.13166454,0.02110611,0.11031992,True,0.51577124,0.99900001,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.14414444,0.02128833,0.12077666,True,0.52561163,0.99760783,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.14193962,0.02212017,0.11892928,True,0.51295915,0.99922878,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.04896229,0.0060413,0.04102484,True,0.5058174,0.99982066,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.1602384,0.02237872,0.13426158,True,0.51548851,0.99889638,2170
3,2,0.625,0.625,"[3, 5]",0.625,False,1,0.14991127,0.0222647,0.12560861,True,0.51583354,0.99882974,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.15638121,0.02254566,0.13102969,True,0.51793572,0.99838174,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.14800318,0.02294386,0.12400986,True,0.51852798,0.99870411,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.15164257,0.02284132,0.12705925,True,0.51014187,0.99959852,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430795,0.0004,0.00360957,True,0.50467137,0.99991186,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.1201834,0.02095892,0.10070004,True,0.50637244,0.99979201,2170
4,3,0.5,0.5,"[2, 6]",0.75,False,1,0.11391907,0.0198684,0.09545124,True,0.5097928,0.9996229,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.112847,0.02062839,0.09455296,True,0.51128635,0.99956329,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430795,0.00040001,0.00360957,True,0.50769109,0.99981442,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430799,0.0004,0.00360961,True,0.50517086,0.99990945,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430796,0.0004,0.00360959,True,0.50524499,0.99990538,2170
5,3,0.375,0.375,"[1, 7]",0.875,False,1,0.13856593,0.02159891,0.11610251,True,0.50918374,0.99971822,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.14298631,0.02104821,0.11980628,True,0.50558827,0.99989785,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430766,0.0004,0.00360933,True,0.50679923,0.99985095,2170
6,1,0.625,0.625,"[5, 3]",0.625,False,0,0.15134212,0.02167159,0.12680751,True,0.50689105,0.99980462,2170
6,2,0.5,0.5,"[4, 4]",0.5,False,0,0.14211663,0.02167597,0.11907759,True,0.50694845,0.99980399,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00430725,0.0004,0.00360898,True,0.50707349,0.99984648,2170
6,4,0.375,0.375,"[1, 7]",0.875,False,1,0.0613713,0.00848249,0.05142218,True,0.50793982,0.99964319,2170
6,5,0.5,0.5,"[4, 4]",0.5,False,0,0.14462964,0.02257985,0.12118321,True,0.51176535,0.99942181,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.13272664,0.02145411,0.11120985,True,0.51577266,0.99902281,2170
7,2,0.5,0.5,"[4, 4]",0.5,False,0,0.14644116,0.02244381,0.12270106,True,0.51175161,0.99938364,2170
7,3,0.625,0.625,"[3, 5]",0.625,False,1,0.13287193,0.02091996,0.11133159,True,0.51107419,0.99944395,2170
7,4,0.75,0.75,"[2, 6]",0.75,False,1,0.13138001,0.02007026,0.11008152,True,0.50594386,0.99986413,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,0.15114486,0.02249357,0.12664222,True,0.50996387,0.99950919,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.14051396,0.02220397,0.11773474,True,0.52059873,0.99846809,2170
8,2,0.75,0.75,"[2, 6]",0.75,False,1,0.11151563,0.0158441,0.09343743,True,0.51212953,0.99947203,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00430795,0.00040001,0.00360957,True,0.50502759,0.99990973,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430759,0.00040001,0.00360927,True,0.50725073,0.99982762,2170
8,5,0.375,0.375,"[7, 1]",0.875,False,0,0.15007054,0.02188652,0.12574206,True,0.51928423,0.99837525,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.13470006,0.02071914,0.11286335,True,0.50983586,0.99960404,2170
9,2,0.375,0.375,"[1, 7]",0.875,False,1,0.12477292,0.02062889,0.10454553,True,0.50897524,0.99959976,2170
9,3,0.375,0.375,"[1, 7]",0.875,False,1,0.13092668,0.02094354,0.10970169,True,0.50952346,0.9995697,2170
9,4,0.5,0.5,"[0, 8]",1.0,True,1,0.06369808,0.00924242,0.05337175,True,0.50471105,0.99992146,2170
9,5,0.375,0.375,"[3, 5]",0.625,False,1,0.14006989,0.02119562,0.11736266,True,0.50776585,0.99966586,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430798,0.00040001,0.0036096,True,0.50647856,0.99985772,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430801,0.00040001,0.00360962,True,0.50780362,0.99980102,2170
10,3,0.25,0.25,"[4, 4]",0.5,False,0,0.12393742,0.02139247,0.10384548,True,0.50761159,0.99974395,2170
10,4,0.5,0.5,"[2, 6]",0.75,False,1,0.12848663,0.02051474,0.1076572,True,0.5090387,0.99965071,2170
10,5,0.375,0.375,"[3, 5]",0.625,False,1,0.12579921,0.02159167,0.10540545,True,0.50809824,0.99964476,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430794,0.0004,0.00360956,True,0.50728861,0.99982949,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01095303,0.00120117,0.00917739,True,0.5070659,0.99984197,2170
11,3,0.5,0.5,"[0, 8]",1.0,True,1,0.05398291,0.00733823,0.04523155,True,0.51043414,0.99962864,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430782,0.0004,0.00360947,True,0.5077396,0.99982,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430797,0.00040001,0.00360959,True,0.50496852,0.9999208,2170
12,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430796,0.0004,0.00360958,True,0.50544059,0.99990078,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00721047,0.00080054,0.00604156,True,0.50669433,0.99984482,2170
12,3,0.375,0.375,"[3, 5]",0.625,False,1,0.12863011,0.02046962,0.10777742,True,0.50838094,0.99972036,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430803,0.00040001,0.00360964,True,0.50562239,0.99990326,2170
12,5,0.375,0.375,"[7, 1]",0.875,False,0,0.12714463,0.02163789,0.10653276,True,0.50795274,0.99968123,2170
13,1,0.625,0.625,"[1, 7]",0.875,False,1,0.00430788,0.0004,0.00360951,True,0.50647938,0.99985555,2170
13,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430799,0.0004,0.00360961,True,0.50613999,0.99987134,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.15324103,0.02275881,0.12839858,True,0.51380543,0.99932621,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430745,0.0004,0.00360915,True,0.50789975,0.99978828,2170
13,5,0.375,0.375,"[1, 7]",0.875,False,1,0.00430793,0.0004,0.00360956,True,0.50457596,0.99990474,2170
14,1,0.625,0.625,"[1, 7]",0.875,False,1,0.00430797,0.0004,0.00360959,True,0.50581966,0.99987671,2170
14,2,0.625,0.625,"[5, 3]",0.625,False,0,0.13230424,0.02150128,0.11085592,True,0.50409691,0.9999079,2170
14,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00430798,0.0004,0.0036096,True,0.50647419,0.99986652,2170
14,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0043079,0.0004,0.00360953,True,0.5059246,0.99986833,2170
14,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430782,0.0004,0.00360946,True,0.50773925,0.99978483,2170
15,1,0.375,0.375,"[1, 7]",0.875,False,1,0.13731155,0.02201393,0.11505148,True,0.50602254,0.99984048,2170
15,2,0.5,0.5,"[0, 8]",1.0,True,1,0.03003526,0.00398497,0.02516614,True,0.50521693,0.99990919,2170
