subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01271679,0.00160374,0.01065522,True,0.50662191,0.99983783,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.0101545,0.00120193,0.00850832,True,0.50745574,0.99982264,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00688658,0.00080036,0.00577017,True,0.50479075,0.99991838,2170
1,4,0.625,0.625,"[1, 7]",0.875,False,1,0.00903808,0.00120082,0.00757288,True,0.50496353,0.99990717,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01070403,0.00120169,0.00896876,True,0.50775841,0.99980082,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.14627646,0.01966396,0.12256306,True,0.51612408,0.99901703,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02641951,0.00353563,0.02213655,True,0.50727388,0.99982193,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.09209036,0.01370699,0.07716126,True,0.516246,0.99903,2170
2,4,0.75,0.75,"[2, 6]",0.75,False,1,0.04384154,0.00605506,0.03673423,True,0.50569603,0.99978456,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.04416489,0.00601084,0.03700516,True,0.50612011,0.99980989,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.14416116,0.02072203,0.12079068,True,0.51459665,0.99900598,2170
3,2,0.375,0.375,"[1, 7]",0.875,False,1,0.03322241,0.00436562,0.0278366,True,0.5058789,0.99982643,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.1344973,0.019809,0.11269346,True,0.51577988,0.99870228,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.13055234,0.02144691,0.10938803,True,0.51686908,0.9989269,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.13490303,0.02178147,0.11303342,True,0.50945524,0.99964353,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.0188676,0.00239185,0.0158089,True,0.505785,0.99986511,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02535062,0.00314924,0.02124094,True,0.505881,0.99989063,2170
4,3,0.5,0.5,"[0, 8]",1.0,True,1,0.02382427,0.00278603,0.01996203,True,0.50656745,0.99984903,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.10943726,0.02067864,0.09169599,True,0.5130019,0.99941035,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00732495,0.00080054,0.00613748,True,0.50772087,0.99980938,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.019183,0.00238048,0.01607318,True,0.50618146,0.99987192,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01322233,0.00159594,0.01107881,True,0.50584807,0.99988596,2170
5,3,0.375,0.375,"[1, 7]",0.875,False,1,0.07596355,0.01122842,0.06364883,True,0.50714093,0.99983983,2170
5,4,0.625,0.625,"[1, 7]",0.875,False,1,0.08096329,0.0117057,0.06783804,True,0.5054867,0.9998987,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430794,0.0004,0.00360957,True,0.50683324,0.9998491,2170
6,1,0.75,0.75,"[4, 4]",0.5,False,0,0.07306624,0.01105697,0.06122121,True,0.50412211,0.99990922,2170
6,2,0.375,0.375,"[5, 3]",0.625,False,0,0.12645826,0.01940956,0.10595765,True,0.50706849,0.99979135,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00430795,0.0004,0.00360957,True,0.50708665,0.99984584,2170
6,4,0.25,0.25,"[2, 6]",0.75,False,1,0.06149695,0.00943241,0.05152746,True,0.50818183,0.99961525,2170
6,5,0.5,0.5,"[4, 4]",0.5,False,0,0.07410094,0.01083402,0.06208817,True,0.50653903,0.99976825,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.03886028,0.00516833,0.0325605,True,0.5068766,0.99982261,2170
7,2,0.625,0.625,"[1, 7]",0.875,False,1,0.02781251,0.00353328,0.02330372,True,0.50627492,0.99981447,2170
7,3,0.625,0.625,"[3, 5]",0.625,False,1,0.10407122,0.01639225,0.08719986,True,0.50863776,0.99962641,2170
7,4,0.75,0.75,"[2, 6]",0.75,False,1,0.11890978,0.01925108,0.09963289,True,0.50551613,0.99988506,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,0.13778253,0.02174756,0.11544611,True,0.50998561,0.99950408,2170
8,1,0.75,0.75,"[2, 6]",0.75,False,1,0.05537607,0.00788319,0.04639885,True,0.50592054,0.99983808,2170
8,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02212769,0.00279219,0.01854049,True,0.50998427,0.99967487,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00787711,0.00080049,0.00660012,True,0.50535674,0.99989863,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.02285174,0.00276428,0.01914716,True,0.50959284,0.99971132,2170
8,5,0.375,0.375,"[7, 1]",0.875,False,0,0.11983291,0.01634595,0.10040636,True,0.51573533,0.9989425,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.12589573,0.02003434,0.10548632,True,0.50967606,0.99960952,2170
9,2,0.375,0.375,"[1, 7]",0.875,False,1,0.06365096,0.00877774,0.05333227,True,0.50795905,0.99976145,2170
9,3,0.375,0.375,"[1, 7]",0.875,False,1,0.07009765,0.0094771,0.05873387,True,0.50825066,0.99973776,2170
9,4,0.625,0.625,"[1, 7]",0.875,False,1,0.07303787,0.01058936,0.06119743,True,0.50412293,0.99993735,2170
9,5,0.375,0.375,"[1, 7]",0.875,False,1,0.07746455,0.01115254,0.06490649,True,0.50631565,0.99980068,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.02628919,0.00354807,0.02202735,True,0.50743905,0.99981545,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02376586,0.00428285,0.01991309,True,0.50717807,0.99982599,2170
10,3,0.5,0.5,"[2, 6]",0.75,False,1,0.06077613,0.01080049,0.05092349,True,0.50570486,0.99986506,2170
10,4,0.5,0.5,"[2, 6]",0.75,False,1,0.10866381,0.01941146,0.09104793,True,0.50827751,0.9996804,2170
10,5,0.375,0.375,"[1, 7]",0.875,False,1,0.07055466,0.01124413,0.05911679,True,0.50626245,0.99981169,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01217574,0.00158931,0.01020189,True,0.50894266,0.99975277,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01313634,0.00160023,0.01100676,True,0.50726122,0.99983529,2170
11,3,0.5,0.5,"[0, 8]",1.0,True,1,0.02388297,0.00317974,0.02001122,True,0.50964479,0.99969839,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00703134,0.00080054,0.00589146,True,0.50825254,0.99979693,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01204046,0.00159588,0.01008853,True,0.50588235,0.99989313,2170
