subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11049928,-0.09582897,0.12327854,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,1,Fp2,0.07682016,0.06085004,0.09440561,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,2,Fz,0.10424434,-0.09923239,0.11802698,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,3,F3,0.08767623,0.02673925,0.0947609,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,4,F4,0.09717834,0.01137428,0.10788485,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,5,F7,0.08301898,0.08129869,0.09679975,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,6,F8,0.07849956,-0.03034364,0.07938723,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,7,FCz,0.09865568,0.09865568,0.11427727,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,8,FC3,0.03066174,0.00584608,0.03718464,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,9,FC4,0.05884854,-0.05884854,0.07646156,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,10,FT7,0.09083679,-0.05790345,0.10459951,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,11,FT8,0.07990249,-0.00339957,0.09692948,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,12,Cz,0.07698704,0.0763173,0.09315006,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,13,C3,0.11572042,0.0737069,0.11801573,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,14,C4,0.08574209,-0.07552748,0.09618713,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,15,T3,0.12797658,0.12797658,0.13312498,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,16,T4,0.12191819,0.01328205,0.13385378,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,17,CP3,0.12067716,0.03344465,0.13923773,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,18,CP4,0.11063926,0.03423941,0.12687236,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,19,TP7,0.08392974,-0.0185763,0.09424401,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,20,TP8,0.08827637,-0.0586812,0.10722573,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,21,Pz,0.15345468,0.0078307,0.15369141,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,22,P3,0.1089742,0.1089742,0.11796381,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,23,P4,0.10397066,-0.09285681,0.11622056,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,24,T5,0.10549401,0.07339721,0.11474212,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,25,T6,0.08139086,-0.0624259,0.09228562,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,26,Oz,0.07850091,0.04292052,0.08078498,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,27,O1,0.12223569,0.05592558,0.13238934,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,1,28,O2,0.14406016,-0.02314144,0.14664225,0.5,0.5,"[0, 8]",1.0,True,0.01271679,0.00160374,0.01065522,True
1,2,0,Fp1,0.11033285,-0.0968423,0.12333018,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,1,Fp2,0.07735851,0.0603185,0.0947757,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,2,Fz,0.10424674,-0.09914326,0.11798134,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,3,F3,0.08726687,0.02662073,0.09420381,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,4,F4,0.09745373,0.01201171,0.10773567,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,5,F7,0.08360512,0.0805999,0.09681657,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,6,F8,0.07769909,-0.02929957,0.07863487,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,7,FCz,0.09872492,0.09872492,0.11413822,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,8,FC3,0.03046134,0.00509372,0.03740846,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,9,FC4,0.05801624,-0.05801624,0.0762358,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,10,FT7,0.09140059,-0.0586248,0.10487571,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,11,FT8,0.08014484,-0.00263472,0.09719129,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,12,Cz,0.07644157,0.07563715,0.09222206,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,13,C3,0.1157915,0.07249579,0.11801783,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,14,C4,0.08548547,-0.07439341,0.0956734,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,15,T3,0.12663263,0.12663263,0.13187607,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,16,T4,0.12182151,0.01418098,0.13426614,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,17,CP3,0.12114747,0.03401991,0.139792,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,18,CP4,0.11154844,0.03524496,0.12792318,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,19,TP7,0.08438282,-0.0185493,0.09454167,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,20,TP8,0.08909763,-0.05823779,0.10766969,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,21,Pz,0.15294121,0.00775786,0.15317801,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,22,P3,0.10912582,0.10912582,0.11821693,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,23,P4,0.1042777,-0.09188148,0.11589631,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,24,T5,0.10554744,0.07354145,0.11475409,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,25,T6,0.08058543,-0.06124804,0.09165225,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,26,Oz,0.07802315,0.04320494,0.08047099,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,27,O1,0.12216479,0.05698343,0.13249664,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,2,28,O2,0.1442202,-0.02267936,0.14678685,0.5,0.5,"[0, 8]",1.0,True,0.0101545,0.00120193,0.00850832,True
1,3,0,Fp1,0.11013988,-0.09643003,0.1230429,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,1,Fp2,0.07781617,0.06101794,0.09516612,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,2,Fz,0.10439189,-0.09905146,0.11804538,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,3,F3,0.08765095,0.02711353,0.09443637,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,4,F4,0.09750751,0.01214321,0.1078855,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,5,F7,0.08386479,0.08103815,0.09720528,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,6,F8,0.0781109,-0.0296006,0.07907777,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,7,FCz,0.09847503,0.09847503,0.11400426,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,8,FC3,0.03099556,0.00563135,0.03770198,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,9,FC4,0.05800582,-0.05800582,0.07626063,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,10,FT7,0.09102695,-0.05844815,0.10454524,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,11,FT8,0.07975644,-0.00324451,0.09670807,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,12,Cz,0.0766739,0.07546025,0.09225233,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,13,C3,0.11532729,0.07234427,0.11752614,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,14,C4,0.08549703,-0.07524608,0.09610181,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,15,T3,0.12675381,0.12675381,0.13202415,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,16,T4,0.12195573,0.01398396,0.1344316,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,17,CP3,0.12141706,0.03321084,0.13964146,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,18,CP4,0.11117597,0.03483886,0.1277094,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,19,TP7,0.08450896,-0.01866258,0.09465745,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,20,TP8,0.0891569,-0.05856676,0.10788856,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,21,Pz,0.15277144,0.00723769,0.15299019,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,22,P3,0.10852894,0.10852894,0.11772761,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,23,P4,0.10421573,-0.09254178,0.11615551,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,24,T5,0.10535531,0.07325079,0.11456852,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,25,T6,0.08089931,-0.06173695,0.09197795,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,26,Oz,0.07793913,0.04296201,0.08035845,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,27,O1,0.1215702,0.05618477,0.13181341,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,3,28,O2,0.144115,-0.0230486,0.14672883,0.375,0.375,"[1, 7]",0.875,False,0.00688658,0.00080036,0.00577017,True
1,4,0,Fp1,0.11004382,-0.09556086,0.12255013,0.625,0.625,"[1, 7]",0.875,False,0.00903808,0.00120082,0.00757288,True
1,4,1,Fp2,0.07705071,0.06109865,0.09476522,0.625,0.625,"[1, 7]",0.875,False,0.00903808,0.00120082,0.00757288,True
