subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.25,0.25,"[2, 6]",0.75,False,1,0.08057443,0.01250765,0.06751222,True,0.5053848,0.99987168,2170
1,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01308068,0.00159551,0.01096012,True,0.50783262,0.99980534,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.02906079,0.00464254,0.02434964,True,0.50509408,0.9999045,2170
1,4,0.625,0.625,"[1, 7]",0.875,False,1,0.00912582,0.00120054,0.0076464,True,0.50500068,0.99990602,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01333848,0.00159671,0.01117613,True,0.50804105,0.99978661,2170
2,1,0.625,0.625,"[3, 5]",0.625,False,1,0.03067561,0.00400475,0.02570268,True,0.5059929,0.99981531,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02655329,0.00402278,0.02224864,True,0.50707085,0.99982484,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.05588516,0.00850976,0.04682542,True,0.5124131,0.99946481,2170
2,4,0.625,0.625,"[1, 7]",0.875,False,1,0.02939752,0.00398722,0.02463179,True,0.50579911,0.99980298,2170
2,5,0.75,0.75,"[4, 4]",0.5,False,0,0.07266709,0.01091133,0.06088677,True,0.50729618,0.99970668,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.13356249,0.02024148,0.11191019,True,0.51350519,0.99913754,2170
3,2,0.75,0.75,"[4, 4]",0.5,False,0,0.10363298,0.01558781,0.08683266,True,0.51230431,0.99935145,2170
3,3,0.625,0.625,"[1, 7]",0.875,False,1,0.12749489,0.01926325,0.10682624,True,0.51540727,0.99877003,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.12556959,0.02140332,0.10521305,True,0.51669332,0.99894213,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.07468612,0.01164303,0.06257848,True,0.50624036,0.99983355,2170
4,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430802,0.0004,0.00360963,True,0.50462378,0.99991384,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.10897309,0.01783532,0.09130707,True,0.50664914,0.99979918,2170
4,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01810181,0.00200456,0.01516726,True,0.50641567,0.99985725,2170
4,4,0.5,0.5,"[4, 4]",0.5,False,0,0.07239019,0.01281921,0.06065476,True,0.50663079,0.99980395,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00723598,0.00080054,0.00606293,True,0.50758363,0.99981437,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01836323,0.00237931,0.0153863,True,0.50610411,0.99987524,2170
