subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[0, 8]",1.0,True,1,0.02837307,0.00381115,0.02377341,True,0.50668763,0.99983832,2170
1,2,0.375,0.375,"[1, 7]",0.875,False,1,0.04707543,0.00671432,0.03944386,True,0.50723708,0.99981932,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.0131504,0.00197971,0.01101854,True,0.50511006,0.99990494,2170
1,4,0.625,0.625,"[1, 7]",0.875,False,1,0.02644967,0.00376057,0.02216182,True,0.50475638,0.99991137,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00430789,0.00040001,0.00360952,True,0.50713536,0.99982975,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.16351184,0.02262376,0.13700434,True,0.51701893,0.99883039,2170
2,2,0.5,0.5,"[0, 8]",1.0,True,1,0.04296955,0.00669047,0.0360036,True,0.50710912,0.99979525,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.03339928,0.00471862,0.0279848,True,0.51101139,0.99957189,2170
2,4,0.75,0.75,"[2, 6]",0.75,False,1,0.04358676,0.00599217,0.03652076,True,0.50545697,0.99980148,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0541145,0.00722289,0.04534181,True,0.50584984,0.99979646,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,0.13881755,0.02116918,0.11631334,True,0.51437715,0.9989889,2170
3,2,0.75,0.75,"[4, 4]",0.5,False,0,0.06093028,0.00895402,0.05105265,True,0.50820446,0.99972188,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.14642928,0.02142937,0.1226911,True,0.51931135,0.99819056,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.12952367,0.02165233,0.10852612,True,0.51915181,0.99854384,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.06640534,0.01046852,0.05564014,True,0.50641331,0.9998322,2170
4,1,0.25,0.25,"[2, 6]",0.75,False,1,0.01024307,0.00120151,0.00858253,True,0.50494771,0.99990007,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.02322258,0.00310389,0.01945789,True,0.50584415,0.99989353,2170
4,3,0.5,0.5,"[0, 8]",1.0,True,1,0.03530435,0.0048796,0.02958103,True,0.50627329,0.99984125,2170
4,4,0.625,0.625,"[1, 7]",0.875,False,1,0.05498351,0.00890464,0.04606993,True,0.50457451,0.9998665,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00921067,0.00118502,0.00771749,True,0.507866,0.9998051,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00671396,0.00080054,0.00562554,True,0.50541157,0.99990361,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01424639,0.0022651,0.01193686,True,0.50542622,0.99990119,2170
5,3,0.5,0.5,"[0, 8]",1.0,True,1,0.03754785,0.00682045,0.03146083,True,0.50548957,0.99989597,2170
5,4,0.5,0.5,"[0, 8]",1.0,True,1,0.0220929,0.00381944,0.01851134,True,0.50705262,0.9998348,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.02113002,0.00351656,0.01770455,True,0.50688765,0.99984077,2170
6,1,0.75,0.75,"[4, 4]",0.5,False,0,0.07988434,0.01220517,0.066934,True,0.50452174,0.99990733,2170
6,2,0.375,0.375,"[5, 3]",0.625,False,0,0.11812691,0.01880485,0.09897693,True,0.50587943,0.99984596,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01304267,0.00160176,0.01092828,True,0.5079687,0.99979979,2170
6,4,0.5,0.5,"[2, 6]",0.75,False,1,0.05918833,0.00842112,0.0495931,True,0.50786624,0.99964707,2170
6,5,0.375,0.375,"[5, 3]",0.625,False,0,0.09665875,0.01516251,0.08098906,True,0.50787234,0.99968976,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.03871096,0.00559668,0.03243539,True,0.50738094,0.99979513,2170
7,2,0.375,0.375,"[5, 3]",0.625,False,0,0.12923267,0.02098645,0.10828229,True,0.51243468,0.99937905,2170
7,3,0.625,0.625,"[3, 5]",0.625,False,1,0.1087905,0.01698145,0.09115408,True,0.50959538,0.99955035,2170
7,4,0.75,0.75,"[2, 6]",0.75,False,1,0.11840688,0.02109472,0.09921152,True,0.50513917,0.99990438,2170
7,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0387902,0.00628108,0.03250178,True,0.50633196,0.99983232,2170
8,1,0.625,0.625,"[5, 3]",0.625,False,0,0.08521674,0.01146568,0.07140195,True,0.50753416,0.99971576,2170
8,2,0.75,0.75,"[2, 6]",0.75,False,1,0.08360539,0.01172036,0.07005182,True,0.51079438,0.9996023,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.0165745,0.00199106,0.01388755,True,0.50551411,0.99989218,2170
8,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430805,0.00040001,0.00360965,True,0.50730521,0.99982501,2170
8,5,0.375,0.375,"[7, 1]",0.875,False,0,0.1512226,0.020456,0.12670736,True,0.5194843,0.99832625,2170
9,1,0.625,0.625,"[1, 7]",0.875,False,1,0.06371684,0.01124094,0.05338747,True,0.50731954,0.99979506,2170
9,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430709,0.00040001,0.00360886,True,0.50706091,0.99983763,2170
9,3,0.5,0.5,"[0, 8]",1.0,True,1,0.05526514,0.00847016,0.04630591,True,0.50813057,0.99977925,2170
9,4,0.5,0.5,"[0, 8]",1.0,True,1,0.03596111,0.00644793,0.03013133,True,0.50608853,0.99988531,2170
9,5,0.5,0.5,"[0, 8]",1.0,True,1,0.02812678,0.00447993,0.02356705,True,0.50712997,0.99983391,2170
10,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01309493,0.00158135,0.01097206,True,0.50756726,0.99981506,2170
10,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01067289,0.00159571,0.00894267,True,0.50814984,0.99978536,2170
10,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01098523,0.00159779,0.00920437,True,0.50656457,0.99984199,2170
10,4,0.5,0.5,"[2, 6]",0.75,False,1,0.11866953,0.02051757,0.09943158,True,0.50896665,0.99960277,2170
10,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01756631,0.0024066,0.01471857,True,0.50928294,0.99974542,2170
11,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430793,0.0004,0.00360956,True,0.50719999,0.99983358,2170
11,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430798,0.00040001,0.00360959,True,0.50604256,0.99987653,2170
11,3,0.625,0.625,"[1, 7]",0.875,False,1,0.10258806,0.01706336,0.08595714,True,0.50840334,0.99976791,2170
11,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430793,0.0004,0.00360956,True,0.5076955,0.99982109,2170
11,5,0.5,0.5,"[0, 8]",1.0,True,1,0.004308,0.0004,0.00360961,True,0.5049649,0.99992099,2170
12,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00728745,0.00080042,0.00610606,True,0.50582021,0.99989025,2170
12,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430795,0.0004,0.00360957,True,0.50643691,0.99985929,2170
12,3,0.375,0.375,"[1, 7]",0.875,False,1,0.0368672,0.00506632,0.03089052,True,0.5047219,0.99989242,2170
12,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430736,0.00040001,0.00360908,True,0.50561325,0.99990412,2170
12,5,0.375,0.375,"[7, 1]",0.875,False,0,0.11595019,0.0218314,0.09715309,True,0.50696746,0.99970289,2170
13,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01938481,0.00240751,0.01624227,True,0.50743471,0.99980637,2170
13,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01073636,0.0011989,0.00899585,True,0.5062236,0.9998642,2170
13,3,0.875,0.875,"[5, 3]",0.625,False,0,0.08885863,0.01221501,0.07445344,True,0.50776871,0.99975989,2170
13,4,0.5,0.5,"[0, 8]",1.0,True,1,0.02058526,0.00240199,0.01724811,True,0.50921792,0.99970023,2170
13,5,0.625,0.625,"[1, 7]",0.875,False,1,0.02260709,0.00239804,0.01894217,True,0.50519346,0.99986467,2170
14,1,0.625,0.625,"[1, 7]",0.875,False,1,0.01416766,0.00198609,0.01187089,True,0.50606037,0.99986424,2170
14,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00655814,0.00080052,0.00549498,True,0.50647755,0.99986034,2170
14,3,0.25,0.25,"[4, 4]",0.5,False,0,0.07238361,0.01259597,0.06064925,True,0.50560975,0.99990017,2170
14,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01202606,0.00159116,0.01007647,True,0.50624982,0.99986012,2170
14,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01078396,0.00159301,0.00903573,True,0.50860478,0.99974183,2170
15,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00910865,0.00119911,0.00763202,True,0.50603428,0.99988496,2170
15,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00917958,0.00119836,0.00769144,True,0.50624318,0.99987561,2170
15,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01910258,0.00334875,0.01600579,True,0.50795767,0.99979595,2170
15,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01691479,0.00263119,0.01417267,True,0.50759017,0.99981948,2170
15,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01650948,0.00267226,0.01383307,True,0.50607086,0.99987572,2170
16,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00677913,0.00080054,0.00568014,True,0.5074576,0.99983673,2170
16,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00430774,0.00040001,0.0036094,True,0.50794653,0.99975691,2170
16,3,0.5,0.5,"[0, 8]",1.0,True,1,0.03316294,0.00545686,0.02778678,True,0.50832954,0.99977252,2170
16,4,0.375,0.375,"[1, 7]",0.875,False,1,0.07014586,0.01215023,0.05877426,True,0.50706343,0.99981233,2170
16,5,0.5,0.5,"[0, 8]",1.0,True,1,0.0101085,0.00120146,0.00846978,True,0.50731617,0.99982028,2170
17,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01066237,0.00156625,0.00893385,True,0.50566846,0.99987219,2170
17,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00663649,0.00080053,0.00556063,True,0.50810786,0.99979236,2170
17,3,0.5,0.5,"[2, 6]",0.75,False,1,0.05144202,0.00751007,0.04310257,True,0.50585651,0.99989103,2170
17,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00719869,0.00080051,0.00603169,True,0.50632097,0.9998686,2170
17,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00685247,0.00080054,0.00574159,True,0.5065447,0.99985035,2170
18,1,0.5,0.5,"[0, 8]",1.0,True,1,0.02518743,0.00355797,0.02110421,True,0.50643088,0.99984671,2170
18,2,0.5,0.5,"[0, 8]",1.0,True,1,0.03029138,0.00428694,0.02538073,True,0.50816715,0.99976806,2170
18,3,0.375,0.375,"[1, 7]",0.875,False,1,0.02289011,0.00356843,0.01917931,True,0.50855839,0.99974821,2170
18,4,0.625,0.625,"[1, 7]",0.875,False,1,0.05240798,0.00808103,0.04391194,True,0.50710027,0.9998056,2170
18,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00714261,0.00080048,0.0059847,True,0.50595561,0.99988653,2170
19,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00430763,0.00040001,0.00360931,True,0.50516252,0.99991843,2170
19,2,0.25,0.25,"[2, 6]",0.75,False,1,0.05195862,0.00663339,0.04353542,True,0.5083275,0.99972686,2170
19,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00999867,0.00120008,0.00837775,True,0.50585211,0.99987649,2170
19,4,0.5,0.5,"[0, 8]",1.0,True,1,0.00430743,0.00040001,0.00360914,True,0.50705437,0.99983798,2170
19,5,0.375,0.375,"[3, 5]",0.625,False,1,0.11459038,0.01832483,0.09601372,True,0.50964602,0.99966537,2170
20,1,0.75,0.75,"[4, 4]",0.5,False,0,0.10591928,0.01924793,0.08874833,True,0.51496382,0.99871989,2170
20,2,0.375,0.375,"[1, 7]",0.875,False,1,0.02946378,0.00392021,0.0246873,True,0.50517966,0.99988347,2170
20,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00999925,0.00120179,0.00837823,True,0.50555126,0.99990796,2170
20,4,0.625,0.625,"[1, 7]",0.875,False,1,0.04829297,0.00755505,0.04046403,True,0.50802273,0.99972582,2170
20,5,0.75,0.75,"[2, 6]",0.75,False,1,0.11040844,0.02206051,0.09250973,True,0.51762719,0.99887673,2170
21,1,0.75,0.75,"[2, 6]",0.75,False,1,0.05685005,0.01115809,0.04763389,True,0.50694536,0.99977891,2170
21,2,0.5,0.5,"[0, 8]",1.0,True,1,0.03547366,0.00653017,0.0297229,True,0.50854173,0.99977641,2170
21,3,0.5,0.5,"[0, 8]",1.0,True,1,0.01942367,0.00277213,0.01627483,True,0.50653797,0.99986612,2170
21,4,0.75,0.75,"[2, 6]",0.75,False,1,0.07151898,0.01124034,0.05992478,True,0.51049385,0.9995273,2170
21,5,0.5,0.5,"[0, 8]",1.0,True,1,0.06161518,0.01094633,0.05162652,True,0.50546038,0.999854,2170
22,1,1.0,1.0,"[4, 4]",0.5,False,0,0.12483135,0.02165846,0.10459449,True,0.51720716,0.99894234,2170
22,2,0.75,0.75,"[2, 6]",0.75,False,1,0.12302271,0.02242365,0.10307906,True,0.5179911,0.99868745,2170
22,3,0.875,0.875,"[3, 5]",0.625,False,1,0.12038953,0.02185577,0.10087275,True,0.51397931,0.9991057,2170
22,4,0.875,0.875,"[3, 5]",0.625,False,1,0.11848222,0.02196813,0.09927464,True,0.51169678,0.99943193,2170
22,5,0.75,0.75,"[4, 4]",0.5,False,0,0.11685831,0.02048296,0.09791399,True,0.513547,0.99920765,2170
