channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.15295764312,0.0019202356102652545,0.0066079443600000004,0.15317743168,250,0.918,0.648,0.0245173286
28,O2,0.14413305544,0.0017810015877041782,-0.02381798216,0.1469353978,250,0.918,0.648,0.0245173286
15,T3,0.12685840248,0.0019181505316226057,0.12685840248,0.13222377376,250,0.918,0.648,0.0245173286
27,O1,0.12205357476,0.0021596346056967633,0.05622066576,0.13246053527999999,250,0.918,0.648,0.0245173286
16,T4,0.12200005096,0.0016171707185743647,0.0135406454,0.13443187435999998,250,0.918,0.648,0.0245173286
17,CP3,0.1210022392,0.0019911563533715924,0.03296021032,0.13934036624,250,0.918,0.648,0.0245173286
13,C3,0.11538817968,0.0017823912851104365,0.07259106052,0.11764393536000001,250,0.918,0.648,0.0245173286
18,CP4,0.1109841048,0.0020816202719117355,0.03462537316,0.12759665584,250,0.918,0.648,0.0245173286
0,Fp1,0.10970853991999999,0.0018758808360576503,-0.09595295620000001,0.12256309908,250,0.918,0.648,0.0245173286
22,P3,0.10807814984,0.0021097847745065726,0.10807814984,0.11732122216,250,0.918,0.648,0.0245173286
24,T5,0.10492927704,0.0020527928772425754,0.0731671354,0.114378062,250,0.918,0.648,0.0245173286
23,P4,0.10475374223999999,0.0022118822224483177,-0.09300898088,0.11673323968,250,0.918,0.648,0.0245173286
2,Fz,0.10412538204,0.001853456678668437,-0.09871296448,0.11772516088,250,0.918,0.648,0.0245173286
7,FCz,0.09874417808,0.0019720997753161287,0.09873453484,0.11399514828,250,0.918,0.648,0.0245173286
4,F4,0.09696614496,0.0020246276153087746,0.0121336856,0.10733081,250,0.918,0.648,0.0245173286
10,FT7,0.09018741996,0.001871742193758957,-0.05762062056,0.10368177696,250,0.918,0.648,0.0245173286
20,TP8,0.08936829812000001,0.0019867511761223052,-0.059160536,0.10842260412,250,0.918,0.648,0.0245173286
3,F3,0.08760983332000001,0.001319136982105657,0.027476061359999998,0.09446391368000001,250,0.918,0.648,0.0245173286
14,C4,0.0855478356,0.0019872861900252056,-0.074938266,0.09598006488000001,250,0.918,0.648,0.0245173286
19,TP7,0.08442102611999999,0.0020524167224240026,-0.01862191776,0.09435446675999999,250,0.918,0.648,0.0245173286
5,F7,0.08419271964,0.0023166361280817474,0.08177323444,0.0977333448,250,0.918,0.648,0.0245173286
25,T6,0.08117662008000001,0.0017092655923522226,-0.062420861960000004,0.09251307308,250,0.918,0.648,0.0245173286
11,FT8,0.08011981280000001,0.0017536835900263943,-0.00332897212,0.09735033568,250,0.918,0.648,0.0245173286
26,Oz,0.07766525452,0.002056852485683946,0.04221789096,0.08003095692,250,0.918,0.648,0.0245173286
6,F8,0.07750226784,0.002517534509160299,-0.029192297880000002,0.07856000303999999,250,0.918,0.648,0.0245173286
1,Fp2,0.07726276439999999,0.001950140900007629,0.06104545204,0.09504406772,250,0.918,0.648,0.0245173286
12,Cz,0.07721787496,0.0016725132441490593,0.0755438064,0.09259178328,250,0.918,0.648,0.0245173286
9,FC4,0.058035915279999996,0.001959209366112253,-0.05795162172,0.07617867252,250,0.918,0.648,0.0245173286
8,FC3,0.03105765184,0.001593167029575091,0.005962637,0.037647501400000005,250,0.918,0.648,0.0245173286
