channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values,mean_collapse_ratio,collapse_rate,mean_spatial_relative_delta
21,Pz,0.13943335888,0.027509708334251516,0.0029708518799999996,0.14420722656,250,0.804,0.436,0.32611558228000004
28,O2,0.13212448427999998,0.027262799398867464,-0.017051574599999998,0.13845415036,250,0.804,0.436,0.32611558228000004
17,CP3,0.12365358884,0.02565310135773418,0.02438917352,0.14243247575999998,250,0.804,0.436,0.32611558228000004
15,T3,0.11990219048,0.025406304939242792,0.11231715864,0.12870289484,250,0.804,0.436,0.32611558228000004
16,T4,0.11230521040000001,0.02261274765165187,0.01540276424,0.12670474384,250,0.804,0.436,0.32611558228000004
27,O1,0.11220182944,0.02271717681120906,0.04478783884,0.12444223895999999,250,0.804,0.436,0.32611558228000004
18,CP4,0.11205834092000001,0.022618688925226473,0.03839592064,0.12966531444,250,0.804,0.436,0.32611558228000004
13,C3,0.11051707728,0.023799318204616053,0.05550554012,0.1181571786,250,0.804,0.436,0.32611558228000004
22,P3,0.10620123624,0.024539557847846446,0.09292538184,0.11842603428,250,0.804,0.436,0.32611558228000004
2,Fz,0.10571183696,0.020575802529535468,-0.09371962087999999,0.12030715035999999,250,0.804,0.436,0.32611558228000004
23,P4,0.10430603244,0.02782519656027578,-0.0784577022,0.11708495152000001,250,0.804,0.436,0.32611558228000004
7,FCz,0.0997756874,0.025891716131030747,0.08509108232,0.11473410696,250,0.804,0.436,0.32611558228000004
24,T5,0.09881292916,0.02517331669379693,0.0589633326,0.11021630380000001,250,0.804,0.436,0.32611558228000004
0,Fp1,0.09860421572,0.025461444026200156,-0.08206150796,0.1114323344,250,0.804,0.436,0.32611558228000004
4,F4,0.09509284327999999,0.02157157820474441,0.015499115119999999,0.10690383147999999,250,0.804,0.436,0.32611558228000004
20,TP8,0.09111202464,0.023371245765425652,-0.047347871480000005,0.10791830136,250,0.804,0.436,0.32611558228000004
14,C4,0.08917805564,0.021185943277466375,-0.0633985988,0.1016228212,250,0.804,0.436,0.32611558228000004
3,F3,0.08743365987999999,0.02131906632404727,0.029254596,0.09671562523999999,250,0.804,0.436,0.32611558228000004
10,FT7,0.08692982376000001,0.02082734611256993,-0.046593277440000004,0.10019449744,250,0.804,0.436,0.32611558228000004
19,TP7,0.0864910512,0.02196632709851237,-0.02445818424,0.09812930076000001,250,0.804,0.436,0.32611558228000004
5,F7,0.08348418356000001,0.019425631299614363,0.07418608868,0.09665502228,250,0.804,0.436,0.32611558228000004
11,FT8,0.0826193648,0.024855824271746773,0.00014995208,0.09825741284,250,0.804,0.436,0.32611558228000004
26,Oz,0.08081974752,0.02420374666286207,0.04108629328,0.08627580795999999,250,0.804,0.436,0.32611558228000004
12,Cz,0.07980534136,0.018767700997726174,0.06896087819999999,0.09411394304,250,0.804,0.436,0.32611558228000004
25,T6,0.07923700532,0.01990217262292621,-0.04813421632,0.09105314104,250,0.804,0.436,0.32611558228000004
6,F8,0.07657361204,0.02099707000915937,-0.017383256360000002,0.08269314527999999,250,0.804,0.436,0.32611558228000004
1,Fp2,0.07058943968,0.01817744433658676,0.051433213879999995,0.08663081652,250,0.804,0.436,0.32611558228000004
9,FC4,0.06473773528,0.02577655326618965,-0.0466467166,0.08147103764000001,250,0.804,0.436,0.32611558228000004
8,FC3,0.04731826132,0.034400985994834966,-0.0001259662399999999,0.0560223844,250,0.804,0.436,0.32611558228000004
