pretrained_mode,strategy,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,mean_confidence,mean_normalized_prediction_entropy,collapse_rate,n_folds
from_pretrained,new,1,0.475,0.10458250331675945,47.5,10.458250331675945,0.475,0.10458250331675945,47.5,10.458250331675945,0.530589186,0.991981282,0.2,5
from_pretrained,new,2,0.75,0.125,75.0,12.5,0.75,0.125,75.0,12.5,0.585483978,0.9514324819999999,0.0,5
from_pretrained,new,3,0.65,0.2053959590644373,65.0,20.53959590644373,0.65,0.2053959590644373,65.0,20.53959590644373,0.674752488,0.842666386,0.0,5
from_pretrained,new,4,0.55,0.1118033988749895,55.0,11.180339887498949,0.55,0.1118033988749895,55.0,11.180339887498949,0.602455192,0.8983441299999999,0.2,5
from_pretrained,new,5,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.54660781,0.96667408,0.6,5
from_pretrained,new,6,0.4,0.16298006013006622,40.0,16.29800601300662,0.4,0.16298006013006622,40.0,16.29800601300662,0.571767374,0.9669183,0.2,5
from_pretrained,new,7,0.6,0.16298006013006622,60.0,16.29800601300662,0.6,0.16298006013006622,60.0,16.29800601300662,0.6214222300000001,0.9254595840000001,0.0,5
from_pretrained,new,8,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.578234862,0.963143816,0.2,5
from_pretrained,new,9,0.45,0.18957188610128875,45.0,18.957188610128878,0.45,0.18957188610128875,45.0,18.957188610128878,0.534572946,0.9894498580000001,0.0,5
from_pretrained,new,10,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.5878427,0.9442499019999999,0.4,5
from_pretrained,new,11,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.539336684,0.987397212,0.4,5
from_pretrained,new,12,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5149076499999999,0.99867274,0.8,5
from_pretrained,new,13,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.551902876,0.9780481379999999,0.4,5
from_pretrained,new,14,0.475,0.13693063937629152,47.5,13.693063937629153,0.475,0.13693063937629152,47.5,13.693063937629153,0.5088459999999999,0.999506322,0.6,5
from_pretrained,new,15,0.6,0.10458250331675943,60.0,10.458250331675943,0.6,0.10458250331675943,60.0,10.458250331675943,0.556192636,0.975992278,0.4,5
from_pretrained,new,16,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.549846928,0.954972086,0.8,5
from_pretrained,new,17,0.525,0.16298006013006622,52.5,16.29800601300662,0.525,0.16298006013006622,52.5,16.29800601300662,0.537431412,0.983141644,0.2,5
from_pretrained,new,18,0.95,0.06846531968814576,95.0,6.846531968814577,0.95,0.06846531968814576,95.0,6.846531968814577,0.8982566479999999,0.37991149799999996,0.0,5
from_pretrained,new,19,0.475,0.13693063937629155,47.5,13.693063937629153,0.475,0.13693063937629155,47.5,13.693063937629153,0.5480887560000001,0.977987444,0.6,5
from_pretrained,new,20,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.651523548,0.82734085,0.2,5
from_pretrained,new,21,0.575,0.18957188610128875,57.5,18.957188610128878,0.575,0.18957188610128875,57.5,18.957188610128878,0.538685278,0.989615176,0.2,5
from_pretrained,new,22,0.875,0.08838834764831843,87.5,8.838834764831846,0.875,0.08838834764831843,87.5,8.838834764831846,0.716523828,0.791135994,0.0,5
from_pretrained,new,23,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.507177432,0.9998297300000001,1.0,5
from_pretrained,new,24,0.45,0.11180339887498948,45.0,11.180339887498949,0.45,0.11180339887498948,45.0,11.180339887498949,0.5061812,0.9998560839999999,0.8,5
from_pretrained,new,25,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506320542,0.999864168,1.0,5
from_pretrained,new,26,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.536627044,0.979360406,0.8,5
from_pretrained,new,27,0.575,0.11180339887498948,57.5,11.180339887498949,0.575,0.11180339887498948,57.5,11.180339887498949,0.50637851,0.9998501559999999,0.6,5
from_pretrained,new,28,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506710582,0.999854,1.0,5
from_pretrained,new,29,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5110466060000001,0.9993104500000001,0.8,5
from_pretrained,new,30,0.75,0.1767766952966369,75.0,17.67766952966369,0.75,0.1767766952966369,75.0,17.67766952966369,0.784170344,0.5657656400000001,0.2,5
from_pretrained,new,31,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.50680584,0.9998383499999999,0.8,5
from_pretrained,new,32,0.45,0.14252192813739223,45.0,14.252192813739224,0.45,0.14252192813739223,45.0,14.252192813739224,0.5429421160000001,0.96544927,0.4,5
from_pretrained,new,33,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.506781454,0.999842568,0.8,5
from_pretrained,new,34,0.725,0.13693063937629155,72.5,13.693063937629152,0.725,0.13693063937629155,72.5,13.693063937629152,0.646643042,0.891512644,0.0,5
from_pretrained,new,35,0.525,0.16298006013006622,52.5,16.29800601300662,0.525,0.16298006013006622,52.5,16.29800601300662,0.67817421,0.83781115,0.0,5
from_pretrained,new,36,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5066133780000001,0.999850554,1.0,5
from_pretrained,new,37,0.575,0.14252192813739223,57.5,14.252192813739224,0.575,0.14252192813739223,57.5,14.252192813739224,0.55224569,0.983687168,0.2,5
from_pretrained,new,38,0.725,0.2404423007708918,72.5,24.044230077089182,0.725,0.2404423007708918,72.5,24.044230077089182,0.603855576,0.9259228979999999,0.0,5
from_pretrained,new,39,0.525,0.055901699437494755,52.5,5.5901699437494745,0.525,0.055901699437494755,52.5,5.5901699437494745,0.524694262,0.9910708960000001,0.6,5
from_pretrained,new,40,0.6,0.13693063937629152,60.0,13.693063937629152,0.6,0.13693063937629152,60.0,13.693063937629152,0.5818400180000001,0.93313188,0.4,5
from_pretrained,new,41,0.525,0.10458250331675946,52.5,10.458250331675945,0.525,0.10458250331675946,52.5,10.458250331675945,0.512437606,0.998814316,0.4,5
from_pretrained,new,42,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.52209385,0.996072506,0.4,5
from_pretrained,new,43,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.506519952,0.999842018,0.8,5
from_pretrained,new,44,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.5598373879999999,0.929760284,0.8,5
from_pretrained,new,45,0.6,0.2561737691489899,60.0,25.617376914898998,0.6,0.2561737691489899,60.0,25.617376914898998,0.632065288,0.923888836,0.0,5
from_pretrained,new,46,0.75,0.23385358667337133,75.0,23.385358667337133,0.75,0.23385358667337133,75.0,23.385358667337133,0.651424628,0.8628114699999999,0.2,5
from_pretrained,new,47,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506556974,0.9998360739999999,0.8,5
from_pretrained,new,48,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.52854715,0.987318958,0.4,5
from_pretrained,new,49,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.5057550639999999,0.999888902,0.8,5
from_pretrained,new,50,0.575,0.06846531968814577,57.5,6.846531968814577,0.575,0.06846531968814577,57.5,6.846531968814577,0.5375025900000001,0.9776337999999999,0.4,5
