subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[3, 5]",0.625,False,1,1.13972487,0.30671826,0.95495998,True,0.58273826,0.97197764,2170
1,2,0.5,0.5,"[4, 4]",0.5,False,0,0.22615119,0.0499564,0.18948901,True,0.50954816,0.99940068,2170
1,3,0.375,0.375,"[1, 7]",0.875,False,1,0.00635372,0.00089984,0.0053237,True,0.50460567,0.99992283,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.69725125,0.16788437,0.58421735,True,0.54872725,0.98878835,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00681306,0.00090092,0.00570857,True,0.50732207,0.99982068,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.81203601,0.19203787,0.68039394,True,0.6461694,0.90738371,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.41708857,0.10302875,0.34947284,True,0.57939301,0.9759597,2170
2,3,0.75,0.75,"[2, 6]",0.75,False,1,0.65983754,0.18319991,0.55286891,True,0.67966479,0.87509228,2170
2,4,0.875,0.875,"[5, 3]",0.625,False,0,0.17689508,0.03452674,0.14821798,True,0.5160424,0.99893985,2170
2,5,0.625,0.625,"[3, 5]",0.625,False,1,0.07096473,0.01131237,0.05946039,True,0.50615029,0.99978687,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,1.24581004,0.24559997,1.0438473,True,0.66014985,0.88124383,2170
3,2,0.375,0.375,"[3, 5]",0.625,False,1,1.00215238,0.23540516,0.83968986,True,0.64648216,0.92689088,2170
3,3,0.5,0.5,"[2, 6]",0.75,False,1,0.819418,0.14962299,0.6865792,True,0.57347777,0.9749193,2170
3,4,0.875,0.875,"[3, 5]",0.625,False,1,1.33466844,0.32476683,1.11830054,True,0.81053761,0.60540383,2170
3,5,0.75,0.75,"[6, 2]",0.75,False,0,1.30020267,0.34347892,1.08942214,True,0.68305152,0.82458937,2170
4,1,0.375,0.375,"[1, 7]",0.875,False,1,0.00639529,0.00088413,0.00535853,True,0.5047397,0.99990711,2170
4,2,0.625,0.625,"[3, 5]",0.625,False,1,0.65202859,0.17353899,0.54632589,True,0.54941981,0.98831024,2170
4,3,0.625,0.625,"[3, 5]",0.625,False,1,1.26140333,0.28553282,1.0569127,True,0.80700984,0.59515317,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,1.0008447,0.27855267,0.83859417,True,0.64473148,0.90931074,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00721219,0.00090121,0.00604299,True,0.50764985,0.99981585,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.00642347,0.00090075,0.00538214,True,0.50531649,0.99990452,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.00632526,0.0008959,0.00529985,True,0.5053132,0.99990318,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,1.12247367,0.23750713,0.94050543,True,0.71040721,0.83380773,2170
5,4,0.5,0.5,"[2, 6]",0.75,False,1,0.17425477,0.03182407,0.1460057,True,0.50501988,0.9999109,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.00662334,0.00089362,0.00554961,True,0.50698227,0.99984407,2170
6,1,0.375,0.375,"[3, 5]",0.625,False,1,0.77572527,0.1769131,0.64996966,True,0.55904726,0.98688829,2170
6,2,0.5,0.5,"[6, 2]",0.75,False,0,0.33089482,0.06896391,0.27725227,True,0.53464419,0.99558206,2170
6,3,0.5,0.5,"[6, 2]",0.75,False,0,1.07597408,0.28922285,0.90154406,True,0.65407817,0.90850222,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01442344,0.00251529,0.0120852,True,0.50694666,0.9998163,2170
6,5,0.125,0.125,"[5, 3]",0.625,False,0,0.70853243,0.1940235,0.5936697,True,0.60424168,0.94368911,2170
7,1,0.75,0.75,"[4, 4]",0.5,False,0,0.81169816,0.203254,0.68011086,True,0.62422951,0.93473725,2170
7,2,0.5,0.5,"[6, 2]",0.75,False,0,0.58596884,0.13292025,0.49097532,True,0.57377142,0.97792287,2170
7,3,0.75,0.75,"[4, 4]",0.5,False,0,0.82752064,0.21579244,0.69336829,True,0.61642794,0.94463466,2170
7,4,0.375,0.375,"[3, 5]",0.625,False,1,1.43051956,0.5116342,1.1986129,True,0.71366405,0.79680297,2170
7,5,0.625,0.625,"[3, 5]",0.625,False,1,0.65272845,0.15977329,0.54691229,True,0.57901823,0.97320017,2170
8,1,0.5,0.5,"[6, 2]",0.75,False,0,0.746376,0.23135167,0.62537831,True,0.67738088,0.88879317,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.43556404,0.11122682,0.36495319,True,0.55776271,0.98787196,2170
8,3,0.5,0.5,"[0, 8]",1.0,True,1,0.00707661,0.00088199,0.0059294,True,0.50495273,0.9999087,2170
8,4,0.875,0.875,"[3, 5]",0.625,False,1,0.26654037,0.06347083,0.22333055,True,0.52679112,0.996794,2170
