pretrained_mode,strategy,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,mean_confidence,mean_normalized_prediction_entropy,collapse_rate,n_folds
from_pretrained,new,1,0.3,0.14252192813739223,30.0,14.252192813739224,0.3,0.14252192813739223,30.0,14.252192813739224,0.545372828,0.98747139,0.0,5
from_pretrained,new,2,0.675,0.28777161083053343,67.5,28.777161083053347,0.675,0.28777161083053343,67.5,28.777161083053347,0.535416928,0.991855822,0.0,5
from_pretrained,new,3,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5120614619999999,0.999311652,0.6,5
from_pretrained,new,4,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.510122002,0.999327912,0.8,5
from_pretrained,new,5,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506666696,0.99985229,1.0,5
from_pretrained,new,6,0.45,0.14252192813739226,45.0,14.252192813739224,0.45,0.14252192813739226,45.0,14.252192813739224,0.527546152,0.9928380600000001,0.2,5
from_pretrained,new,7,0.325,0.2091650066335189,32.5,20.91650066335189,0.325,0.2091650066335189,32.5,20.91650066335189,0.513549526,0.999103768,0.2,5
from_pretrained,new,8,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.506502338,0.99983076,0.8,5
from_pretrained,new,9,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.5588549,0.973186402,0.2,5
from_pretrained,new,10,0.45,0.14252192813739226,45.0,14.252192813739224,0.45,0.14252192813739226,45.0,14.252192813739224,0.5205103259999999,0.9964658199999998,0.4,5
from_pretrained,new,11,0.625,0.1767766952966369,62.5,17.67766952966369,0.625,0.1767766952966369,62.5,17.67766952966369,0.5442767820000001,0.9808668859999999,0.4,5
from_pretrained,new,12,0.45,0.06846531968814576,45.0,6.846531968814577,0.45,0.06846531968814576,45.0,6.846531968814577,0.51362913,0.998589688,0.4,5
from_pretrained,new,13,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.5074264239999999,0.999806622,0.8,5
from_pretrained,new,14,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.517276572,0.9974491000000001,0.6,5
from_pretrained,new,15,0.45,0.06846531968814576,45.0,6.846531968814578,0.45,0.06846531968814576,45.0,6.846531968814578,0.510023886,0.999217278,0.6,5
from_pretrained,new,16,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.506447174,0.9998612619999999,0.8,5
from_pretrained,new,17,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.5523082880000001,0.9775909,0.4,5
from_pretrained,new,18,0.35,0.16298006013006622,35.0,16.29800601300662,0.35,0.16298006013006622,35.0,16.29800601300662,0.5277445820000001,0.9934879600000001,0.2,5
from_pretrained,new,19,0.425,0.18957188610128875,42.5,18.957188610128878,0.425,0.18957188610128875,42.5,18.957188610128878,0.547438662,0.979700412,0.4,5
from_pretrained,new,20,0.475,0.13693063937629152,47.5,13.693063937629153,0.475,0.13693063937629152,47.5,13.693063937629153,0.549378956,0.9818091259999999,0.2,5
from_pretrained,new,21,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.52619818,0.991880528,0.8,5
from_pretrained,new,22,0.45,0.11180339887498948,45.0,11.180339887498949,0.45,0.11180339887498948,45.0,11.180339887498949,0.5262939280000001,0.989653296,0.8,5
from_pretrained,new,23,0.45,0.14252192813739226,45.0,14.252192813739224,0.45,0.14252192813739226,45.0,14.252192813739224,0.520140784,0.996153996,0.4,5
from_pretrained,new,24,0.525,0.055901699437494755,52.5,5.5901699437494745,0.525,0.055901699437494755,52.5,5.5901699437494745,0.506022444,0.9998806439999999,0.8,5
from_pretrained,new,25,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.5069319959999999,0.999829452,0.8,5
from_pretrained,new,26,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.522850846,0.994118952,0.6,5
from_pretrained,new,27,0.45,0.06846531968814576,45.0,6.846531968814577,0.45,0.06846531968814576,45.0,6.846531968814577,0.507895536,0.9997471600000001,0.4,5
from_pretrained,new,28,0.6,0.270993542358485,60.0,27.099354235848498,0.6,0.270993542358485,60.0,27.099354235848498,0.545192418,0.986220396,0.2,5
from_pretrained,new,29,0.475,0.05590169943749475,47.5,5.590169943749474,0.475,0.05590169943749475,47.5,5.590169943749474,0.5133927039999999,0.9989008460000001,0.8,5
from_pretrained,new,30,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.510566076,0.9992414399999999,0.6,5
from_pretrained,new,31,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.516176548,0.9983177339999999,0.6,5
from_pretrained,new,32,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5187950779999999,0.996193964,0.8,5
from_pretrained,new,33,0.6,0.10458250331675945,60.0,10.458250331675945,0.6,0.10458250331675945,60.0,10.458250331675945,0.54134567,0.983475052,0.2,5
from_pretrained,new,34,0.55,0.11180339887498948,55.0,11.180339887498949,0.55,0.11180339887498948,55.0,11.180339887498949,0.506092644,0.999837176,0.8,5
from_pretrained,new,35,0.425,0.11180339887498948,42.5,11.180339887498949,0.425,0.11180339887498948,42.5,11.180339887498949,0.53877168,0.982316988,0.4,5
from_pretrained,new,36,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506796892,0.9998535000000001,1.0,5
from_pretrained,new,37,0.525,0.13693063937629155,52.5,13.693063937629153,0.525,0.13693063937629155,52.5,13.693063937629153,0.5062825959999999,0.9998462180000001,0.6,5
from_pretrained,new,38,0.55,0.18957188610128875,55.0,18.957188610128878,0.55,0.18957188610128875,55.0,18.957188610128878,0.515811808,0.9983910180000001,0.0,5
from_pretrained,new,39,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.506686566,0.9998495079999999,1.0,5
from_pretrained,new,40,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5063095040000001,0.9998621200000001,1.0,5
from_pretrained,new,41,0.45,0.2091650066335189,45.0,20.91650066335189,0.45,0.2091650066335189,45.0,20.91650066335189,0.531252572,0.990721908,0.4,5
from_pretrained,new,42,0.475,0.055901699437494734,47.5,5.5901699437494745,0.475,0.055901699437494734,47.5,5.5901699437494745,0.525324338,0.990657182,0.8,5
from_pretrained,new,43,0.525,0.10458250331675946,52.5,10.458250331675945,0.525,0.10458250331675946,52.5,10.458250331675945,0.5285999,0.9922824020000001,0.2,5
from_pretrained,new,44,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.51145848,0.99903832,0.8,5
from_pretrained,new,45,0.55,0.11180339887498948,55.0,11.180339887498949,0.55,0.11180339887498948,55.0,11.180339887498949,0.538737156,0.9924348780000001,0.0,5
from_pretrained,new,46,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.505357508,0.9999040559999999,1.0,5
from_pretrained,new,47,0.525,0.13693063937629152,52.5,13.693063937629153,0.525,0.13693063937629152,52.5,13.693063937629153,0.5154910779999999,0.9984652800000001,0.6,5
from_pretrained,new,48,0.475,0.05590169943749474,47.5,5.5901699437494745,0.475,0.05590169943749474,47.5,5.5901699437494745,0.511505616,0.999261628,0.8,5
from_pretrained,new,49,0.45,0.18957188610128875,45.0,18.957188610128878,0.45,0.18957188610128875,45.0,18.957188610128878,0.517759654,0.996500704,0.6,5
from_pretrained,new,50,0.525,0.055901699437494734,52.5,5.590169943749474,0.525,0.055901699437494734,52.5,5.590169943749474,0.50942941,0.99966159,0.6,5
