pretrained_mode,strategy,subject_id,mean_accuracy,std_accuracy,mean_accuracy_percent,std_accuracy_percent,mean_balanced_accuracy,std_balanced_accuracy,mean_balanced_accuracy_percent,std_balanced_accuracy_percent,mean_confidence,mean_normalized_prediction_entropy,collapse_rate,n_folds
from_pretrained,new,1,0.375,0.25,37.5,25.0,0.375,0.25,37.5,25.0,0.530207696,0.994751304,0.0,5
from_pretrained,new,2,0.425,0.14252192813739223,42.5,14.252192813739224,0.425,0.14252192813739223,42.5,14.252192813739224,0.509720136,0.9993171439999999,0.0,5
from_pretrained,new,3,0.55,0.14252192813739226,55.0,14.252192813739224,0.55,0.14252192813739226,55.0,14.252192813739224,0.524126252,0.992610196,0.0,5
from_pretrained,new,4,0.6,0.13693063937629155,60.0,13.693063937629153,0.6,0.13693063937629155,60.0,13.693063937629153,0.5063787879999999,0.999784372,0.0,5
from_pretrained,new,5,0.575,0.22707377655731187,57.5,22.707377655731186,0.575,0.22707377655731187,57.5,22.707377655731186,0.501829686,0.999984944,0.0,5
from_pretrained,new,6,0.625,0.125,62.5,12.5,0.625,0.125,62.5,12.5,0.5020011099999999,0.999981532,0.2,5
from_pretrained,new,7,0.525,0.10458250331675945,52.5,10.458250331675945,0.525,0.10458250331675945,52.5,10.458250331675945,0.502056796,0.999979886,0.0,5
from_pretrained,new,8,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.5230487939999999,0.994283658,0.0,5
from_pretrained,new,9,0.55,0.18957188610128875,55.0,18.957188610128878,0.55,0.18957188610128875,55.0,18.957188610128878,0.5060951819999999,0.9996110359999999,0.0,5
from_pretrained,new,10,0.4,0.05590169943749474,40.0,5.5901699437494745,0.4,0.05590169943749474,40.0,5.5901699437494745,0.50384322,0.9998619559999999,0.0,5
from_pretrained,new,11,0.55,0.3377314021526574,55.0,33.77314021526574,0.55,0.3377314021526574,55.0,33.77314021526574,0.51779933,0.996987534,0.0,5
from_pretrained,new,12,0.475,0.2053959590644373,47.5,20.53959590644373,0.475,0.2053959590644373,47.5,20.53959590644373,0.521307808,0.991755998,0.0,5
from_pretrained,new,13,0.575,0.22707377655731187,57.5,22.707377655731186,0.575,0.22707377655731187,57.5,22.707377655731186,0.50207384,0.9999811080000001,0.0,5
from_pretrained,new,14,0.6,0.18540496217739158,60.0,18.540496217739157,0.6,0.18540496217739158,60.0,18.540496217739157,0.519230082,0.9958659579999999,0.0,5
from_pretrained,new,15,0.4,0.24044230077089182,40.0,24.044230077089182,0.4,0.24044230077089182,40.0,24.044230077089182,0.503532556,0.9999275900000001,0.0,5
from_pretrained,new,16,0.5,0.25,50.0,25.0,0.5,0.25,50.0,25.0,0.5024437660000001,0.99996811,0.0,5
from_pretrained,new,17,0.625,0.15309310892394865,62.5,15.309310892394862,0.625,0.15309310892394865,62.5,15.309310892394862,0.5658102119999999,0.97115312,0.0,5
from_pretrained,new,18,0.525,0.05590169943749474,52.5,5.5901699437494745,0.525,0.05590169943749474,52.5,5.5901699437494745,0.5490899039999999,0.97968224,0.0,5
from_pretrained,new,19,0.45,0.18957188610128875,45.0,18.957188610128878,0.45,0.18957188610128875,45.0,18.957188610128878,0.501983082,0.9999839359999999,0.0,5
from_pretrained,new,20,0.525,0.3112474899497183,52.5,31.12474899497183,0.525,0.3112474899497183,52.5,31.12474899497183,0.547850766,0.9717623979999999,0.0,5
from_pretrained,new,21,0.625,0.08838834764831845,62.5,8.838834764831844,0.625,0.08838834764831845,62.5,8.838834764831844,0.5049707760000001,0.9997992159999999,0.0,5
from_pretrained,new,22,0.475,0.16298006013006622,47.5,16.29800601300662,0.475,0.16298006013006622,47.5,16.29800601300662,0.539600712,0.984202528,0.2,5
from_pretrained,new,23,0.625,0.12499999999999999,62.5,12.5,0.625,0.12499999999999999,62.5,12.5,0.5072185140000001,0.9993005580000001,0.0,5
from_pretrained,new,24,0.425,0.11180339887498948,42.5,11.180339887498949,0.425,0.11180339887498948,42.5,11.180339887498949,0.517941252,0.996967328,0.0,5
from_pretrained,new,25,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.5019216479999999,0.9999838679999999,0.0,5
from_pretrained,new,26,0.575,0.16770509831248423,57.5,16.77050983124842,0.575,0.16770509831248423,57.5,16.77050983124842,0.510682694,0.9993371200000001,0.0,5
from_pretrained,new,27,0.5,0.08838834764831845,50.0,8.838834764831844,0.5,0.08838834764831845,50.0,8.838834764831844,0.51476349,0.998414744,0.2,5
from_pretrained,new,28,0.675,0.11180339887498948,67.5,11.180339887498949,0.675,0.11180339887498948,67.5,11.180339887498949,0.545611658,0.988270666,0.0,5
from_pretrained,new,29,0.45,0.18957188610128875,45.0,18.957188610128878,0.45,0.18957188610128875,45.0,18.957188610128878,0.51867825,0.99757543,0.0,5
from_pretrained,new,30,0.5,0.08838834764831843,50.0,8.838834764831844,0.5,0.08838834764831843,50.0,8.838834764831844,0.507516222,0.9992642159999999,0.0,5
from_pretrained,new,31,0.55,0.2592055169165965,55.0,25.920551691659654,0.55,0.2592055169165965,55.0,25.920551691659654,0.5242818039999999,0.9947408899999999,0.0,5
from_pretrained,new,32,0.5,0.19764235376052372,50.0,19.764235376052373,0.5,0.19764235376052372,50.0,19.764235376052373,0.520995836,0.997438266,0.0,5
from_pretrained,new,33,0.475,0.18540496217739158,47.5,18.540496217739157,0.475,0.18540496217739158,47.5,18.540496217739157,0.527713318,0.987507718,0.0,5
from_pretrained,new,34,0.5,0.19764235376052372,50.0,19.764235376052373,0.5,0.19764235376052372,50.0,19.764235376052373,0.502021072,0.9999824,0.0,5
from_pretrained,new,35,0.45,0.14252192813739226,45.0,14.252192813739224,0.45,0.14252192813739226,45.0,14.252192813739224,0.511739778,0.999299282,0.0,5
from_pretrained,new,36,0.5,0.125,50.0,12.5,0.5,0.125,50.0,12.5,0.5050377420000001,0.9998431159999999,0.0,5
from_pretrained,new,37,0.6,0.10458250331675945,60.0,10.458250331675945,0.6,0.10458250331675945,60.0,10.458250331675945,0.502082038,0.9999818279999999,0.0,5
from_pretrained,new,38,0.6,0.28504385627478446,60.0,28.504385627478452,0.6,0.28504385627478446,60.0,28.504385627478452,0.508577654,0.998949434,0.0,5
from_pretrained,new,39,0.5,0.19764235376052372,50.0,19.764235376052373,0.5,0.19764235376052372,50.0,19.764235376052373,0.502284308,0.999976238,0.0,5
from_pretrained,new,40,0.45,0.06846531968814576,45.0,6.846531968814578,0.45,0.06846531968814576,45.0,6.846531968814578,0.502941932,0.9999415700000001,0.2,5
from_pretrained,new,41,0.45,0.18957188610128875,45.0,18.957188610128878,0.45,0.18957188610128875,45.0,18.957188610128878,0.535597426,0.9866445660000001,0.0,5
from_pretrained,new,42,0.65,0.16298006013006622,65.0,16.29800601300662,0.65,0.16298006013006622,65.0,16.29800601300662,0.503884754,0.999898078,0.0,5
from_pretrained,new,43,0.3,0.14252192813739223,30.0,14.252192813739224,0.3,0.14252192813739223,30.0,14.252192813739224,0.511988492,0.9980744039999999,0.0,5
from_pretrained,new,44,0.375,0.25,37.5,25.0,0.375,0.25,37.5,25.0,0.5036772660000001,0.99992289,0.0,5
from_pretrained,new,45,0.5,0.08838834764831843,50.0,8.838834764831844,0.5,0.08838834764831843,50.0,8.838834764831844,0.5459115179999999,0.990092918,0.0,5
from_pretrained,new,46,0.4,0.05590169943749475,40.0,5.590169943749474,0.4,0.05590169943749475,40.0,5.590169943749474,0.50201516,0.999982524,0.0,5
from_pretrained,new,47,0.4,0.10458250331675945,40.0,10.458250331675945,0.4,0.10458250331675945,40.0,10.458250331675945,0.520899498,0.9956009939999999,0.0,5
from_pretrained,new,48,0.425,0.11180339887498948,42.5,11.180339887498949,0.425,0.11180339887498948,42.5,11.180339887498949,0.51139269,0.9986808979999999,0.2,5
from_pretrained,new,49,0.55,0.14252192813739226,55.0,14.252192813739224,0.55,0.14252192813739226,55.0,14.252192813739224,0.511802592,0.998093564,0.0,5
from_pretrained,new,50,0.5,0.0,50.0,0.0,0.5,0.0,50.0,0.0,0.5220826159999999,0.991722236,0.0,5
