subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.12421738,-0.09930688,0.13661759,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,1,Fp2,0.07006249,0.04774184,0.08861997,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,2,Fz,0.11536267,-0.10915098,0.12995516,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,3,F3,0.08124891,0.01790865,0.08812723,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,4,F4,0.10283364,0.01253757,0.11529349,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,5,F7,0.07467765,0.0667712,0.08456123,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,6,F8,0.08586483,-0.03396703,0.08683676,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,7,FCz,0.09870217,0.09776146,0.11818252,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,8,FC3,0.02861258,0.00307193,0.02983919,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,9,FC4,0.06650323,-0.06650323,0.07888775,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,10,FT7,0.09557583,-0.05034683,0.10252073,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,11,FT8,0.06395343,-0.00178446,0.08070929,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,12,Cz,0.0768145,0.0768145,0.08963773,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,13,C3,0.11725744,0.06981181,0.11868015,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,14,C4,0.08988044,-0.07127829,0.09566678,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,15,T3,0.13302881,0.13302881,0.1402728,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,16,T4,0.11613849,0.00853885,0.13106194,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,17,CP3,0.12540278,0.02979995,0.13820764,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,18,CP4,0.10603287,0.04328743,0.11664558,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,19,TP7,0.08921973,-0.02370574,0.10239717,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,20,TP8,0.08826876,-0.04338529,0.10193378,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,21,Pz,0.14992441,0.02275769,0.1516448,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,22,P3,0.11165038,0.11165038,0.11894143,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,23,P4,0.0826408,-0.0826408,0.09702433,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,24,T5,0.11100972,0.072809,0.12053012,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,25,T6,0.08660749,-0.05759758,0.09263314,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,26,Oz,0.08390413,0.05397569,0.08633035,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,27,O1,0.14046915,0.07114615,0.14862631,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,1,28,O2,0.13994172,-0.00873074,0.14091899,0.5,0.5,"[4, 4]",0.5,False,0.16635026,0.02950107,0.13938262,True
1,2,0,Fp1,0.10980675,-0.0960512,0.1226025,0.5,0.5,"[0, 8]",1.0,True,0.00430801,0.0004,0.00360962,True
1,2,1,Fp2,0.07780819,0.06111018,0.09543227,0.5,0.5,"[0, 8]",1.0,True,0.00430801,0.0004,0.00360962,True
1,2,2,Fz,0.10400175,-0.09853149,0.11751743,0.5,0.5,"[0, 8]",1.0,True,0.00430801,0.0004,0.00360962,True
1,2,3,F3,0.08777067,0.0273632,0.09452011,0.5,0.5,"[0, 8]",1.0,True,0.00430801,0.0004,0.00360962,True
