subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11320999,-0.097505,0.12576678,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,1,Fp2,0.07366649,0.05777302,0.09164564,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,2,Fz,0.10625526,-0.10253172,0.12111149,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,3,F3,0.08765204,0.0243462,0.09555189,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,4,F4,0.09529148,0.00871073,0.10676033,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,5,F7,0.08011901,0.07934562,0.09401591,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,6,F8,0.07934818,-0.03273887,0.08004119,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,7,FCz,0.09758171,0.09758171,0.11321052,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,8,FC3,0.02944665,0.00474288,0.03560734,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,9,FC4,0.06099766,-0.06099766,0.07670149,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,10,FT7,0.09095475,-0.05612673,0.10535448,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,11,FT8,0.08045736,-0.0047915,0.0978178,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,12,Cz,0.07685775,0.07680642,0.09364556,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,13,C3,0.11745872,0.07596797,0.1198973,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,14,C4,0.08563762,-0.07588053,0.09562997,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,15,T3,0.12962964,0.12962964,0.13545758,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,16,T4,0.11980487,0.01296387,0.13206697,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,17,CP3,0.1211095,0.03599532,0.13992184,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,18,CP4,0.11116084,0.03442248,0.12576246,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
1,1,19,TP7,0.08294402,-0.01675117,0.09361797,0.375,0.375,"[1, 7]",0.875,False,0.04427241,0.00796828,0.03709525,True
