subject_id,fold_id,channel_index,channel_name,abs_mean_weight,signed_mean_weight,l2_weight,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed
1,1,0,Fp1,0.11320858,-0.09750024,0.12576343,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,1,Fp2,0.07366818,0.05777787,0.09164832,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,2,Fz,0.1062523,-0.10252815,0.12110789,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,3,F3,0.08765321,0.02434953,0.09555265,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,4,F4,0.09529066,0.00871117,0.10675944,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,5,F7,0.08011795,0.07934684,0.09401561,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,6,F8,0.07934804,-0.03273779,0.08004122,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,7,FCz,0.09758324,0.09758324,0.11321057,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,8,FC3,0.02944296,0.00474505,0.03560434,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,9,FC4,0.06099629,-0.06099629,0.07669898,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,10,FT7,0.09095444,-0.0561272,0.10535461,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,11,FT8,0.08045775,-0.00479688,0.0978189,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,12,Cz,0.07685758,0.07680409,0.09364443,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,13,C3,0.11745856,0.07596607,0.11989678,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,14,C4,0.08563264,-0.0758778,0.09562491,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,15,T3,0.1296304,0.1296304,0.13545911,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,16,T4,0.11980353,0.01296016,0.13206725,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,17,CP3,0.12110893,0.03599465,0.13992196,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
1,1,18,CP4,0.1111607,0.03442116,0.1257621,0.375,0.375,"[1, 7]",0.875,False,0.04426236,0.00797085,0.03708683,True
