subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.375,0.375,"[1, 7]",0.875,False,1,0.04425252,0.00797339,0.03707858,True,0.50548805,0.9998797,2170
1,2,0.375,0.375,"[5, 3]",0.625,False,0,0.35320266,0.08851792,0.29594371,True,0.51744604,0.99832876,2170
1,3,0.25,0.25,"[4, 4]",0.5,False,0,0.37604008,0.07442159,0.31507887,True,0.51220036,0.99937113,2170
1,4,0.625,0.625,"[5, 3]",0.625,False,0,0.11075081,0.03233438,0.0927966,True,0.50458095,0.99989975,2170
1,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01285163,0.00233337,0.01076821,True,0.50806598,0.99978622,2170
2,1,0.625,0.625,"[5, 3]",0.625,False,0,0.14196258,0.02483886,0.11894851,True,0.51388328,0.99922575,2170
2,2,0.875,0.875,"[5, 3]",0.625,False,0,0.16118008,0.0355607,0.1350506,True,0.52354,0.99797005,2170
2,3,0.625,0.625,"[1, 7]",0.875,False,1,0.04177651,0.00838404,0.03500397,True,0.51194282,0.99950154,2170
2,4,0.75,0.75,"[2, 6]",0.75,False,1,0.05241466,0.01056313,0.04391753,True,0.50533851,0.99979176,2170
2,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01510663,0.00227235,0.01265764,True,0.50794679,0.99981085,2170
3,1,0.375,0.375,"[5, 3]",0.625,False,0,0.11978545,0.02617377,0.1003666,True,0.51206904,0.99933495,2170
3,2,0.5,0.5,"[4, 4]",0.5,False,0,0.25007479,0.05377451,0.20953427,True,0.52703387,0.99658154,2170
3,3,0.5,0.5,"[0, 8]",1.0,True,1,0.06199493,0.0126369,0.05194471,True,0.50923306,0.99962424,2170
3,4,0.625,0.625,"[5, 3]",0.625,False,0,0.06836166,0.01434816,0.05727931,True,0.50748785,0.99977808,2170
3,5,0.875,0.875,"[3, 5]",0.625,False,1,0.11073658,0.02392554,0.09278467,True,0.50609621,0.9998471,2170
4,1,0.625,0.625,"[3, 5]",0.625,False,1,0.23162066,0.06237819,0.1940718,True,0.53494992,0.9960902,2170
4,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01294942,0.00222065,0.01085014,True,0.50591734,0.99989448,2170
4,3,0.5,0.5,"[0, 8]",1.0,True,1,0.05147986,0.00951914,0.04313428,True,0.50600998,0.99986402,2170
4,4,0.625,0.625,"[5, 3]",0.625,False,0,0.13839167,0.03397701,0.1159565,True,0.5144343,0.99933862,2170
4,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01423557,0.0022066,0.01192779,True,0.50778262,0.99980953,2170
5,1,0.5,0.5,"[0, 8]",1.0,True,1,0.01278136,0.00230253,0.01070933,True,0.50581519,0.99988766,2170
5,2,0.5,0.5,"[0, 8]",1.0,True,1,0.01232963,0.00217476,0.01033083,True,0.50578612,0.9998875,2170
5,3,0.5,0.5,"[2, 6]",0.75,False,1,0.32377492,0.07562437,0.2712866,True,0.51239266,0.99923192,2170
5,4,0.5,0.5,"[4, 4]",0.5,False,0,0.29674689,0.06825723,0.24864018,True,0.50817706,0.99970957,2170
5,5,0.5,0.5,"[0, 8]",1.0,True,1,0.01313395,0.00226811,0.01100476,True,0.50750276,0.99982312,2170
6,1,0.25,0.25,"[4, 4]",0.5,False,0,0.09210792,0.01788249,0.07717597,True,0.50412022,0.99992559,2170
6,2,0.5,0.5,"[4, 4]",0.5,False,0,0.13443565,0.02683386,0.1126418,True,0.50486718,0.99988561,2170
6,3,0.375,0.375,"[1, 7]",0.875,False,1,0.01266879,0.00224247,0.01061501,True,0.50754289,0.9998188,2170
6,4,0.5,0.5,"[0, 8]",1.0,True,1,0.01236412,0.00223898,0.01035973,True,0.50749323,0.99981008,2170
6,5,0.375,0.375,"[5, 3]",0.625,False,0,0.14663209,0.03540824,0.12286104,True,0.51285985,0.99932547,2170
7,1,0.875,0.875,"[3, 5]",0.625,False,1,0.11933633,0.02657719,0.09999029,True,0.51335521,0.99917667,2170
7,2,0.25,0.25,"[6, 2]",0.75,False,0,0.28689972,0.06236244,0.24038937,True,0.52900327,0.99663464,2170
