subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
1,1,0.5,0.5,"[6, 2]",0.75,False,0,0.52464381,0.1157866,0.49870067,True,0.52608092,0.9951566,2170
1,2,0.375,0.375,"[3, 5]",0.625,False,1,0.73085623,0.1640587,0.69471608,True,0.54590716,0.98869534,2170
1,3,0.625,0.625,"[5, 3]",0.625,False,0,1.00555558,0.25591589,0.95583181,True,0.62802517,0.92414105,2170
1,4,0.5,0.5,"[2, 6]",0.75,False,1,1.07842203,0.30487888,1.02509508,True,0.60732441,0.95414966,2170
1,5,0.5,0.5,"[6, 2]",0.75,False,0,1.01141734,0.25081754,0.96140371,True,0.61962548,0.95080717,2170
2,1,0.625,0.625,"[3, 5]",0.625,False,1,0.35690206,0.09160358,0.33925359,True,0.52869986,0.99623134,2170
2,2,0.875,0.875,"[3, 5]",0.625,False,1,0.41234994,0.09288003,0.39195963,True,0.5473912,0.99008431,2170
2,3,0.5,0.5,"[6, 2]",0.75,False,0,0.87977604,0.25629829,0.83627195,True,0.66818854,0.90399193,2170
2,4,0.75,0.75,"[2, 6]",0.75,False,1,0.32184001,0.07199783,0.30592532,True,0.56654984,0.97799049,2170
2,5,0.625,0.625,"[5, 3]",0.625,False,0,0.08391072,0.01646499,0.07976142,True,0.50758687,0.9997688,2170
3,1,0.75,0.75,"[4, 4]",0.5,False,0,0.80674128,0.20037859,0.76684869,True,0.66361094,0.88016063,2170
3,2,0.5,0.5,"[4, 4]",0.5,False,0,1.29773535,0.43979861,1.23356357,True,0.73782583,0.74646503,2170
3,3,0.625,0.625,"[5, 3]",0.625,False,0,1.56703484,0.48523767,1.48954645,True,0.83088863,0.55746327,2170
3,4,0.75,0.75,"[4, 4]",0.5,False,0,1.49761781,0.41623122,1.42356203,True,0.91546117,0.35019175,2170
3,5,0.875,0.875,"[5, 3]",0.625,False,0,1.07217417,0.27959962,1.01915617,True,0.66828011,0.86047988,2170
4,1,0.375,0.375,"[5, 3]",0.625,False,0,0.62221146,0.17704887,0.59144369,True,0.61353745,0.93509038,2170
4,2,0.5,0.5,"[6, 2]",0.75,False,0,0.97330195,0.26601259,0.92517309,True,0.72746283,0.76075008,2170
4,3,0.5,0.5,"[0, 8]",1.0,True,1,0.50345429,0.14595239,0.47855895,True,0.57313292,0.97777883,2170
4,4,0.875,0.875,"[5, 3]",0.625,False,0,0.98090151,0.30329159,0.93239686,True,0.60627103,0.94550874,2170
4,5,0.5,0.5,"[8, 0]",1.0,True,0,0.01391575,0.00218384,0.01322763,True,0.50217368,0.99997632,2170
5,1,0.5,0.5,"[6, 2]",0.75,False,0,0.01195058,0.00227221,0.01135963,True,0.50274602,0.99997623,2170
5,2,0.5,0.5,"[8, 0]",1.0,True,0,0.04953808,0.0098772,0.04708847,True,0.5022452,0.9999828,2170
5,3,0.375,0.375,"[5, 3]",0.625,False,0,0.01247349,0.00222071,0.01185669,True,0.50227676,0.99998059,2170
5,4,0.375,0.375,"[3, 5]",0.625,False,1,0.93220175,0.2276722,0.88610525,True,0.62990335,0.93374224,2170
5,5,0.25,0.25,"[6, 2]",0.75,False,0,1.01928426,0.31211406,0.96888162,True,0.65665338,0.89367697,2170
6,1,0.25,0.25,"[4, 4]",0.5,False,0,0.52848351,0.14697978,0.5023505,True,0.53963283,0.99368941,2170
6,2,0.625,0.625,"[7, 1]",0.875,False,0,0.01401728,0.0021788,0.01332414,True,0.50353224,0.99994556,2170
6,3,0.5,0.5,"[4, 4]",0.5,False,0,0.21156103,0.0431739,0.20109954,True,0.5302242,0.99681325,2170
6,4,0.5,0.5,"[6, 2]",0.75,False,0,0.01216757,0.00216412,0.01156589,True,0.5030621,0.99996715,2170
6,5,0.625,0.625,"[7, 1]",0.875,False,0,0.01251803,0.00219145,0.01189902,True,0.50258669,0.99996649,2170
7,1,0.625,0.625,"[3, 5]",0.625,False,1,0.99064492,0.28384113,0.94165847,True,0.62158529,0.92279459,2170
7,2,0.75,0.75,"[2, 6]",0.75,False,1,1.30991749,0.42384491,1.24514331,True,0.87527294,0.41284154,2170
7,3,0.375,0.375,"[5, 3]",0.625,False,0,0.01288606,0.00209625,0.01224885,True,0.50160912,0.99998967,2170
7,4,0.625,0.625,"[5, 3]",0.625,False,0,0.74086307,0.22293518,0.70422809,True,0.59025601,0.96809462,2170
7,5,0.5,0.5,"[2, 6]",0.75,False,1,1.05741761,0.25202318,1.00512931,True,0.66213409,0.83500119,2170
8,1,0.5,0.5,"[6, 2]",0.75,False,0,0.69152156,0.16167772,0.65732647,True,0.64186364,0.88322961,2170
8,2,0.75,0.75,"[4, 4]",0.5,False,0,0.56155681,0.15536225,0.53378836,True,0.62723351,0.92198114,2170
8,3,0.625,0.625,"[5, 3]",0.625,False,0,1.00930245,0.43300638,0.9593934,True,0.81418119,0.59909165,2170
